instrument,reference_interval_skill,reference_oos_rows,regenerated_rows
AG,0.1218325897735631,10381,10381
CU,0.0674703233859186,8714,8714
AL,0.0870399267534171,8714,8714
SN,0.1039829378435788,8714,8714
I,-0.0025337906254869,6489,6489
SC,0.0687828382317886,10380,10380
M,0.0250909561416006,6489,6489
CF,0.0144435072096538,6489,6489
