instrument,grid_rows,H5_common_rows,H15_common_rows
AG,31152,17592,15898
CU,26151,12591,10897
AL,26151,12591,10897
SN,26151,12591,10897
I,19479,5907,4211
SC,31153,17584,15889
M,19479,5907,4211
CF,19479,5907,4211
