instrument,horizon,learner,offset,n,auc,brier_skill
AG,H15,gbr,0,4103,0.5097283917167554,-0.004829347715350041
AG,H15,gbr,1,3510,0.5085708642033161,-0.00294608894515469
AG,H15,gbr,2,3510,0.5042757556061099,-0.005802364165900409
AG,H15,logistic,0,4103,0.5096676672537095,-0.009850973157419007
AG,H15,logistic,1,3510,0.5017984236092196,-0.012443124559789576
AG,H15,logistic,2,3510,0.5093061423464413,-0.013153429329664013
CU,H15,gbr,0,2936,0.5059840029761904,-0.006555474810889805
CU,H15,gbr,1,2344,0.5395840618989334,0.002973807199547429
CU,H15,gbr,2,2343,0.5107929133433695,-0.0042725991236318706
CU,H15,logistic,0,2936,0.5039685639880953,-0.0012913088721133725
CU,H15,logistic,1,2344,0.5280097044937926,-0.004702304393517709
CU,H15,logistic,2,2343,0.49702269484735306,-0.008937872876208397
AL,H15,gbr,0,2936,0.5213041864763999,-0.007196746308832491
AL,H15,gbr,1,2344,0.5101025312939932,-0.015581425538371718
AL,H15,gbr,2,2343,0.5259194988161591,-0.0053792682470243935
AL,H15,logistic,0,2936,0.5244324321801093,-0.012240316967265574
AL,H15,logistic,1,2344,0.526191978507342,-0.023113000210212897
AL,H15,logistic,2,2343,0.5177429079839408,-0.016680644867558492
SN,H15,gbr,0,2936,0.5065243421357961,-0.009488783796729905
SN,H15,gbr,1,2344,0.5197696052195632,-0.014823599802006093
SN,H15,gbr,2,2343,0.5194436266007468,-0.012092770561411559
SN,H15,logistic,0,2936,0.5143555947463684,-0.01801116938631475
SN,H15,logistic,1,2344,0.49381596816415985,-0.029501699678745608
SN,H15,logistic,2,2343,0.5123716268805951,-0.019756825003823586
I,H15,gbr,0,1377,0.5433431806356455,0.0019761612085464897
I,H15,gbr,1,784,0.4854756790396082,-0.023421304788268982
I,H15,gbr,2,784,0.48875342309063874,-0.016310360104341504
I,H15,logistic,0,1377,0.5409114559816988,0.005180352818315748
I,H15,logistic,1,784,0.4721792838549509,-0.020024563313619792
I,H15,logistic,2,784,0.44777726193119505,-0.025242165998686117
SC,H15,gbr,0,3720,0.526319715305948,0.0001991484005817723
SC,H15,gbr,1,3888,0.5206501979218797,-0.0006203547200394066
SC,H15,gbr,2,3508,0.5214912544573244,-0.0005568448702411022
SC,H15,logistic,0,3720,0.515260615385772,-0.007561824413634843
SC,H15,logistic,1,3888,0.5138749099843827,-0.003863930006132721
SC,H15,logistic,2,3508,0.5128060370829871,-0.009101699761784099
M,H15,gbr,0,1377,0.5018430753027909,-0.019695602554161473
M,H15,gbr,1,784,0.4762896412209199,-0.024147385080115935
M,H15,gbr,2,784,0.5109008089740767,-0.006690555617308469
M,H15,logistic,0,1377,0.4831872462586421,-0.032967797457940096
M,H15,logistic,1,784,0.4595439730799997,-0.03767561449035273
M,H15,logistic,2,784,0.5117144514915668,-0.017991040405899827
CF,H15,gbr,0,1377,0.538155105156038,-0.003639638899117781
CF,H15,gbr,1,784,0.5345543994947313,0.00010500406699698317
CF,H15,gbr,2,784,0.5280673534344091,0.010309925484058291
CF,H15,logistic,0,1377,0.5216015094979648,-0.014512332947331341
CF,H15,logistic,1,784,0.5312967456703122,0.0014522919010978574
CF,H15,logistic,2,784,0.5482186248673808,0.012863971182840217
