instrument,rv_state,rv_state_label,n,path_future_spearman
AG,0,low,1520,-0.039417253807624605
AG,1,mid,4210,-0.044816529220239036
AG,2,high,6583,-0.01905991541275789
CU,0,low,1991,0.03465803995657934
CU,1,mid,3104,-0.03158365454579323
CU,2,high,3718,-0.01987962552473991
AL,0,low,1909,-0.01153282956961662
AL,1,mid,2739,-0.028113583884181996
AL,2,high,4165,-0.02010078782512987
SN,0,low,1152,-0.00671743422231989
SN,1,mid,2857,-0.03759867700997764
SN,2,high,4804,-0.009807789307246222
I,0,low,1704,-0.013810105496105047
I,1,mid,1265,-0.020718717999166185
I,2,high,1161,-0.07135875337449464
SC,0,low,1780,-0.06667803851845172
SC,1,mid,3628,-0.005711029573207159
SC,2,high,6898,-0.02331277740327617
M,0,low,1434,-0.03605820960784327
M,1,mid,1221,-0.029815302983900813
M,2,high,1475,-0.016358241728500224
CF,0,low,1062,-0.07565482345830145
CF,1,mid,1315,-0.048904896237006265
CF,2,high,1753,-0.054373112790695115
