timeframe,penalty_bp,bars,action_count,turnover_units,gross_log_capture,objective_log_return,long_regime_count,short_regime_count,flat_regime_count,pct_long,pct_short,pct_flat,long_hold_p25,long_hold_median,long_hold_p75,short_hold_p25,short_hold_median,short_hold_p75,nonflat_hold_p25,nonflat_hold_median,nonflat_hold_p75
1h,20,2975,705,1400,16.962460807205154,14.162460807205154,350,350,5,0.5374789915966387,0.45915966386554624,0.0033613445378151263,2.0,3.0,6.0,1.0,3.0,5.0,2.0,3.0,6.0
1h,30,2975,537,1064,16.129442119159826,12.937442119159826,266,266,5,0.5354621848739496,0.46050420168067224,0.004033613445378151,2.0,4.0,7.0,2.0,4.0,6.0,2.0,4.0,7.0
1h,50,2975,376,742,14.865486560783273,11.155486560783274,185,186,5,0.5310924369747899,0.4642016806722689,0.004705882352941176,3.0,6.0,11.0,2.0,5.0,9.0,2.5,5.0,10.0
1h,80,2975,249,490,13.272639322885459,9.352639322885459,122,123,4,0.5603361344537815,0.43596638655462183,0.0036974789915966387,4.0,8.5,15.75,3.0,6.0,17.0,3.0,7.0,16.0
1h,100,2975,198,390,12.38077434340291,8.48077434340291,97,98,3,0.5727731092436975,0.4238655462184874,0.0033613445378151263,5.0,11.0,20.0,4.0,8.0,18.0,4.0,10.0,19.5
1h,150,2975,119,236,10.481273385827313,6.941273385827313,59,59,1,0.6016806722689075,0.3946218487394958,0.0036974789915966387,8.0,17.0,32.0,5.0,17.0,24.0,7.0,17.0,28.0
1h,200,2975,84,164,9.225915097532065,5.9459150975320645,41,41,2,0.6490756302521008,0.3458823529411765,0.005042016806722689,11.0,22.0,64.0,7.0,18.0,28.0,8.0,20.0,47.25
1h,300,2975,47,90,7.449152771381705,4.749152771381706,22,23,2,0.6403361344537815,0.34756302521008403,0.012100840336134453,25.75,49.0,68.0,17.5,25.0,76.0,19.0,42.0,75.0
4h,5,1082,485,966,12.214020574802698,11.731020574802697,241,242,2,0.5231053604436229,0.47504621072088726,0.0018484288354898336,1.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0
4h,10,1082,448,894,12.161390292403903,11.267390292403903,223,224,1,0.5314232902033271,0.4676524953789279,0.0009242144177449168,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0
4h,20,1082,371,738,11.94091436755316,10.46491436755316,184,185,2,0.5388170055452866,0.45933456561922364,0.0018484288354898336,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0
4h,30,1082,305,606,11.617151301036413,9.799151301036414,151,152,2,0.5415896487985212,0.4565619223659889,0.0018484288354898336,1.0,3.0,5.0,1.0,3.0,4.25,1.0,3.0,5.0
4h,50,1082,229,454,11.028029661751452,8.758029661751452,113,114,2,0.5452865064695009,0.45286506469500926,0.0018484288354898336,2.0,3.0,7.0,2.0,3.0,6.0,2.0,3.0,6.0
4h,80,1082,163,322,10.208627922098882,7.632627922098882,80,81,2,0.5748613678373382,0.4232902033271719,0.0018484288354898336,3.0,5.0,10.0,2.0,5.0,7.0,3.0,5.0,8.0
4h,100,1082,140,276,9.789616265491892,7.029616265491892,69,69,2,0.5951940850277264,0.400184842883549,0.0046210720887245845,3.0,6.0,12.0,3.0,5.0,9.0,3.0,5.5,10.0
4h,150,1082,90,176,8.60282190958962,5.96282190958962,44,44,2,0.6238447319778189,0.3613678373382625,0.014787430683918669,4.75,10.0,20.25,3.75,6.0,11.0,4.0,7.0,16.25
4h,200,1082,65,124,7.69159759204633,5.2115975920463296,31,31,3,0.6598890942698706,0.3243992606284658,0.015711645101663587,6.5,13.0,24.0,4.0,7.0,19.0,6.0,10.0,20.0
4h,300,1082,41,78,6.58216274676653,4.24216274676653,19,20,2,0.6617375231053605,0.32717190388170053,0.011090573012939002,10.0,20.0,37.0,5.75,8.5,27.25,7.0,16.0,28.5
