品种,days,累计收益,夏普率,最大回撤,正收益日比例,日收益标准差,交易次数,样本数
AG,82,6.5492,3.798,2.1484,0.4512,0.333826,402,1243
CU,82,1.1863,0.5965,2.6463,0.378,0.385032,355,1055
M,81,1.9957,1.6256,1.0797,0.1481,0.240596,72,857
RB,82,0.4743,0.6132,0.9814,0.2439,0.149727,93,953
