sample_reason,candidate_id,symbol,touch_time,break_step,break_from,break_to,gap_minutes,reason
日盘与夜盘之间,RB:5m:1:1:4935:4941:1,RB,2025-04-24 14:15:00,10.0,2025-04-24 14:55:00,2025-04-24 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,M:5m:1:-1:14988:14997:1,M,2025-11-28 14:20:00,9.0,2025-11-28 14:55:00,2025-11-28 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,AG:5m:1:1:2617:2625:3,AG,2025-02-13 14:50:00,3.0,2025-02-13 14:55:00,2025-02-13 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,AG:5m:0:1:33483:33550:1,AG,2026-04-24 14:55:00,2.0,2026-04-24 14:55:00,2026-04-24 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,CU:5m:1:1:13751:13758:4,CU,2025-08-18 14:10:00,11.0,2025-08-18 14:55:00,2025-08-18 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,AG:15m:1:1:8773:8777:2,AG,2025-12-29 14:30:00,7.0,2025-12-29 14:55:00,2025-12-29 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,AG:5m:1:-1:17054:17059:4,AG,2025-08-25 14:05:00,12.0,2025-08-25 14:55:00,2025-08-25 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,M:5m:1:-1:24249:24256:2,M,2026-06-25 15:00:00,1.0,2026-06-25 14:55:00,2026-06-25 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,RB:1h:1:-1:1132:1139:2,RB,2025-09-04 14:50:00,3.0,2025-09-04 14:55:00,2025-09-04 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,RB:5m:1:1:19982:19991:7,RB,2026-03-23 15:00:00,1.0,2026-03-23 14:55:00,2026-03-23 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,M:5m:1:1:7401:7420:4,M,2025-06-20 14:25:00,8.0,2025-06-20 14:55:00,2025-06-20 21:00:00,365.0,日盘与夜盘之间
日盘与夜盘之间,M:5m:0:-1:12711:12718:1,M,2025-10-23 14:25:00,8.0,2025-10-23 14:55:00,2025-10-23 21:00:00,365.0,日盘与夜盘之间
正常午间休市,M:5m:1:1:8606:8613:7,M,2025-07-16 09:45:00,7.0,2025-07-16 10:10:00,2025-07-16 10:30:00,20.0,正常午间休市
正常午间休市,RB:5m:1:1:21861:21864:1,RB,2026-05-18 11:25:00,2.0,2026-05-18 11:25:00,2026-05-18 13:30:00,125.0,正常午间休市
正常午间休市,RB:1h:1:-1:2685:2690:2,RB,2026-08-11 11:30:00,1.0,2026-08-11 11:25:00,2026-08-11 13:30:00,125.0,正常午间休市
正常午间休市,M:5m:1:1:26019:26025:3,M,2026-07-31 11:00:00,7.0,2026-07-31 11:25:00,2026-07-31 13:30:00,125.0,正常午间休市
正常午间休市,CU:15m:1:1:1111:1117:3,CU,2025-03-04 09:40:00,8.0,2025-03-04 10:10:00,2025-03-04 10:30:00,20.0,正常午间休市
正常午间休市,M:5m:1:1:10287:10294:2,M,2025-08-21 10:05:00,3.0,2025-08-21 10:10:00,2025-08-21 10:30:00,20.0,正常午间休市
正常午间休市,AG:5m:1:1:21553:21574:2,AG,2025-10-30 09:30:00,10.0,2025-10-30 10:10:00,2025-10-30 10:30:00,20.0,正常午间休市
正常午间休市,RB:5m:1:-1:25811:25820:1,RB,2026-07-29 09:55:00,5.0,2026-07-29 10:10:00,2026-07-29 10:30:00,20.0,正常午间休市
正常午间休市,CU:5m:1:1:25140:25147:2,CU,2026-03-03 10:10:00,2.0,2026-03-03 10:10:00,2026-03-03 10:30:00,20.0,正常午间休市
正常午间休市,M:15m:1:1:336:340:3,M,2025-01-23 10:05:00,3.0,2025-01-23 10:10:00,2025-01-23 10:30:00,20.0,正常午间休市
正常午间休市,CU:5m:1:-1:10225:10231:1,CU,2025-06-24 11:00:00,7.0,2025-06-24 11:25:00,2025-06-24 13:30:00,125.0,正常午间休市
正常午间休市,M:5m:1:1:17767:17772:2,M,2026-01-30 09:55:00,5.0,2026-01-30 10:10:00,2026-01-30 10:30:00,20.0,正常午间休市
正常午间休市,M:5m:1:1:25015:25034:6,M,2026-07-14 10:15:00,1.0,2026-07-14 10:10:00,2026-07-14 10:30:00,20.0,正常午间休市
正常午间休市,AG:5m:1:-1:21024:21027:1,AG,2025-10-23 11:25:00,2.0,2025-10-23 11:25:00,2025-10-23 13:30:00,125.0,正常午间休市
正常午间休市,M:15m:1:1:5215:5219:4,M,2025-12-16 09:45:00,7.0,2025-12-16 10:10:00,2025-12-16 10:30:00,20.0,正常午间休市
正常午间休市,RB:1h:1:1:2204:2222:2,RB,2026-05-26 09:20:00,12.0,2026-05-26 10:10:00,2026-05-26 10:30:00,20.0,正常午间休市
正常午间休市,CU:1h:1:-1:1194:1195:4,CU,2025-09-01 10:10:00,2.0,2025-09-01 10:10:00,2025-09-01 10:30:00,20.0,正常午间休市
正常午间休市,RB:5m:1:1:8179:8184:3,RB,2025-07-04 10:55:00,8.0,2025-07-04 11:25:00,2025-07-04 13:30:00,125.0,正常午间休市
正常午间休市,CU:5m:0:1:20649:20713:1,CU,2025-12-09 10:55:00,8.0,2025-12-09 11:25:00,2025-12-09 13:30:00,125.0,正常午间休市
正常午间休市,RB:5m:1:-1:4636:4643:1,RB,2025-04-17 09:35:00,9.0,2025-04-17 10:10:00,2025-04-17 10:30:00,20.0,正常午间休市
节假日或周末,CU:1h:1:1:199:221:15,CU,2025-03-01 00:45:00,4.0,2025-03-01 00:55:00,2025-03-03 09:00:00,3365.0,节假日或周末
节假日或周末,AG:5m:1:1:17580:17585:1,AG,2025-08-30 01:45:00,10.0,2025-08-30 02:25:00,2025-09-01 09:00:00,3275.0,节假日或周末
节假日或周末,CU:1h:1:1:3565:3569:1,CU,2026-08-29 00:15:00,10.0,2026-08-29 00:55:00,2026-08-31 09:00:00,3365.0,节假日或周末
节假日或周末,M:15m:1:1:7272:7273:1,M,2026-04-30 14:05:00,12.0,2026-04-30 14:55:00,2026-05-06 09:00:00,8285.0,节假日或周末
节假日或周末,RB:5m:0:1:21499:21589:1,RB,2026-04-24 22:25:00,8.0,2026-04-24 22:55:00,2026-04-27 09:00:00,3485.0,节假日或周末
节假日或周末,CU:5m:1:1:35269:35277:4,CU,2026-08-08 00:20:00,9.0,2026-08-08 00:55:00,2026-08-10 09:00:00,3365.0,节假日或周末
节假日或周末,M:15m:1:1:8672:8678:5,M,2026-07-31 22:50:00,3.0,2026-07-31 22:55:00,2026-08-03 09:00:00,3485.0,节假日或周末
节假日或周末,AG:15m:1:-1:2898:2906:1,AG,2025-05-10 02:30:00,1.0,2025-05-10 02:25:00,2025-05-12 09:00:00,3275.0,节假日或周末
节假日或周末,CU:15m:1:1:12233:12242:4,CU,2026-08-29 00:20:00,9.0,2026-08-29 00:55:00,2026-08-31 09:00:00,3365.0,节假日或周末
节假日或周末,AG:5m:1:1:19962:19965:1,AG,2025-09-30 14:20:00,9.0,2025-09-30 14:55:00,2025-10-09 09:00:00,12605.0,节假日或周末
节假日或周末,AG:15m:0:1:10696:10724:5,AG,2026-06-06 01:45:00,10.0,2026-06-06 02:25:00,2026-06-08 09:00:00,3275.0,节假日或周末
节假日或周末,M:15m:1:-1:2725:2740:1,M,2025-07-04 22:10:00,11.0,2025-07-04 22:55:00,2025-07-07 09:00:00,3485.0,节假日或周末
节假日或周末,M:15m:0:-1:1190:1219:2,M,2025-04-03 14:40:00,5.0,2025-04-03 14:55:00,2025-04-07 09:00:00,5405.0,节假日或周末
节假日或周末,M:5m:0:-1:7153:7195:1,M,2025-06-13 22:30:00,7.0,2025-06-13 22:55:00,2025-06-16 09:00:00,3485.0,节假日或周末
节假日或周末,RB:15m:1:-1:5233:5241:1,RB,2025-12-12 22:15:00,10.0,2025-12-12 22:55:00,2025-12-15 09:00:00,3485.0,节假日或周末
节假日或周末,M:1h:1:-1:349:355:6,M,2025-04-03 14:40:00,5.0,2025-04-03 14:55:00,2025-04-07 09:00:00,5405.0,节假日或周末
节假日或周末,AG:5m:1:1:39505:39509:1,AG,2026-07-04 02:15:00,4.0,2026-07-04 02:25:00,2026-07-06 09:00:00,3275.0,节假日或周末
节假日或周末,CU:5m:1:-1:23154:23160:3,CU,2026-01-24 00:15:00,10.0,2026-01-24 00:55:00,2026-01-26 09:00:00,3365.0,节假日或周末
节假日或周末,RB:15m:1:-1:6087:6096:3,RB,2026-03-06 22:20:00,9.0,2026-03-06 22:55:00,2026-03-09 09:00:00,3485.0,节假日或周末
节假日或周末,AG:5m:1:1:160:167:1,AG,2025-01-04 01:35:00,12.0,2025-01-04 02:25:00,2025-01-06 09:00:00,3275.0,节假日或周末
