时间块,起,止,days,累计收益,夏普率,最大回撤,正收益日比例,日收益标准差,交易次数,样本数
1,2026-05-13,2026-06-09,20,0.0378,0.1387,0.9461,0.3,0.216335,230,914
2,2026-06-10,2026-07-08,20,0.563,3.8002,0.2433,0.65,0.1176,246,1145
3,2026-07-09,2026-08-05,20,0.9514,6.1112,0.2561,0.6,0.123572,178,1042
4,2026-08-06,2026-09-04,22,1.262,6.7455,0.1458,0.6818,0.134999,268,1007
