窗口,训练起,训练止,选择起,选择止,测试起,测试止,训练事件数,选择事件数,测试事件数,最佳覆盖率,累计收益,夏普率,最大回撤,利润因子,交易次数,选中平均收益
1,2025-01-02,2025-05-09,2025-05-12,2025-09-03,2025-09-04,2026-01-06,3769,4419,3690,0.05,-0.0047,-0.0152,0.5399,0.9994,148,-0.000393
2,2025-01-02,2025-09-03,2025-09-04,2026-01-06,2026-01-07,2026-05-13,8188,3690,3990,0.5,1.4043,1.1734,1.0916,1.0548,2272,0.033475
3,2025-01-02,2026-01-06,2026-01-07,2026-05-13,2026-05-14,2026-09-04,11878,3990,4072,0.1,-0.0462,-0.2076,0.5779,0.9381,186,-0.03711
