品种,合格事件数,被删除事件数,删除比例,正常休市导致,真实缺失导致,其他原因
AG,5778,2265,0.392004,2263,0,2
CU,5225,2275,0.435407,2275,0,0
M,4378,2555,0.5836,2555,0,0
RB,4632,2853,0.615933,2850,0,3
