触碰小时,合格事件数,被删除事件数,删除比例,主要原因
0,827,411,0.496977,夜盘正常结束
1,466,224,0.480687,夜盘正常结束
2,283,283,1.0,夜盘正常结束
9,3815,1952,0.511664,正常午间休市
10,2043,2043,1.0,正常午间休市
11,1430,1430,1.0,正常午间休市
13,1519,0,0.0,
14,2609,2375,0.91031,日盘与夜盘之间
15,210,210,1.0,日盘与夜盘之间
21,3697,0,0.0,
22,2088,917,0.439176,夜盘正常结束
23,1026,103,0.10039,夜盘正常结束
