模型,皮尔逊相关,斯皮尔曼相关,预测均值,真实均值,预测标准差,真实标准差,平均绝对误差,均方根误差
岭回归,-0.006659,-0.003031,-0.029958,-0.014029,0.177435,1.399528,1.246831,1.411992
CatBoost,0.062178,0.051152,-0.018337,-0.014029,0.103502,1.399528,1.240605,1.396924
神经网络,-0.011204,-0.012314,-0.007233,-0.014029,0.22842,1.399528,1.253278,1.420586
