candidate_id,symbol,touch_time,break_step,break_from,break_to,gap_minutes,reason,hour
AG:5m:1:1:69:85:1,AG,2025-01-03 01:45:00,10.0,2025-01-03 02:25:00,2025-01-03 09:00:00,395.0,夜盘正常结束,1
AG:5m:1:1:69:85:2,AG,2025-01-03 09:35:00,9.0,2025-01-03 10:10:00,2025-01-03 10:30:00,20.0,正常午间休市,9
AG:5m:1:1:69:85:3,AG,2025-01-03 10:05:00,3.0,2025-01-03 10:10:00,2025-01-03 10:30:00,20.0,正常午间休市,10
AG:5m:1:-1:111:118:1,AG,2025-01-03 10:35:00,12.0,2025-01-03 11:25:00,2025-01-03 13:30:00,125.0,正常午间休市,10
AG:5m:1:-1:111:118:2,AG,2025-01-03 11:05:00,6.0,2025-01-03 11:25:00,2025-01-03 13:30:00,125.0,正常午间休市,11
AG:5m:1:1:160:167:1,AG,2025-01-04 01:35:00,12.0,2025-01-04 02:25:00,2025-01-06 09:00:00,3275.0,节假日或周末,1
AG:5m:1:-1:192:210:1,AG,2025-01-06 09:20:00,12.0,2025-01-06 10:10:00,2025-01-06 10:30:00,20.0,正常午间休市,9
AG:5m:1:1:216:223:1,AG,2025-01-06 09:45:00,7.0,2025-01-06 10:10:00,2025-01-06 10:30:00,20.0,正常午间休市,9
AG:5m:1:-1:225:232:1,AG,2025-01-06 11:00:00,7.0,2025-01-06 11:25:00,2025-01-06 13:30:00,125.0,正常午间休市,11
AG:5m:0:1:251:267:1,AG,2025-01-14 09:25:00,11.0,2025-01-14 10:10:00,2025-01-14 10:30:00,20.0,正常午间休市,9
AG:5m:0:1:251:267:2,AG,2025-01-14 10:35:00,12.0,2025-01-14 11:25:00,2025-01-14 13:30:00,125.0,正常午间休市,10
AG:5m:0:1:251:267:3,AG,2025-01-14 11:00:00,7.0,2025-01-14 11:25:00,2025-01-14 13:30:00,125.0,正常午间休市,11
AG:5m:0:1:251:267:4,AG,2025-01-14 11:25:00,2.0,2025-01-14 11:25:00,2025-01-14 13:30:00,125.0,正常午间休市,11
AG:5m:1:1:298:307:2,AG,2025-01-07 01:45:00,10.0,2025-01-07 02:25:00,2025-01-07 09:00:00,395.0,夜盘正常结束,1
AG:5m:1:1:298:307:3,AG,2025-01-07 02:30:00,1.0,2025-01-07 02:25:00,2025-01-07 09:00:00,395.0,夜盘正常结束,2
AG:5m:1:-1:331:333:1,AG,2025-01-07 09:25:00,11.0,2025-01-07 10:10:00,2025-01-07 10:30:00,20.0,正常午间休市,9
AG:5m:1:1:354:360:2,AG,2025-01-09 01:45:00,10.0,2025-01-09 02:25:00,2025-01-09 09:00:00,395.0,夜盘正常结束,1
AG:5m:1:-1:396:401:1,AG,2025-01-08 09:45:00,7.0,2025-01-08 10:10:00,2025-01-08 10:30:00,20.0,正常午间休市,9
AG:5m:1:1:448:451:1,AG,2025-01-08 10:15:00,1.0,2025-01-08 10:10:00,2025-01-08 10:30:00,20.0,正常午间休市,10
AG:5m:1:-1:452:459:1,AG,2025-01-08 14:50:00,3.0,2025-01-08 14:55:00,2025-01-08 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:1:497:501:1,AG,2025-01-09 01:40:00,11.0,2025-01-09 02:25:00,2025-01-09 09:00:00,395.0,夜盘正常结束,1
AG:5m:1:1:579:590:1,AG,2025-01-09 14:25:00,8.0,2025-01-09 14:55:00,2025-01-09 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:1:579:590:2,AG,2025-01-09 14:45:00,4.0,2025-01-09 14:55:00,2025-01-09 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:-1:640:648:1,AG,2025-01-10 02:20:00,3.0,2025-01-10 02:25:00,2025-01-10 09:00:00,395.0,夜盘正常结束,2
AG:5m:1:1:683:691:1,AG,2025-01-10 14:35:00,6.0,2025-01-10 14:55:00,2025-01-10 21:00:00,365.0,日盘与夜盘之间,14
AG:5m:1:-1:771:777:1,AG,2025-01-13 10:10:00,2.0,2025-01-13 10:10:00,2025-01-13 10:30:00,20.0,正常午间休市,10
AG:5m:1:-1:771:777:2,AG,2025-01-13 11:00:00,7.0,2025-01-13 11:25:00,2025-01-13 13:30:00,125.0,正常午间休市,11
AG:5m:1:1:836:843:3,AG,2025-01-14 01:35:00,12.0,2025-01-14 02:25:00,2025-01-14 09:00:00,395.0,夜盘正常结束,1
