原因,事件数,占全部删除事件比例,是否属于正常市场休市,是否属于真实数据缺失
正常午间休市,5425,0.545336,True,False
日盘正常结束,0,0.0,True,False
日盘与夜盘之间,2510,0.252312,True,False
夜盘正常结束,1523,0.153096,True,False
节假日或周末,485,0.048754,True,False
真实缺失K线,0,0.0,False,True
数据末尾不足12根,5,0.000503,False,False
其他,0,0.0,False,False
