模型,策略,days,累计收益,夏普率,最大回撤,正收益日比例,日收益标准差,交易次数,不交易比例,利润因子
岭回归,零阈值,82,-0.837,-0.5815,3.4489,0.5122,0.278672,3290,0.1991,0.9654
岭回归,分位策略(最高20%),82,0.8455,1.7883,0.901,0.4878,0.091532,526,0.872,1.1087
CatBoost,零阈值,82,1.3387,0.97,2.9841,0.4756,0.267176,2946,0.2829,1.0202
CatBoost,分位策略(最高30%),82,2.8143,3.5936,1.0427,0.561,0.15161,922,0.7756,1.2081
神经网络,零阈值,82,-1.8219,-1.4746,3.0104,0.4878,0.239197,3314,0.1933,0.9637
神经网络,分位策略(最高10%),82,-0.0245,-0.0908,0.3857,0.2683,0.05232,184,0.9552,0.965
最佳固定交易动作,FOLLOW_2.5R,82,-6.5075,-3.2967,6.3957,0.378,0.382136,4074,0.0083,0.8771
不交易,固定,82,0.0,0.0,0.0,0.0,0.0,0,1.0,inf
