check,value
eligible_candidates,20013
evaluable_events,20008
not_evaluable_events,5
no_trade_all_zero,True
all_finite_on_evaluable,True
action_columns,7
stop_atr,1.0
horizon_valid_bars,12
跨休市交易数量(事件x动作),27097
跨休市交易比例,0.225718
发生不利跳空止损数量,3189
发生有利跳空止盈数量,2395
action_NO_TRADE,"mean_R=0.000000,std_R=0.000000,win_rate=0.000000,avg_win_R=0.000000,avg_loss_R=0.000000,profit_factor=inf,max_loss_R=0.000000,max_win_R=0.000000"
action_FOLLOW_1.5R,"mean_R=-0.039435,std_R=1.330002,win_rate=0.412835,avg_win_R=1.388252,avg_loss_R=-1.057826,profit_factor=0.935622,max_loss_R=-34.667304,max_win_R=1.500000"
action_FOLLOW_2.0R,"mean_R=-0.041350,std_R=1.480041,win_rate=0.371202,avg_win_R=1.658335,avg_loss_R=-1.062125,profit_factor=0.937055,max_loss_R=-34.667304,max_win_R=2.000000"
action_FOLLOW_2.5R,"mean_R=-0.040834,std_R=1.624980,win_rate=0.352309,avg_win_R=1.813605,avg_loss_R=-1.068178,profit_factor=0.939931,max_loss_R=-51.546059,max_win_R=2.500000"
action_FADE_1.5R,"mean_R=-0.050276,std_R=1.356045,win_rate=0.406337,avg_win_R=1.406513,avg_loss_R=-1.059880,profit_factor=0.919144,max_loss_R=-22.472434,max_win_R=1.500000"
action_FADE_2.0R,"mean_R=-0.044834,std_R=1.599254,win_rate=0.363305,avg_win_R=1.719912,avg_loss_R=-1.068508,profit_factor=0.933052,max_loss_R=-71.927185,max_win_R=2.000000"
action_FADE_2.5R,"mean_R=-0.043538,std_R=1.695915,win_rate=0.338565,avg_win_R=1.914753,avg_loss_R=-1.064823,profit_factor=0.937066,max_loss_R=-71.927185,max_win_R=2.500000"
exit_code_NOT_EVALUABLE,0
exit_code_TIMEOUT,15555
exit_code_GAP_STOP,3189
exit_code_GAP_TARGET,2395
exit_code_STOP,67263
exit_code_TARGET,31402
exit_code_BOTH_CONSERVATIVE_STOP,244
