模型,目标R,方向命中率,模型方向平均R,always_FOLLOW平均R,always_FADE平均R,random方向期望R,经济方向增量
LightGBM,1.5R,0.4928,-0.059821,-0.053673,-0.035926,-0.044799,-0.015021
LightGBM,2.0R,0.4926,-0.057308,-0.048057,-0.021904,-0.034981,-0.022327
LightGBM,2.5R,0.4915,-0.056961,-0.049032,-0.014938,-0.031985,-0.024976
Ridge,1.5R,0.5007,-0.052021,-0.053673,-0.035926,-0.044799,-0.007221
Ridge,2.0R,0.5012,-0.042057,-0.048057,-0.021904,-0.034981,-0.007076
Ridge,2.5R,0.5016,-0.04346,-0.049032,-0.014938,-0.031985,-0.011475
