模型,范围,事件数,皮尔逊,斯皮尔曼,MAE,RMSE
LightGBM,合并,8234,-0.0033,-0.0187,2.151857,2.517039
LightGBM,F1,1868,-0.0229,-0.0348,2.228966,2.560867
LightGBM,F2,2003,0.0388,0.019,2.121049,2.464579
LightGBM,F3,1976,-0.0263,-0.0321,2.170353,2.545249
LightGBM,F4,2387,-0.0011,-0.0226,2.102055,2.502479
Ridge,合并,8234,-0.0149,-0.0127,2.147912,2.510242
Ridge,F1,1868,-0.0507,-0.0526,2.29366,2.676078
Ridge,F2,2003,0.017,0.0167,2.122299,2.449265
Ridge,F3,1976,-0.0045,-0.0174,2.126477,2.470754
Ridge,F4,2387,0.0233,0.0166,2.07309,2.458624
