模型,折,事件数,皮尔逊,斯皮尔曼,MAE,RMSE,方向命中率,模型方向平均R,相对random增量
LightGBM,F1,1868,-0.0229,-0.0348,2.228966,2.560867,0.4888,-0.038791,-0.049083
LightGBM,F2,2003,0.0388,0.019,2.121049,2.464579,0.5007,-0.037393,-0.008288
LightGBM,F3,1976,-0.0263,-0.0321,2.170353,2.545249,0.5025,-0.055247,-0.008816
LightGBM,F4,2387,-0.0011,-0.0226,2.102055,2.502479,0.4835,-0.092706,-0.018999
Ridge,F1,1868,-0.0507,-0.0526,2.29366,2.676078,0.4936,-0.045185,-0.055476
Ridge,F2,2003,0.017,0.0167,2.122299,2.449265,0.5287,-0.008211,0.020895
Ridge,F3,1976,-0.0045,-0.0174,2.126477,2.470754,0.4803,-0.050713,-0.004282
Ridge,F4,2387,0.0233,0.0166,2.07309,2.458624,0.5002,-0.073916,-0.000209
