模型,品种,事件数,皮尔逊,斯皮尔曼,MAE,RMSE,方向命中率,模型方向平均R,相对random增量
LightGBM,AG,2337,-0.0253,-0.0624,2.221549,2.647802,0.4677,-0.160222,-0.081358
LightGBM,CU,2212,0.0356,0.0314,2.197796,2.57963,0.4995,-0.0023,0.032598
LightGBM,M,1704,0.0349,0.0291,2.114079,2.427406,0.51,-0.014328,0.014413
LightGBM,RB,1981,-0.0605,-0.0584,2.050841,2.358764,0.5028,-0.037293,-0.039168
Ridge,AG,2337,-0.0351,-0.0426,2.248228,2.658359,0.463,-0.128883,-0.050019
Ridge,CU,2212,-0.0174,-0.0131,2.204509,2.605304,0.4986,-0.065821,-0.030923
Ridge,M,1704,0.0603,0.0636,2.08693,2.39636,0.527,0.046945,0.075686
Ridge,RB,1981,-0.0438,-0.0345,2.018827,2.309941,0.5255,-0.005398,-0.007274
