特征,分组,重要性
symbol,其他,34
source_tf,其他,0
source_ob_internal,结构,0
source_ob_structure,结构,0
source_ob_bias,OB属性,12
source_ob_width_atr5,OB属性,93
touch_ordinal,OB属性,44
is_first_touch,OB属性,0
touch_intrabar_far_edge_breach,OB属性,0
touch_close_beyond_far_edge,结构,0
touch_reclaimed_by_close,结构,0
group_candidate_count,OB属性,125
group_has_5m,OB属性,17
group_has_15m,OB属性,21
group_has_1h,OB属性,9
touch_behavior,OB属性,0
quant_width,OB属性,85
quant_width_percentile_train,OB属性,67
quant_top30_train,OB属性,0
quant_crossed,OB属性,0
quant_state,OB属性,4
swing_bias_15m,趋势,8
swing_bias_1h,趋势,13
swing_bias_5m,趋势,5
internal_bias_15m,趋势,7
internal_bias_1h,趋势,5
internal_bias_5m,趋势,8
last_swing_structure_type_15m,结构,12
last_swing_structure_type_1h,结构,18
last_swing_structure_type_5m,结构,6
last_swing_structure_bias_15m,趋势,0
last_swing_structure_bias_1h,趋势,0
last_swing_structure_bias_5m,趋势,0
last_swing_structure_age_15m,结构,315
last_swing_structure_age_1h,结构,318
last_swing_structure_age_5m,结构,256
last_internal_structure_type_15m,结构,16
last_internal_structure_type_1h,结构,14
last_internal_structure_type_5m,结构,29
last_internal_structure_bias_15m,趋势,0
last_internal_structure_bias_1h,趋势,0
last_internal_structure_bias_5m,趋势,0
last_internal_structure_age_15m,结构,191
last_internal_structure_age_1h,结构,169
last_internal_structure_age_5m,结构,155
dsa_direction_15m,DSA,3
dsa_direction_1h,DSA,5
dsa_direction_5m,DSA,12
dsa_raw_dsa_vwap_dev_pct_15m,DSA,188
dsa_raw_dsa_vwap_dev_pct_1h,DSA,164
dsa_raw_dsa_vwap_dev_pct_5m,DSA,181
momentum_direction_15m,动量,1
momentum_direction_1h,动量,7
momentum_direction_5m,动量,0
sqzmom_val_15m,动量,195
sqzmom_val_1h,动量,196
sqzmom_val_5m,动量,208
sqzmom_delta_15m,动量,255
sqzmom_delta_1h,动量,219
sqzmom_delta_5m,动量,206
above_ob_bias_15m,OB属性,3
above_ob_bias_1h,OB属性,3
above_ob_bias_5m,OB属性,0
above_ob_structure_class_15m,结构,16
above_ob_structure_class_1h,结构,4
above_ob_structure_class_5m,结构,4
below_ob_bias_15m,OB属性,6
below_ob_bias_1h,OB属性,0
below_ob_bias_5m,OB属性,0
below_ob_structure_class_15m,结构,2
below_ob_structure_class_1h,结构,3
below_ob_structure_class_5m,结构,11
ob_above_atr_15m,风险几何,291
ob_above_atr_1h,风险几何,258
ob_above_atr_5m,风险几何,275
ob_below_atr_15m,风险几何,298
ob_below_atr_1h,风险几何,353
ob_below_atr_5m,风险几何,266
internal_high_atr_5m,风险几何,225
internal_high_relation_5m,风险几何,15
internal_low_atr_5m,风险几何,212
internal_low_relation_5m,风险几何,3
swing_high_atr_5m,风险几何,224
swing_high_relation_5m,风险几何,2
swing_low_atr_5m,风险几何,183
swing_low_relation_5m,风险几何,2
dsa_vwap_dev_pct_5m,DSA,184
internal_high_atr_15m,风险几何,243
internal_high_relation_15m,风险几何,10
internal_low_atr_15m,风险几何,243
internal_low_relation_15m,风险几何,7
swing_high_atr_15m,风险几何,268
swing_high_relation_15m,风险几何,3
swing_low_atr_15m,风险几何,230
swing_low_relation_15m,风险几何,5
dsa_vwap_dev_pct_15m,DSA,163
internal_high_atr_1h,风险几何,169
internal_high_relation_1h,风险几何,2
internal_low_atr_1h,风险几何,191
internal_low_relation_1h,风险几何,1
swing_high_atr_1h,风险几何,258
swing_high_relation_1h,风险几何,4
swing_low_atr_1h,风险几何,250
swing_low_relation_1h,风险几何,17
dsa_vwap_dev_pct_1h,DSA,197
forward_active_ob_bias_rel_5m,其他,0
