折,组合,opportunity_curve_cumulative_R,夏普率,最大回撤,利润因子,交易事件数,trade_total_R,平均R
F1,A_无筛选+alwaysFOLLOW,0.2195,0.316,1.3333,1.0312011706558717,1868,34.3902,0.01841
F1,B_无筛选+模型方向,-1.1423,-1.512,1.9769,0.9384613510547929,1868,-72.4623,-0.038791
F1,C_Q筛选+alwaysFOLLOW,-0.0929,-0.1877,0.8034,1.007163632237724,839,3.4979,0.004169
F1,D_Q筛选+模型方向,-1.0876,-2.3651,1.9455,0.8928760213598742,839,-57.0968,-0.068053
F2,A_无筛选+alwaysFOLLOW,-0.6113,-0.6796,2.667,0.9591937782278123,2003,-49.5134,-0.02472
F2,B_无筛选+模型方向,-1.3137,-1.7188,1.693,0.9392815859286942,2003,-74.8979,-0.037393
F2,C_Q筛选+alwaysFOLLOW,1.0118,1.8642,1.1298,1.091515304252753,778,40.8844,0.052551
F2,D_Q筛选+模型方向,-0.2287,-0.3975,1.4262,0.9697465800664039,778,-14.4728,-0.018603
F3,A_无筛选+alwaysFOLLOW,-2.7188,-2.9084,3.4303,0.9027203782377451,1976,-121.6769,-0.061577
F3,B_无筛选+模型方向,-2.4116,-2.9322,3.163,0.9115882191185628,1976,-109.168,-0.055247
F3,C_Q筛选+alwaysFOLLOW,-1.3879,-4.2557,1.6095,0.7305156944036294,364,-67.3147,-0.184931
F3,D_Q筛选+模型方向,-1.3028,-3.8046,1.6985,0.7210115682995335,364,-68.6799,-0.188681
F4,A_无筛选+alwaysFOLLOW,-4.9148,-5.5324,5.6704,0.8283761788491305,2387,-276.9905,-0.116041
F4,B_无筛选+模型方向,-5.0779,-6.5579,5.387,0.8564906756303102,2387,-221.2895,-0.092706
F4,C_Q筛选+alwaysFOLLOW,0.0825,0.4336,0.3629,1.0120607481417256,264,1.8269,0.00692
F4,D_Q筛选+模型方向,-0.7668,-3.6349,1.1253,0.7754306444788038,264,-37.1141,-0.140584
