模型,事件数,模型方向平均R,always_FOLLOW平均R,always_FADE平均R,random方向期望R,oracle方向平均R,方向命中率,相对random增量
D-LightGBM,8234,-0.05803,-0.050254,-0.024256,-0.037255,0.999927,0.4934,-0.020775
D-Ridge,8234,-0.045846,-0.050254,-0.024256,-0.037255,0.999927,0.5009,-0.008591
