group,horizon,features,stratum,learner,instrument_count,median_auc,positive_share_auc,median_brier_skill,positive_share_brier_skill,median_logloss_skill,positive_share_logloss_skill,median_return_spread,positive_share_return_spread
ALL_16,H15,C0,ALL,gbr,16,0.5105730446496082,1.0,-0.005717424368440249,0.0,-0.004432613939904906,0.0,4.156950964491622e-06,0.5625
ALL_16,H15,C0,ALL,logistic,16,0.5110982895639281,1.0,-0.0020881958032515913,0.1875,-0.001702892475018647,0.1875,-4.2140860318055585e-05,0.4375
ALL_16,H15,C0,TOP20,gbr,16,0.5074901353384993,1.0,-0.007875970598517412,0.1875,-0.005922437734038555,0.125,-0.00018123965014135262,0.4375
ALL_16,H15,C0,TOP20,logistic,16,0.5134117469532364,1.0,-0.0046221633237187865,0.25,-0.0038671867384649783,0.25,-0.000270828320839046,0.375
ALL_16,H15,C0,TOP30,gbr,16,0.5057431500426848,1.0,-0.007148104653472376,0.0625,-0.005817088249136848,0.0625,-8.459021366869464e-05,0.4375
ALL_16,H15,C0,TOP30,logistic,16,0.5142467883338429,1.0,-0.0038176778250658128,0.3125,-0.0031545073656934486,0.3125,-0.00014684927383655923,0.4375
ALL_16,H15,C0,TOP50,gbr,16,0.5051925105545194,1.0,-0.006280740752366953,0.0,-0.005248574944221818,0.0,-8.829084511253972e-05,0.375
ALL_16,H15,C0,TOP50,logistic,16,0.5150342463083499,1.0,-0.003918855277858735,0.1875,-0.0031754813224101897,0.1875,-1.4022440808332106e-05,0.5
ALL_16,H15,C1,ALL,gbr,16,0.5167200018880753,1.0,-0.005309959638576833,0.0625,-0.004297220467789575,0.0625,4.009740263767499e-05,0.5
ALL_16,H15,C1,ALL,logistic,16,0.5126564795077087,1.0,-0.00708095674169773,0.0625,-0.01029356918320723,0.0625,-1.7908211922707016e-05,0.5
ALL_16,H15,C1,TOP20,gbr,16,0.5115385036698781,1.0,-0.006912400340547853,0.25,-0.005450593930711678,0.25,-8.934260241120969e-05,0.4375
ALL_16,H15,C1,TOP20,logistic,16,0.5164938235326375,1.0,-0.016226683791049856,0.125,-0.015967594848072864,0.125,-0.00020212093497006754,0.375
ALL_16,H15,C1,TOP30,gbr,16,0.5131720885172935,1.0,-0.005347014044742804,0.125,-0.0043505382072158705,0.125,6.0213959774873666e-05,0.5625
ALL_16,H15,C1,TOP30,logistic,16,0.5137831499581156,1.0,-0.01269293006530714,0.125,-0.013010406888222636,0.125,4.173360312950512e-06,0.5
ALL_16,H15,C1,TOP50,gbr,16,0.5129023024450007,1.0,-0.006162863744798575,0.0,-0.004917789923815197,0.0,5.329187747139428e-05,0.5
ALL_16,H15,C1,TOP50,logistic,16,0.5126600755733541,1.0,-0.011947316099069294,0.125,-0.010342766494785494,0.0625,-8.345106764900063e-05,0.4375
ALL_16,H15,C2,ALL,gbr,16,0.5180460629130291,1.0,-0.004749884790660186,0.1875,-0.0038826226094951233,0.1875,2.2166189312521115e-05,0.625
ALL_16,H15,C2,ALL,logistic,16,0.5126049143285285,1.0,-0.00733144405428221,0.0625,-0.010510456374098864,0.0625,-2.710936990221338e-05,0.4375
