horizon,learner,features,pairs,positive,positive_share,median_delta
H5,gbr,C1,102,50,0.49019607843137253,-4.475640643981318e-06
H5,gbr,C4,102,54,0.5294117647058824,1.3262967424386405e-05
H5,logistic,C1,102,58,0.5686274509803921,4.251701025201181e-05
H5,logistic,C4,102,61,0.5980392156862745,4.4395965931587846e-05
H15,gbr,C1,94,49,0.5212765957446809,1.1990906685813193e-05
H15,gbr,C4,94,45,0.4787234042553192,-2.5363452022650085e-05
H15,logistic,C1,94,52,0.5531914893617021,3.2670374583072294e-05
H15,logistic,C4,94,52,0.5531914893617021,6.814837502512884e-05
