comparison,horizon,learner,metric,pairs,positive,positive_share,median_delta
C1_vs_C0,H5,gbr,auc,112,63,0.5625,0.0013720881979324973
C1_vs_C0,H5,gbr,brier_skill,112,57,0.5089285714285714,0.0002640466603288649
C1_vs_C0,H5,gbr,logloss_skill,112,57,0.5089285714285714,0.00020897921978696443
C1_vs_C0,H5,gbr,return_spread,112,56,0.5,-3.952934370388975e-06
C1_vs_C0,H5,logistic,auc,112,54,0.48214285714285715,-0.00028247791673408074
C1_vs_C0,H5,logistic,brier_skill,112,45,0.4017857142857143,-0.0004417284955293699
C1_vs_C0,H5,logistic,logloss_skill,112,45,0.4017857142857143,-0.0003790054316670233
C1_vs_C0,H5,logistic,return_spread,112,51,0.45535714285714285,-8.65560643034039e-06
C1_vs_C0,H15,gbr,auc,108,64,0.5925925925925926,0.004153711800629789
C1_vs_C0,H15,gbr,brier_skill,108,63,0.5833333333333334,0.0006935859336498762
C1_vs_C0,H15,gbr,logloss_skill,108,62,0.5740740740740741,0.0005544204914222362
C1_vs_C0,H15,gbr,return_spread,108,62,0.5740740740740741,0.00010259688701564249
C1_vs_C0,H15,logistic,auc,108,52,0.48148148148148145,-0.0019328385664379166
C1_vs_C0,H15,logistic,brier_skill,108,35,0.32407407407407407,-0.0008854419758669851
C1_vs_C0,H15,logistic,logloss_skill,108,36,0.3333333333333333,-0.0006480780268841024
C1_vs_C0,H15,logistic,return_spread,108,56,0.5185185185185185,2.755696406599375e-05
C2_vs_C1,H5,gbr,auc,112,64,0.5714285714285714,0.0010566311407267936
C2_vs_C1,H5,gbr,brier_skill,112,68,0.6071428571428571,0.0006432049688958053
C2_vs_C1,H5,gbr,logloss_skill,112,68,0.6071428571428571,0.0004331113458155289
C2_vs_C1,H5,gbr,return_spread,112,73,0.6517857142857143,2.9592424008154112e-05
C2_vs_C1,H5,logistic,auc,112,55,0.49107142857142855,-5.279469600205644e-05
C2_vs_C1,H5,logistic,brier_skill,112,52,0.4642857142857143,-8.900589833454875e-05
C2_vs_C1,H5,logistic,logloss_skill,112,50,0.44642857142857145,-8.104991421659102e-05
C2_vs_C1,H5,logistic,return_spread,112,59,0.5267857142857143,4.468104209204785e-06
C2_vs_C1,H15,gbr,auc,108,60,0.5555555555555556,0.0011334229724951905
C2_vs_C1,H15,gbr,brier_skill,108,59,0.5462962962962963,0.000270239120978788
C2_vs_C1,H15,gbr,logloss_skill,108,58,0.5370370370370371,0.00016533714951283418
C2_vs_C1,H15,gbr,return_spread,108,48,0.4444444444444444,-1.638325857879543e-05
C2_vs_C1,H15,logistic,auc,108,54,0.5,-8.023237295229357e-05
C2_vs_C1,H15,logistic,brier_skill,108,41,0.37962962962962965,-0.00026621313232955135
C2_vs_C1,H15,logistic,logloss_skill,108,42,0.3888888888888889,-0.00024337380259997765
C2_vs_C1,H15,logistic,return_spread,108,52,0.48148148148148145,-5.864305060911275e-06
C3_vs_C1,H5,gbr,auc,112,54,0.48214285714285715,-0.0005438871155185043
C3_vs_C1,H5,gbr,brier_skill,112,58,0.5178571428571429,8.81661082665075e-05
C3_vs_C1,H5,gbr,logloss_skill,112,59,0.5267857142857143,8.926948974463667e-05
C3_vs_C1,H5,gbr,return_spread,112,61,0.5446428571428571,1.4615453504438919e-05
C3_vs_C1,H5,logistic,auc,112,50,0.44642857142857145,-0.0014849260230285766
C3_vs_C1,H5,logistic,brier_skill,112,49,0.4375,-0.00011391469172100654
C3_vs_C1,H5,logistic,logloss_skill,112,52,0.4642857142857143,-6.944659215885052e-05
C3_vs_C1,H5,logistic,return_spread,112,56,0.5,-3.493941812649667e-08
C3_vs_C1,H15,gbr,auc,108,67,0.6203703703703703,0.0031018749777336763
C3_vs_C1,H15,gbr,brier_skill,108,60,0.5555555555555556,0.000558566652425041
C3_vs_C1,H15,gbr,logloss_skill,108,60,0.5555555555555556,0.00044329028741579846
C3_vs_C1,H15,gbr,return_spread,108,55,0.5092592592592593,4.1299747076786785e-06
C3_vs_C1,H15,logistic,auc,108,48,0.4444444444444444,-0.0015123464551382304
C3_vs_C1,H15,logistic,brier_skill,108,41,0.37962962962962965,-0.0009594449431289398
C3_vs_C1,H15,logistic,logloss_skill,108,42,0.3888888888888889,-0.0006996437261058697
C3_vs_C1,H15,logistic,return_spread,108,49,0.4537037037037037,-3.049906942391242e-05
C4_vs_C1,H5,gbr,auc,112,64,0.5714285714285714,0.0014290965669392364
C4_vs_C1,H5,gbr,brier_skill,112,64,0.5714285714285714,0.0005523540356455192
C4_vs_C1,H5,gbr,logloss_skill,112,64,0.5714285714285714,0.00033264030417096135
C4_vs_C1,H5,gbr,return_spread,112,69,0.6160714285714286,3.0254461695794405e-05
C4_vs_C1,H5,logistic,auc,112,50,0.44642857142857145,-0.0013191682302418628
C4_vs_C1,H5,logistic,brier_skill,112,48,0.42857142857142855,-0.0003937254401525925
C4_vs_C1,H5,logistic,logloss_skill,112,48,0.42857142857142855,-0.0003062212131531572
C4_vs_C1,H5,logistic,return_spread,112,57,0.5089285714285714,1.3261994581000385e-06
C4_vs_C1,H15,gbr,auc,108,62,0.5740740740740741,0.002567124699307921
C4_vs_C1,H15,gbr,brier_skill,108,64,0.5925925925925926,0.0007549985414803673
C4_vs_C1,H15,gbr,logloss_skill,108,65,0.6018518518518519,0.0005815187845786274
C4_vs_C1,H15,gbr,return_spread,108,53,0.49074074074074076,-6.167228527795954e-06
C4_vs_C1,H15,logistic,auc,108,53,0.49074074074074076,-0.001101687971873433
C4_vs_C1,H15,logistic,brier_skill,108,39,0.3611111111111111,-0.0015207718189725883
C4_vs_C1,H15,logistic,logloss_skill,108,37,0.3425925925925926,-0.0012332850534642614
C4_vs_C1,H15,logistic,return_spread,108,52,0.48148148148148145,-1.725876246125435e-05
