instrument,n,abs_p50,abs_p90,abs_p99,abs_p999,abs_max,largest_abs
AG,17559,0.0007129149517331708,0.002824431329767674,0.0075290276630841264,0.01377642845711656,0.048399280766898256,"[{'abs_value': 0.048399280766898256, 'row_id': 28648}, {'abs_value': 0.029054892722344655, 'row_id': 26354}, {'abs_value': 0.021819758644868435, 'row_id': 27190}, {'abs_value': 0.020801574505660576, 'row_id': 26577}, {'abs_value': 0.01798798409835902, 'row_id': 20627}]"
AU,17559,0.0004370291125122345,0.0016565493199139582,0.003964270998171688,0.006997344719436478,0.02637771496218985,"[{'abs_value': 0.02637771496218985, 'row_id': 28648}, {'abs_value': 0.014045207592729224, 'row_id': 36414}, {'abs_value': 0.011425259225864622, 'row_id': 31786}, {'abs_value': 0.01041404891386295, 'row_id': 25628}, {'abs_value': 0.00905527544192295, 'row_id': 30689}]"
CU,12563,0.00030504855356144184,0.0013526173387871986,0.003892136894836177,0.009083024286899886,0.019331424056883272,"[{'abs_value': 0.019331424056883272, 'row_id': 24058}, {'abs_value': 0.013402262098641845, 'row_id': 16421}, {'abs_value': 0.013369469763498168, 'row_id': 16420}, {'abs_value': 0.013313895786747052, 'row_id': 22122}, {'abs_value': 0.012728733295756646, 'row_id': 22928}]"
AL,12563,0.0003439351631138051,0.0017776372154237742,0.005880633919252374,0.013777450643278885,0.04098968280962473,"[{'abs_value': 0.04098968280962473, 'row_id': 24058}, {'abs_value': 0.026141698151313487, 'row_id': 22834}, {'abs_value': 0.025705839076115202, 'row_id': 28325}, {'abs_value': 0.020173649509625725, 'row_id': 14467}, {'abs_value': 0.01980672750449267, 'row_id': 25749}]"
SN,12563,0.0014221315874208436,0.0055460817946750745,0.01497550483789107,0.02619259945161495,0.04793089594214544,"[{'abs_value': 0.04793089594214544, 'row_id': 25053}, {'abs_value': 0.045817570407734334, 'row_id': 12408}, {'abs_value': 0.04020023103581055, 'row_id': 24058}, {'abs_value': 0.031834079199729234, 'row_id': 34918}, {'abs_value': 0.031548920470073794, 'row_id': 22071}]"
NI,12563,0.0007922300514187773,0.0033697587130320067,0.010576694565170193,0.021650614709203306,0.03748840906080275,"[{'abs_value': 0.03748840906080275, 'row_id': 24801}, {'abs_value': 0.030852978923160405, 'row_id': 18123}, {'abs_value': 0.030192860358020844, 'row_id': 23751}, {'abs_value': 0.02991153229500687, 'row_id': 24058}, {'abs_value': 0.029003219267914628, 'row_id': 23193}]"
RB,5897,0.0004820148603207532,0.001986811135300467,0.005203481163146859,0.010101722239715536,0.014889844838344213,"[{'abs_value': 0.014889844838344213, 'row_id': 25194}, {'abs_value': 0.014247094106598938, 'row_id': 25195}, {'abs_value': 0.012951393864570818, 'row_id': 14760}, {'abs_value': 0.011443089629068188, 'row_id': 9288}, {'abs_value': 0.011259209315051907, 'row_id': 16801}]"
I,5897,0.0004919771614271851,0.0020866308165633203,0.0057546351454678246,0.010842842322071989,0.014878599255351264,"[{'abs_value': 0.014878599255351264, 'row_id': 16732}, {'abs_value': 0.011888250050390854, 'row_id': 11263}, {'abs_value': 0.01152485040727719, 'row_id': 21859}, {'abs_value': 0.011103085126205068, 'row_id': 26367}, {'abs_value': 0.011070558156296059, 'row_id': 23630}]"
SC,17548,0.0010686626052969482,0.00419948452100683,0.011530867034072731,0.022394672377182057,0.06713085597517596,"[{'abs_value': 0.06713085597517596, 'row_id': 30660}, {'abs_value': 0.05955517668939864, 'row_id': 28648}, {'abs_value': 0.05475897856069917, 'row_id': 40342}, {'abs_value': 0.036486699197229654, 'row_id': 28953}, {'abs_value': 0.03377242700230622, 'row_id': 42673}]"
RU,5897,0.0011394535802149424,0.004627456303013701,0.01026326754134574,0.017413802666224356,0.02663506611168739,"[{'abs_value': 0.02663506611168739, 'row_id': 8874}, {'abs_value': 0.02406489613304611, 'row_id': 24921}, {'abs_value': 0.02006980802792321, 'row_id': 20644}, {'abs_value': 0.0193125849559553, 'row_id': 20646}, {'abs_value': 0.019071841683506376, 'row_id': 11279}]"
