instrument,grid_rows,H5_master_rows,H15_master_rows
AG,31107,17559,15867
AU,31107,17559,15867
CU,26115,12563,10871
AL,26115,12563,10871
SN,26115,12563,10871
NI,26115,12563,10871
RB,19464,5897,4203
I,19464,5897,4203
SC,31105,17548,15855
RU,19464,5897,4203
MA,19464,5897,4203
TA,19464,5897,4203
M,19464,5897,4203
P,19464,5897,4203
CF,19464,5897,4203
LC,12810,2562,1424
