instrument,horizon,features,learner,stratum,fold,n,auc,brier_skill,logloss_skill,return_spread
AG,H5,C0,gbr,ALL,0,1755,0.508251080987393,-0.0023800395107189676,-0.0018609214180262956,-5.7431605894043555e-05
AG,H5,C0,gbr,ALL,1,1755,0.529873155949857,0.003559867596166444,0.00245663653973871,-0.00046000537138201703
AG,H5,C0,gbr,ALL,2,1755,0.5321478210040916,1.657293473711352e-05,-5.3001916319850295e-05,-1.1747770425906578e-05
AG,H5,C0,gbr,ALL,3,1755,0.552194654257185,0.006114349619724235,0.004414660725791109,0.0002627415805404401
AG,H5,C0,gbr,ALL,4,1755,0.5256768870988697,0.0022082130827921764,0.0015963198749480156,-0.0001030719534637217
AG,H5,C0,gbr,ALL,5,1755,0.5321218174431204,0.001599370984162518,0.0011529092236811644,0.0002283543776847228
AG,H5,C0,gbr,ALL,6,1755,0.5179177828067231,-0.0006761860231134786,-0.0005223102876208419,-0.00021222461415406957
AG,H5,C0,gbr,TOP50,0,1506,0.510797827163989,-0.0020205767965875143,-0.001615446742478932,3.343588173964523e-05
AG,H5,C0,gbr,TOP50,1,1695,0.5248183663881338,0.002037529109962799,0.0013469896539354265,-0.0005274006696568932
AG,H5,C0,gbr,TOP50,2,1643,0.5177162670776161,-0.0037137133837175096,-0.0027577250389394514,-7.418908040806666e-06
AG,H5,C0,gbr,TOP50,3,1447,0.5547947169234297,0.006197286402065849,0.0044754583929274006,0.0002397653079277605
AG,H5,C0,gbr,TOP50,4,1380,0.5177497326562726,0.0003520622930419659,0.00025177359091332896,-0.00020325727255044373
AG,H5,C0,gbr,TOP50,5,1233,0.5323422569691227,0.002260855048238586,0.0016447466968467772,0.00032123325867492467
AG,H5,C0,gbr,TOP50,6,1044,0.4998660393147085,-0.0043838839634264826,-0.003219834990137782,-0.00021983212591984746
AG,H5,C0,gbr,TOP30,0,1414,0.507994827171385,-0.003325730382706338,-0.0025453764532279433,-8.722474793747384e-06
AG,H5,C0,gbr,TOP30,1,1657,0.5194395232726686,0.0009494835266640189,0.0005555819164669851,-0.0007951600223817172
AG,H5,C0,gbr,TOP30,2,1604,0.514842903406856,-0.004584834025614937,-0.0033891412879683003,-6.341147087202248e-05
AG,H5,C0,gbr,TOP30,3,1112,0.5452589344938603,0.0034321989411341125,0.0024725029734961046,0.0002442853177049964
AG,H5,C0,gbr,TOP30,4,1110,0.5251447976728482,0.001183104220340514,0.0008495310085590013,-0.0003076792065162222
AG,H5,C0,gbr,TOP30,5,848,0.5511717946007888,0.0074712868812562006,0.005428769878700335,0.0004079352131337627
AG,H5,C0,gbr,TOP30,6,665,0.502425032122627,-0.004832573745295221,-0.003524738806650607,-0.0002870119197955446
AG,H5,C0,gbr,TOP20,0,1340,0.5052901363257518,-0.0036760054174300727,-0.002804452123251977,-2.0809986832410706e-05
AG,H5,C0,gbr,TOP20,1,1616,0.5166928406466513,3.044200776247674e-05,-0.00011632568431552137,-0.0008102635979498978
AG,H5,C0,gbr,TOP20,2,1514,0.5213838607169718,-0.0032240346560807875,-0.0024096108658706594,-4.817727349855507e-06
AG,H5,C0,gbr,TOP20,3,858,0.5483492296404988,0.0051305693417851295,0.0036879418840966016,0.00020244205724980215
AG,H5,C0,gbr,TOP20,4,789,0.5340256268555051,0.0026261113142641568,0.0018884667768447327,-0.00020772831968092576
AG,H5,C0,gbr,TOP20,5,553,0.5426905864803329,0.004922437724771411,0.003590775697291382,0.00031125569583561013
