模型,固定退出夏普,动态退出夏普,夏普差值,固定退出累计,动态退出累计,累计差值,提前退出比例,平均持有K线数
线性,1.5425,1.5452,0.0027,14.9153,11.5491,-3.3662,0.4943,2.7733
LightGBM,1.5425,1.1795,-0.363,14.9153,10.4483,-4.467,0.3528,3.9334
XGBoost,1.5425,0.7024,-0.8401,14.9153,5.9998,-8.9155,0.3968,3.7722
