模型,退出方式,opportunity_curve_cumulative_R,夏普率,最大回撤,利润因子,交易次数,trade_total_R,平均交易R,提前退出比例,平均持有K线数
LightGBM,固定退出,2.2933,1.4395,1.4451,1.103170486262589,1681,110.5241,0.065749,0.0,
LightGBM,动态退出,1.2042,0.8227,1.2787,1.0600798690493474,1681,57.86,0.03442,0.3528,3.9334
XGBoost,固定退出,2.2933,1.4395,1.4451,1.103170486262589,1681,110.5241,0.065749,0.0,
XGBoost,动态退出,0.6778,0.4936,1.5782,1.0348279189546028,1681,33.0549,0.019664,0.3968,3.7722
线性,固定退出,2.2933,1.4395,1.4451,1.103170486262589,1681,110.5241,0.065749,0.0,
线性,动态退出,1.5344,1.1915,1.1192,1.0660189496619774,1681,52.0083,0.030939,0.4943,2.7733
