variant,decile,n,predicted_mean,actual_mean,trade_rate
V0_OLD96__Yopp_PCT,0,1807,-0.0035821248760362465,-0.0017136835378353033,0.31263383297644537
V0_OLD96__Yopp_PCT,1,1807,-0.0024224989081285896,-0.001192388467641306,0.3175388967468175
V0_OLD96__Yopp_PCT,2,1807,-0.002111425328685992,-0.001066154898193618,0.3179524152847873
V0_OLD96__Yopp_PCT,3,1806,-0.0018912464633184913,-0.0011457403305457773,0.3015988372093023
V0_OLD96__Yopp_PCT,4,1807,-0.001659537319871044,-0.001134895622127848,0.30959302325581395
V0_OLD96__Yopp_PCT,5,1807,-0.0013781057481133073,-0.001299972264600529,0.35133239831697055
V0_OLD96__Yopp_PCT,6,1806,-0.0010560242562790566,-0.0010827478380986426,0.3242662848962062
V0_OLD96__Yopp_PCT,7,1807,-0.0006762390223931065,-0.0013041150715987274,0.3080198722498226
V0_OLD96__Yopp_PCT,8,1807,-0.0002686596593264195,-0.0013732393388773481,0.3035971223021583
V0_OLD96__Yopp_PCT,9,1807,0.0003600459351644745,-0.0010612087224536146,0.2943722943722944
V4_FIELD_CORE__Yopp_PCT,0,1807,-0.0030069972546617444,-0.0018507588794428591,0.29524485450674237
V4_FIELD_CORE__Yopp_PCT,1,1807,-0.0023978232683493452,-0.0015822980690572603,0.3238512035010941
V4_FIELD_CORE__Yopp_PCT,2,1807,-0.002000334026199559,-0.0012523484813054412,0.32303370786516855
V4_FIELD_CORE__Yopp_PCT,3,1806,-0.0017277543159674026,-0.0010600704185348311,0.34184397163120567
V4_FIELD_CORE__Yopp_PCT,4,1807,-0.0015214448385610215,-0.0011890575888774042,0.30092923516797715
V4_FIELD_CORE__Yopp_PCT,5,1807,-0.0013538180636668117,-0.0011710003363415021,0.2994227994227994
V4_FIELD_CORE__Yopp_PCT,6,1806,-0.0011795050925030464,-0.001031601443360808,0.31597975415762836
V4_FIELD_CORE__Yopp_PCT,7,1807,-0.0009962035450559914,-0.0011574369277773014,0.3078055964653903
V4_FIELD_CORE__Yopp_PCT,8,1807,-0.0007585323217346103,-0.0009906393957752645,0.32275862068965516
V4_FIELD_CORE__Yopp_PCT,9,1807,-0.0003464723248696036,-0.0010888588368864562,0.3104956268221574
