penalty_bp,trade_penalty,action_count,turnover_units,gross_log_capture,objective_log_return,long_entry_count,short_entry_count
5,0.0005,1198,2378,18.095004571066404,16.906004571066404,594,595
10,0.001,992,1970,17.79520918456025,15.825209184560249,492,493
20,0.002,705,1400,16.962460807205154,14.162460807205154,350,350
30,0.003,537,1064,16.129442119159826,12.937442119159826,266,266
50,0.005,376,742,14.865486560783273,11.155486560783274,185,186
80,0.008,249,490,13.272639322885459,9.352639322885459,122,123
