bar_index,time,close,oracle_position,oracle_action,oracle_delta,oracle_prev_position,oracle_transition,oracle_entry_side,penalty_bp
0,2025-07-23 11:00:00,9522.0,-1,SELL,-1,0,0->-1,SELL,20
1,2025-07-23 13:00:00,9479.0,-1,HOLD,0,-1,-1->-1,,20
2,2025-07-23 14:00:00,9492.0,-1,HOLD,0,-1,-1->-1,,20
3,2025-07-23 21:00:00,9487.0,-1,HOLD,0,-1,-1->-1,,20
4,2025-07-23 22:00:00,9482.0,-1,HOLD,0,-1,-1->-1,,20
5,2025-07-23 23:00:00,9445.0,-1,HOLD,0,-1,-1->-1,,20
6,2025-07-24 00:00:00,9417.0,-1,HOLD,0,-1,-1->-1,,20
7,2025-07-24 01:00:00,9431.0,-1,HOLD,0,-1,-1->-1,,20
8,2025-07-24 02:00:00,9431.0,-1,HOLD,0,-1,-1->-1,,20
9,2025-07-24 09:00:00,9387.0,-1,HOLD,0,-1,-1->-1,,20
10,2025-07-24 10:00:00,9378.0,-1,HOLD,0,-1,-1->-1,,20
11,2025-07-24 11:00:00,9302.0,1,BUY,2,-1,-1->1,BUY,20
12,2025-07-24 13:00:00,9350.0,1,HOLD,0,1,1->1,,20
13,2025-07-24 14:00:00,9386.0,1,HOLD,0,1,1->1,,20
14,2025-07-24 21:00:00,9363.0,1,HOLD,0,1,1->1,,20
15,2025-07-24 22:00:00,9365.0,1,HOLD,0,1,1->1,,20
16,2025-07-24 23:00:00,9361.0,1,HOLD,0,1,1->1,,20
17,2025-07-25 00:00:00,9349.0,1,HOLD,0,1,1->1,,20
18,2025-07-25 01:00:00,9371.0,1,HOLD,0,1,1->1,,20
19,2025-07-25 02:00:00,9369.0,1,HOLD,0,1,1->1,,20
20,2025-07-25 09:00:00,9439.0,-1,SELL,-2,1,1->-1,SELL,20
21,2025-07-25 10:00:00,9400.0,-1,HOLD,0,-1,-1->-1,,20
22,2025-07-25 11:00:00,9385.0,-1,HOLD,0,-1,-1->-1,,20
23,2025-07-25 13:00:00,9374.0,-1,HOLD,0,-1,-1->-1,,20
24,2025-07-25 14:00:00,9392.0,-1,HOLD,0,-1,-1->-1,,20
25,2025-07-25 21:00:00,9346.0,-1,HOLD,0,-1,-1->-1,,20
26,2025-07-25 22:00:00,9219.0,-1,HOLD,0,-1,-1->-1,,20
27,2025-07-25 23:00:00,9151.0,1,BUY,2,-1,-1->1,BUY,20
28,2025-07-26 00:00:00,9161.0,1,HOLD,0,1,1->1,,20
29,2025-07-26 01:00:00,9172.0,1,HOLD,0,1,1->1,,20
30,2025-07-26 02:00:00,9169.0,1,HOLD,0,1,1->1,,20
31,2025-07-28 09:00:00,9185.0,1,HOLD,0,1,1->1,,20
32,2025-07-28 10:00:00,9204.0,1,HOLD,0,1,1->1,,20
33,2025-07-28 11:00:00,9186.0,1,HOLD,0,1,1->1,,20
34,2025-07-28 13:00:00,9200.0,1,HOLD,0,1,1->1,,20
35,2025-07-28 14:00:00,9212.0,-1,SELL,-2,1,1->-1,SELL,20
36,2025-07-28 21:00:00,9155.0,1,BUY,2,-1,-1->1,BUY,20
37,2025-07-28 22:00:00,9187.0,1,HOLD,0,1,1->1,,20
38,2025-07-28 23:00:00,9209.0,1,HOLD,0,1,1->1,,20
39,2025-07-29 00:00:00,9199.0,1,HOLD,0,1,1->1,,20
