bar_index,datetime,open,high,low,close,volume,swing_bias,internal_bias
0,2025-07-23 12:00:00,9498.0,9504.0,9460.0,9492.0,148301.0,0,0
1,2025-07-23 20:00:00,9508.0,9519.0,9444.0,9445.0,467355.0,0,0
2,2025-07-24 00:00:00,9445.0,9452.0,9406.0,9431.0,244774.0,0,0
3,2025-07-24 08:00:00,9436.0,9446.0,9287.0,9302.0,368122.0,0,0
4,2025-07-24 12:00:00,9330.0,9388.0,9323.0,9386.0,172931.0,0,0
5,2025-07-24 20:00:00,9301.0,9386.0,9290.0,9361.0,323771.0,0,0
6,2025-07-25 00:00:00,9361.0,9379.0,9341.0,9369.0,62089.0,0,0
7,2025-07-25 08:00:00,9389.0,9447.0,9371.0,9385.0,232152.0,0,0
8,2025-07-25 12:00:00,9377.0,9397.0,9361.0,9392.0,124048.0,0,0
9,2025-07-25 20:00:00,9350.0,9369.0,9123.0,9151.0,772364.0,0,-1
10,2025-07-26 00:00:00,9151.0,9178.0,9145.0,9169.0,151742.0,0,-1
11,2025-07-28 08:00:00,9171.0,9216.0,9171.0,9186.0,182052.0,0,-1
12,2025-07-28 12:00:00,9189.0,9219.0,9183.0,9212.0,97149.0,0,-1
13,2025-07-28 20:00:00,9195.0,9216.0,9152.0,9209.0,329949.0,0,-1
14,2025-07-29 00:00:00,9209.0,9210.0,9187.0,9200.0,51381.0,0,-1
15,2025-07-29 08:00:00,9200.0,9207.0,9179.0,9202.0,114765.0,0,-1
16,2025-07-29 12:00:00,9192.0,9225.0,9192.0,9195.0,95832.0,0,-1
17,2025-07-29 20:00:00,9191.0,9256.0,9176.0,9220.0,369945.0,0,-1
18,2025-07-30 00:00:00,9220.0,9240.0,9209.0,9234.0,64487.0,0,-1
19,2025-07-30 08:00:00,9231.0,9231.0,9184.0,9215.0,135232.0,0,-1
20,2025-07-30 12:00:00,9219.0,9231.0,9187.0,9192.0,120202.0,0,-1
21,2025-07-30 20:00:00,9144.0,9145.0,9050.0,9094.0,526580.0,0,-1
22,2025-07-31 00:00:00,9094.0,9128.0,9076.0,9090.0,143091.0,0,-1
23,2025-07-31 08:00:00,9045.0,9045.0,8964.0,9016.0,329372.0,0,-1
24,2025-07-31 12:00:00,9025.0,9025.0,9000.0,9008.0,101597.0,0,-1
25,2025-07-31 20:00:00,8938.0,8965.0,8901.0,8930.0,335851.0,0,-1
26,2025-08-01 00:00:00,8930.0,8937.0,8916.0,8935.0,46448.0,0,-1
27,2025-08-01 08:00:00,8924.0,8934.0,8885.0,8911.0,123038.0,0,-1
28,2025-08-01 12:00:00,8909.0,8946.0,8904.0,8918.0,82104.0,0,-1
29,2025-08-01 20:00:00,8994.0,9032.0,8978.0,8998.0,284589.0,0,-1
30,2025-08-02 00:00:00,8998.0,9001.0,8971.0,8994.0,43711.0,0,-1
