bar_index,datetime,open,high,low,close,volume,swing_bias,internal_bias,momentum_val,momentum_bcolor,momentum_scolor
0,2025-07-23 11:00:00,9467.0,9526.0,9460.0,9522.0,69924.0,0,0,,maroon,blue
1,2025-07-23 13:00:00,9498.0,9502.0,9460.0,9479.0,72681.0,0,0,,maroon,blue
2,2025-07-23 14:00:00,9479.0,9504.0,9463.0,9492.0,75620.0,0,0,,maroon,blue
3,2025-07-23 21:00:00,9508.0,9519.0,9455.0,9487.0,197546.0,0,0,,maroon,blue
4,2025-07-23 22:00:00,9487.0,9506.0,9465.0,9482.0,122939.0,0,0,,maroon,blue
5,2025-07-23 23:00:00,9482.0,9502.0,9444.0,9445.0,146870.0,0,0,,maroon,blue
6,2025-07-24 00:00:00,9445.0,9452.0,9406.0,9417.0,192369.0,0,0,,maroon,blue
7,2025-07-24 01:00:00,9417.0,9435.0,9413.0,9431.0,39903.0,0,0,,maroon,blue
8,2025-07-24 02:00:00,9431.0,9437.0,9427.0,9431.0,12502.0,0,0,,maroon,blue
9,2025-07-24 09:00:00,9436.0,9446.0,9381.0,9387.0,158683.0,0,0,,maroon,blue
10,2025-07-24 10:00:00,9387.0,9394.0,9357.0,9378.0,93026.0,0,0,,maroon,blue
11,2025-07-24 11:00:00,9378.0,9381.0,9287.0,9302.0,116413.0,0,0,,maroon,blue
12,2025-07-24 13:00:00,9330.0,9354.0,9323.0,9350.0,72115.0,0,0,,maroon,blue
13,2025-07-24 14:00:00,9350.0,9388.0,9333.0,9386.0,100816.0,0,0,,maroon,blue
14,2025-07-24 21:00:00,9301.0,9373.0,9290.0,9363.0,196922.0,0,0,,maroon,blue
15,2025-07-24 22:00:00,9363.0,9386.0,9352.0,9365.0,75722.0,0,0,,maroon,blue
16,2025-07-24 23:00:00,9365.0,9375.0,9354.0,9361.0,51127.0,0,0,,maroon,blue
17,2025-07-25 00:00:00,9361.0,9370.0,9349.0,9349.0,27343.0,0,0,,maroon,blue
18,2025-07-25 01:00:00,9349.0,9374.0,9341.0,9371.0,26273.0,0,0,,maroon,blue
