bar_index,signal_bar_time,decision_time,side,event_type,structure_level,event_level,higher_tf,higher_bar_index,higher_bar_time,higher_swing_bias,lower_tf,lower_event_bullish,momentum_val,momentum_bcolor,reason
862,2025-11-19 10:00:00,2025-11-19 11:00:00,BUY,CHoCH,Internal,12027.0,4h,312,2025-11-19 00:00:00,1,1h,True,83.09821428571439,lime,4H swing trend bullish | 1H internal bullish CHoCH | 1H momentum lime
905,2025-11-25 09:00:00,2025-11-25 10:00:00,BUY,CHoCH,Internal,11977.0,4h,328,2025-11-25 00:00:00,1,1h,True,180.06500000000023,lime,4H swing trend bullish | 1H internal bullish CHoCH | 1H momentum lime
938,2025-11-28 09:00:00,2025-11-28 10:00:00,BUY,BOS,Internal,12540.0,4h,340,2025-11-28 00:00:00,1,1h,True,163.74607142857116,lime,4H swing trend bullish | 1H internal bullish BOS | 1H momentum lime
938,2025-11-28 09:00:00,2025-11-28 10:00:00,BUY,BOS,Swing,12639.0,4h,340,2025-11-28 00:00:00,1,1h,True,163.74607142857116,lime,4H swing trend bullish | 1H swing bullish BOS | 1H momentum lime
957,2025-12-02 00:00:00,2025-12-02 01:00:00,BUY,BOS,Internal,13520.0,4h,347,2025-12-01 20:00:00,1,1h,True,524.0553571428568,lime,4H swing trend bullish | 1H internal bullish BOS | 1H momentum lime
972,2025-12-03 10:00:00,2025-12-03 11:00:00,BUY,BOS,Internal,13787.0,4h,352,2025-12-03 00:00:00,1,1h,True,70.37500000000045,lime,4H swing trend bullish | 1H internal bullish BOS | 1H momentum lime
1000,2025-12-05 23:00:00,2025-12-06 00:00:00,BUY,CHoCH,Internal,13765.0,4h,363,2025-12-05 20:00:00,1,1h,True,116.14321428571404,lime,4H swing trend bullish | 1H internal bullish CHoCH | 1H momentum lime
1020,2025-12-09 21:00:00,2025-12-09 22:00:00,BUY,BOS,Internal,13750.0,4h,370,2025-12-09 12:00:00,1,1h,True,-62.81500000000011,maroon,4H swing trend bullish | 1H internal bullish BOS | 1H momentum maroon
1037,2025-12-11 09:00:00,2025-12-11 10:00:00,BUY,BOS,Internal,14419.0,4h,376,2025-12-11 00:00:00,1,1h,True,359.06964285714287,lime,4H swing trend bullish | 1H internal bullish BOS | 1H momentum lime
1044,2025-12-11 23:00:00,2025-12-12 00:00:00,BUY,BOS,Internal,14665.0,4h,379,2025-12-11 20:00:00,1,1h,True,239.58750000000015,lime,4H swing trend bullish | 1H internal bullish BOS | 1H momentum lime
1053,2025-12-12 21:00:00,2025-12-12 22:00:00,BUY,BOS,Internal,15033.0,4h,382,2025-12-12 12:00:00,1,1h,True,397.3575,lime,4H swing trend bullish | 1H internal bullish BOS | 1H momentum lime
