region,wf,n_contacts,n_trades,trade_rate,resolved_n,censored_n,censored_rate,mean_R_lower,median_R_lower,profit_factor_lower,win_rate,total_R_lower,ambiguity_rate,E_R_lower_resolved,E_R_lower_censor_worst,max_drawdown_R,final_cumulative_R
WHOLE_POLICY,ALL,9015,9015,1.0,8771,244,0.02706600110926234,0.027067194257687176,0.42857142857142855,1.0680052594769904,0.6019838102838901,237.40636083417422,0.00011092623405435385,0.027067194257687176,-0.0007314075613783463,-115.29274694146969,237.4063608341742
WHOLE_POLICY,WF1,3160,3160,1.0,3060,100,0.03164556962025317,0.03319231678988429,0.42857142857142855,1.0842193112579153,0.6058823529411764,101.56848937704592,0.00031645569620253165,0.03319231678988429,0.0004963573977993466,-81.46340644081238,101.56848937704571
WHOLE_POLICY,WF2,2847,2847,1.0,2806,41,0.014401123990165085,0.012635080869326389,0.4202037351443124,1.0309102327108368,0.5912330719885959,35.454036919329845,0.00035124692658939234,0.012635080869326389,-0.0019480024870636302,-85.9808557203016,35.45403691932978
WHOLE_POLICY,WF3,3008,3008,1.0,2905,103,0.034242021276595744,0.03455553684605798,0.4444444444444444,1.0882107509119494,0.6082616179001721,100.38383453779842,0.0003324468085106383,0.03455553684605798,-0.0008697358584446691,-115.29274694147006,100.38383453779824
R1,WF1,465,465,1.0,401,64,0.13763440860215054,0.13084485481769267,-1.0,1.1867216611455331,0.29925187032418954,52.468786781894764,0.0,0.13084485481769267,-0.02479830799592521,-31.235998125576412,52.46878678189476
R1,WF2,380,380,1.0,353,27,0.07105263157894737,0.12041545006688467,-1.0,1.1734965464228992,0.3059490084985836,42.50665387361029,0.0,0.12041545006688467,0.04080698387792184,-24.21678833198405,42.50665387361033
R1,WF3,413,413,1.0,381,32,0.0774818401937046,0.03587895818775432,-1.0,1.049528561846139,0.2755905511811024,13.669883069534396,0.0,0.03587895818775432,-0.04438284971057049,-80.98258281938405,13.669883069534341
R2,WF1,1044,1044,1.0,1022,22,0.0210727969348659,-0.004085952082328337,0.42857142857142855,0.988652600467012,0.639921722113503,-4.17584302813956,0.0009578544061302681,-0.004085952082328337,-0.025072646578677738,-77.23636834995222,-4.175843028139591
R2,WF2,952,952,1.0,951,1,0.0010504201680672268,0.005368058002352877,0.41935483870967744,1.0149707424053889,0.6414300736067298,5.105023160237586,0.0010504201680672268,0.005368058002352877,0.004311999117896624,-59.32633045664839,5.105023160237615
R2,WF3,923,923,1.0,917,6,0.0065005417118093175,0.04356420751245079,0.47619047619047616,1.1318428326366912,0.6695747001090513,39.948378288917375,0.0010834236186348862,0.04356420751245079,0.03678047485256487,-55.22361808755507,39.94837828891742
R3,WF1,720,720,1.0,712,8,0.011111111111111112,0.008991489063699032,0.42857142857142855,1.0255057379018075,0.6474719101123596,6.40194021335371,0.001388888888888889,0.008991489063699032,-0.002219527481453186,-46.387498599158825,6.401940213353786
R3,WF2,759,759,1.0,759,0,0.0,0.0721864406635635,0.5,1.219158033854579,0.6706192358366272,54.789508463644694,0.0013175230566534915,0.0721864406635635,0.0721864406635635,-32.00190706383381,54.78950846364476
R3,WF3,685,685,1.0,678,7,0.010218978102189781,0.012479306810293968,0.45454545454545453,1.0352540417390805,0.6460176991150443,8.46097001737931,0.00145985401459854,0.012479306810293968,0.0021328029450792953,-30.409695682468435,8.460970017379319
R4,WF1,931,931,1.0,925,6,0.00644468313641246,0.05067416801074272,0.5,1.153181717025938,0.6691891891891892,46.873605409937014,0.0010741138560687433,0.05067416801074272,0.04390290591829969,-33.71397306897774,46.87360540993707
R4,WF2,756,756,1.0,743,13,0.017195767195767195,-0.09010383388716382,0.4,0.7847358566618562,0.5814266487213997,-66.94714857816273,0.0013227513227513227,-0.09010383388716382,-0.10575019653196127,-94.40830974150862,-66.94714857816265
R4,WF3,987,987,1.0,929,58,0.05876393110435663,0.041232080906315756,0.4782608695652174,1.120077125899584,0.6566200215285253,38.304603161967336,0.0010131712259371835,0.041232080906315756,-0.019954809359708874,-39.91949840113774,38.30460316196736
