row_type,wf,item,value
summary,ALL,n_contacts,73885.0
summary,ALL,n_enter,9015.0
summary,ALL,n_skip,64870.0
summary,ALL,enter_rate,0.12201394058333898
summary,ALL,n_R1,1258.0
summary,ALL,n_R2,2920.0
summary,ALL,n_R3,2183.0
summary,ALL,n_R4,3158.0
summary,ALL,n_multiple_region_match,504.0
summary,ALL,n_dual_action_conflict,0.0
summary,ALL,n_earlier_region_supersedes_later,504.0
summary,ALL,unique_contact_coverage,9015.0
region_pair,ALL,R1&R2,1.0
region_pair,ALL,R1&R3,19.0
region_pair,ALL,R1&R4,4.0
region_pair,ALL,R2&R3,0.0
region_pair,ALL,R2&R4,403.0
region_pair,ALL,R3&R4,77.0
summary,WF1,n_contacts,25383.0
summary,WF1,n_enter,3160.0
summary,WF1,n_skip,22223.0
summary,WF1,enter_rate,0.12449277075207817
summary,WF1,n_R1,465.0
summary,WF1,n_R2,1044.0
summary,WF1,n_R3,730.0
summary,WF1,n_R4,1115.0
summary,WF1,n_multiple_region_match,194.0
summary,WF1,n_dual_action_conflict,0.0
summary,WF1,n_earlier_region_supersedes_later,194.0
summary,WF1,unique_contact_coverage,3160.0
region_pair,WF1,R1&R2,0.0
region_pair,WF1,R1&R3,10.0
region_pair,WF1,R1&R4,0.0
region_pair,WF1,R2&R3,0.0
region_pair,WF1,R2&R4,174.0
region_pair,WF1,R3&R4,10.0
summary,WF2,n_contacts,24692.0
summary,WF2,n_enter,2847.0
summary,WF2,n_skip,21845.0
summary,WF2,enter_rate,0.11530050218694314
summary,WF2,n_R1,380.0
summary,WF2,n_R2,953.0
summary,WF2,n_R3,762.0
summary,WF2,n_R4,925.0
summary,WF2,n_multiple_region_match,173.0
summary,WF2,n_dual_action_conflict,0.0
summary,WF2,n_earlier_region_supersedes_later,173.0
summary,WF2,unique_contact_coverage,2847.0
region_pair,WF2,R1&R2,1.0
region_pair,WF2,R1&R3,3.0
region_pair,WF2,R1&R4,1.0
region_pair,WF2,R2&R3,0.0
region_pair,WF2,R2&R4,136.0
region_pair,WF2,R3&R4,32.0
summary,WF3,n_contacts,23810.0
summary,WF3,n_enter,3008.0
summary,WF3,n_skip,20802.0
summary,WF3,enter_rate,0.12633347333053338
summary,WF3,n_R1,413.0
summary,WF3,n_R2,923.0
summary,WF3,n_R3,691.0
summary,WF3,n_R4,1118.0
summary,WF3,n_multiple_region_match,137.0
summary,WF3,n_dual_action_conflict,0.0
summary,WF3,n_earlier_region_supersedes_later,137.0
summary,WF3,unique_contact_coverage,3008.0
region_pair,WF3,R1&R2,0.0
region_pair,WF3,R1&R3,6.0
region_pair,WF3,R1&R4,3.0
region_pair,WF3,R2&R3,0.0
region_pair,WF3,R2&R4,93.0
region_pair,WF3,R3&R4,35.0
