aux_region,wf,cost_R,n_rows,unique_contacts,overlap_with_primary_contacts,gross_E_R_lower,net_E_R_lower,coverage_class
A1,WF1,0.0,274,274,24.0,0.002302417222742941,0.002302417222742941,
A1,WF1,0.01,274,274,24.0,0.002302417222742941,-0.007697582777257059,
A1,WF1,0.02,274,274,24.0,0.002302417222742941,-0.01769758277725706,
A1,WF1,0.03,274,274,24.0,0.002302417222742941,-0.02769758277725706,
A1,WF1,0.05,274,274,24.0,0.002302417222742941,-0.04769758277725706,
A1,WF1,0.1,274,274,24.0,0.002302417222742941,-0.09769758277725707,
A1,WF2,0.0,205,205,19.0,0.31619967050313563,0.31619967050313563,
A1,WF2,0.01,205,205,19.0,0.31619967050313563,0.3061996705031356,
A1,WF2,0.02,205,205,19.0,0.31619967050313563,0.2961996705031356,
A1,WF2,0.03,205,205,19.0,0.31619967050313563,0.28619967050313566,
A1,WF2,0.05,205,205,19.0,0.31619967050313563,0.26619967050313564,
A1,WF2,0.1,205,205,19.0,0.31619967050313563,0.21619967050313563,
A1,WF3,0.0,204,204,7.0,0.1834104364566,0.1834104364566,
A1,WF3,0.01,204,204,7.0,0.1834104364566,0.17341043645659998,
A1,WF3,0.02,204,204,7.0,0.1834104364566,0.1634104364566,
A1,WF3,0.03,204,204,7.0,0.1834104364566,0.1534104364566,
A1,WF3,0.05,204,204,7.0,0.1834104364566,0.1334104364566,
A1,WF3,0.1,204,204,7.0,0.1834104364566,0.08341043645659998,
A2,WF1,0.0,322,322,75.0,0.07842444986209329,0.07842444986209329,
A2,WF1,0.01,322,322,75.0,0.07842444986209329,0.0684244498620933,
A2,WF1,0.02,322,322,75.0,0.07842444986209329,0.05842444986209329,
A2,WF1,0.03,322,322,75.0,0.07842444986209329,0.048424449862093294,
A2,WF1,0.05,322,322,75.0,0.07842444986209329,0.02842444986209329,
A2,WF1,0.1,322,322,75.0,0.07842444986209329,-0.021575550137906713,
A2,WF2,0.0,380,380,81.0,0.09769595754069926,0.09769595754069926,
A2,WF2,0.01,380,380,81.0,0.09769595754069926,0.08769595754069927,
A2,WF2,0.02,380,380,81.0,0.09769595754069926,0.07769595754069926,
A2,WF2,0.03,380,380,81.0,0.09769595754069926,0.06769595754069926,
A2,WF2,0.05,380,380,81.0,0.09769595754069926,0.04769595754069926,
A2,WF2,0.1,380,380,81.0,0.09769595754069926,-0.0023040424593007425,
A2,WF3,0.0,343,343,61.0,0.02309208192070734,0.02309208192070734,
A2,WF3,0.01,343,343,61.0,0.02309208192070734,0.01309208192070734,
A2,WF3,0.02,343,343,61.0,0.02309208192070734,0.0030920819207073402,
A2,WF3,0.03,343,343,61.0,0.02309208192070734,-0.006907918079292658,
A2,WF3,0.05,343,343,61.0,0.02309208192070734,-0.026907918079292662,
A2,WF3,0.1,343,343,61.0,0.02309208192070734,-0.07690791807929266,
A3,WF1,0.0,274,274,24.0,0.002302417222742941,0.002302417222742941,
A3,WF1,0.01,274,274,24.0,0.002302417222742941,-0.007697582777257059,
A3,WF1,0.02,274,274,24.0,0.002302417222742941,-0.01769758277725706,
A3,WF1,0.03,274,274,24.0,0.002302417222742941,-0.02769758277725706,
A3,WF1,0.05,274,274,24.0,0.002302417222742941,-0.04769758277725706,
A3,WF1,0.1,274,274,24.0,0.002302417222742941,-0.09769758277725707,
A3,WF2,0.0,204,204,18.0,0.32339201842938226,0.32339201842938226,
A3,WF2,0.01,204,204,18.0,0.32339201842938226,0.31339201842938225,
A3,WF2,0.02,204,204,18.0,0.32339201842938226,0.30339201842938224,
A3,WF2,0.03,204,204,18.0,0.32339201842938226,0.29339201842938223,
A3,WF2,0.05,204,204,18.0,0.32339201842938226,0.27339201842938227,
A3,WF2,0.1,204,204,18.0,0.32339201842938226,0.22339201842938225,
A3,WF3,0.0,200,200,7.0,0.19796921588433078,0.19796921588433078,
A3,WF3,0.01,200,200,7.0,0.19796921588433078,0.18796921588433077,
A3,WF3,0.02,200,200,7.0,0.19796921588433078,0.1779692158843308,
A3,WF3,0.03,200,200,7.0,0.19796921588433078,0.16796921588433078,
A3,WF3,0.05,200,200,7.0,0.19796921588433078,0.14796921588433076,
A3,WF3,0.1,200,200,7.0,0.19796921588433078,0.09796921588433077,
A4,WF1,0.0,322,322,75.0,0.07842444986209329,0.07842444986209329,
A4,WF1,0.01,322,322,75.0,0.07842444986209329,0.0684244498620933,
A4,WF1,0.02,322,322,75.0,0.07842444986209329,0.05842444986209329,
A4,WF1,0.03,322,322,75.0,0.07842444986209329,0.048424449862093294,
A4,WF1,0.05,322,322,75.0,0.07842444986209329,0.02842444986209329,
A4,WF1,0.1,322,322,75.0,0.07842444986209329,-0.021575550137906713,
A4,WF2,0.0,380,380,81.0,0.09769595754069926,0.09769595754069926,
A4,WF2,0.01,380,380,81.0,0.09769595754069926,0.08769595754069927,
A4,WF2,0.02,380,380,81.0,0.09769595754069926,0.07769595754069926,
A4,WF2,0.03,380,380,81.0,0.09769595754069926,0.06769595754069926,
A4,WF2,0.05,380,380,81.0,0.09769595754069926,0.04769595754069926,
A4,WF2,0.1,380,380,81.0,0.09769595754069926,-0.0023040424593007425,
A4,WF3,0.0,343,343,61.0,0.02309208192070734,0.02309208192070734,
A4,WF3,0.01,343,343,61.0,0.02309208192070734,0.01309208192070734,
A4,WF3,0.02,343,343,61.0,0.02309208192070734,0.0030920819207073402,
A4,WF3,0.03,343,343,61.0,0.02309208192070734,-0.006907918079292658,
A4,WF3,0.05,343,343,61.0,0.02309208192070734,-0.026907918079292662,
A4,WF3,0.1,343,343,61.0,0.02309208192070734,-0.07690791807929266,
A5,WF1,0.0,312,312,75.0,0.05957053265681852,0.05957053265681852,
A5,WF1,0.01,312,312,75.0,0.05957053265681852,0.04957053265681852,
A5,WF1,0.02,312,312,75.0,0.05957053265681852,0.03957053265681852,
A5,WF1,0.03,312,312,75.0,0.05957053265681852,0.02957053265681852,
A5,WF1,0.05,312,312,75.0,0.05957053265681852,0.009570532656818516,
A5,WF1,0.1,312,312,75.0,0.05957053265681852,-0.04042946734318149,
A5,WF2,0.0,379,379,80.0,0.09613713368008016,0.09613713368008016,
A5,WF2,0.01,379,379,80.0,0.09613713368008016,0.08613713368008016,
A5,WF2,0.02,379,379,80.0,0.09613713368008016,0.07613713368008015,
A5,WF2,0.03,379,379,80.0,0.09613713368008016,0.06613713368008016,
A5,WF2,0.05,379,379,80.0,0.09613713368008016,0.046137133680080156,
A5,WF2,0.1,379,379,80.0,0.09613713368008016,-0.003862866319919847,
A5,WF3,0.0,341,341,61.0,0.029092621990623513,0.029092621990623513,
A5,WF3,0.01,341,341,61.0,0.029092621990623513,0.01909262199062351,
A5,WF3,0.02,341,341,61.0,0.029092621990623513,0.009092621990623512,
A5,WF3,0.03,341,341,61.0,0.029092621990623513,-0.000907378009376486,
A5,WF3,0.05,341,341,61.0,0.029092621990623513,-0.02090737800937649,
A5,WF3,0.1,341,341,61.0,0.029092621990623513,-0.07090737800937649,
A6,WF1,0.0,240,240,60.0,0.0203072995243266,0.0203072995243266,
