symbol,touch_behavior,n,n_weighted,mean_R_follow,mean_R_fade,target_hit_follow
AG,NO_BREACH,5213,3871.6771,-0.040203,0.042923,0.225564
AG,BREACH_RECLAIM,565,291.4382,0.099589,-0.146777,0.334802
AG,CLOSE_BEYOND,587,294.8847,-0.100786,0.122937,0.275424
CU,NO_BREACH,4825,3613.453,0.042716,-0.048135,0.239437
CU,BREACH_RECLAIM,400,220.1202,-0.003881,-0.053247,0.256966
CU,CLOSE_BEYOND,407,198.4267,-0.108641,0.162317,0.272152
RB,NO_BREACH,4416,3162.8972,-0.013678,0.031212,0.208615
RB,BREACH_RECLAIM,216,104.4468,-0.085598,-0.073192,0.175325
RB,CLOSE_BEYOND,219,94.656,-0.236071,0.117511,0.15625
M,NO_BREACH,4162,3039.4365,0.061992,-0.043034,0.285542
M,BREACH_RECLAIM,216,104.8791,0.080087,-0.003881,0.294479
M,CLOSE_BEYOND,255,104.6843,0.310505,-0.18712,0.393035
