symbol,source_tf,direction,policy,stop_atr,target_r,horizon,n,n_weighted,n_result,mean_R,mean_R_event,median_R,positive_R_rate,p10_R,p90_R,target_hit_rate,stop_hit_rate,timeout_rate,both_hit_rate,gap_stop_rate,gap_target_rate
ALL,5m,follow,conservative,0.5,1.0,6,9898,7043.2474,9898,-0.062237,-0.069115,-1.0,0.464841,-1.0,1.0,0.463831,0.433926,0.003637,0.098606,0.000606,0.000404
ALL,15m,follow,conservative,0.5,1.0,6,4632,2935.432,4632,-0.027106,-0.061818,-1.0,0.468696,-1.0,1.0,0.467832,0.426382,0.004102,0.101684,0.000648,0.000432
ALL,1h,follow,conservative,0.5,1.0,6,1953,1333.3206,1953,-0.107946,-0.104681,-1.0,0.446493,-1.0,1.0,0.445981,0.473118,0.00512,0.075781,0.0,0.0
ALL,5m,follow,conservative,0.5,1.5,6,9898,7043.2474,9898,-0.014901,-0.013215,-1.0,0.395231,-1.0,1.5,0.389675,0.556173,0.01081,0.043342,0.000606,0.000606
ALL,15m,follow,conservative,0.5,1.5,6,4632,2935.432,4632,0.011305,-0.008356,-1.0,0.397668,-1.0,1.5,0.390112,0.550086,0.014465,0.045337,0.000648,0.000864
ALL,1h,follow,conservative,0.5,1.5,6,1953,1333.3206,1953,-0.063663,-0.050561,-1.0,0.378392,-1.0,1.5,0.37276,0.576549,0.017409,0.033282,0.0,0.001024
ALL,5m,follow,conservative,0.5,2.0,6,9898,7043.2474,9898,-0.01507,-0.00805,-1.0,0.336432,-1.0,2.0,0.313296,0.631441,0.035866,0.019398,0.000707,0.0
ALL,15m,follow,conservative,0.5,2.0,6,4632,2935.432,4632,0.008555,0.000391,-1.0,0.33981,-1.0,2.0,0.314983,0.627591,0.039292,0.018135,0.000648,0.000216
ALL,1h,follow,conservative,0.5,2.0,6,1953,1333.3206,1953,-0.045253,-0.027165,-1.0,0.330261,-1.0,2.0,0.301587,0.634409,0.047619,0.016385,0.0,0.0
ALL,5m,follow,conservative,0.5,2.5,6,9898,7043.2474,9898,-0.011286,0.001392,-1.0,0.304304,-1.0,2.5,0.251364,0.669226,0.069711,0.009699,0.000707,0.000404
ALL,15m,follow,conservative,0.5,2.5,6,4632,2935.432,4632,0.013486,0.008377,-1.0,0.306131,-1.0,2.5,0.253238,0.664508,0.071675,0.010579,0.000648,0.000432
ALL,1h,follow,conservative,0.5,2.5,6,1953,1333.3206,1953,-0.043799,-0.019997,-1.0,0.298515,-1.0,2.5,0.241679,0.670763,0.079365,0.008193,0.0,0.001024
ALL,5m,follow,conservative,0.5,3.0,6,9898,7043.2474,9898,-0.012934,0.00043,-1.0,0.284199,-1.0,3.0,0.196706,0.689836,0.107395,0.006062,0.000707,0.000303
ALL,15m,follow,conservative,0.5,3.0,6,4632,2935.432,4632,0.001661,0.000174,-1.0,0.284758,-1.0,3.0,0.194301,0.686313,0.113126,0.006261,0.000648,0.0
ALL,1h,follow,conservative,0.5,3.0,6,1953,1333.3206,1953,-0.044426,-0.009663,-1.0,0.282642,-1.0,3.0,0.186892,0.686124,0.122376,0.004608,0.0,0.001024
ALL,5m,follow,conservative,0.75,1.0,6,9898,7043.2474,9898,-9e-06,0.006982,0.020013,0.5,-1.0,1.0,0.485553,0.461103,0.036068,0.017276,0.000707,0.000707
ALL,15m,follow,conservative,0.75,1.0,6,4632,2935.432,4632,0.023949,0.011535,0.155721,0.501727,-1.0,1.0,0.485751,0.452073,0.041451,0.020725,0.000648,0.000864
ALL,1h,follow,conservative,0.75,1.0,6,1953,1333.3206,1953,-0.044944,-0.031589,-0.355944,0.475166,-1.0,1.0,0.461342,0.474142,0.048131,0.016385,0.0,0.001024
ALL,5m,follow,conservative,0.75,1.5,6,9898,7043.2474,9898,0.001632,0.007479,-1.0,0.415134,-1.0,1.5,0.348353,0.539099,0.106789,0.005759,0.000707,0.000101
ALL,15m,follow,conservative,0.75,1.5,6,4632,2935.432,4632,0.017735,0.007253,-1.0,0.413428,-1.0,1.5,0.344991,0.531736,0.117228,0.006045,0.000648,0.0
ALL,1h,follow,conservative,0.75,1.5,6,1953,1333.3206,1953,-0.023778,-0.014977,-1.0,0.401434,-1.0,1.5,0.332309,0.537634,0.122376,0.00768,0.001024,0.000512
ALL,5m,follow,conservative,0.75,2.0,6,9898,7043.2474,9898,0.001898,0.011632,-1.0,0.38038,-1.0,2.0,0.241059,0.566377,0.189533,0.003031,0.000707,0.000303
ALL,15m,follow,conservative,0.75,2.0,6,4632,2935.432,4632,0.014307,0.004609,-1.0,0.375432,-1.0,2.0,0.236399,0.559585,0.199914,0.004102,0.000648,0.0
ALL,1h,follow,conservative,0.75,2.0,6,1953,1333.3206,1953,-0.028323,-0.008465,-1.0,0.369176,-1.0,2.0,0.224782,0.562724,0.208397,0.004096,0.001024,0.001024
ALL,5m,follow,conservative,0.75,2.5,6,9898,7043.2474,9898,0.004502,0.012131,-1.0,0.365831,-1.0,2.5,0.160841,0.577187,0.259952,0.002021,0.000707,0.000101
