symbol,touch_behavior,direction,policy,stop_atr,target_r,horizon,n,n_weighted,n_result,mean_R,mean_R_event,median_R,positive_R_rate,p10_R,p90_R,target_hit_rate,stop_hit_rate,timeout_rate,both_hit_rate,gap_stop_rate,gap_target_rate
ALL,NO_BREACH,follow,conservative,0.5,1.0,6,13880,10051.9912,13880,-0.048846,-0.057211,-1.0,0.470821,-1.0,1.0,0.469813,0.443732,0.00353,0.082925,0.00036,0.000216
ALL,BREACH_RECLAIM,follow,conservative,0.5,1.0,6,1272,647.7368,1272,-0.065072,-0.060675,-1.0,0.46934,-1.0,1.0,0.468553,0.387579,0.003931,0.139937,0.003145,0.002358
ALL,CLOSE_BEYOND,follow,conservative,0.5,1.0,6,1331,612.272,1331,-0.210193,-0.228116,-1.0,0.384673,-1.0,1.0,0.384673,0.407213,0.008264,0.19985,0.0,0.0
ALL,NO_BREACH,follow,conservative,0.5,1.5,6,13880,10051.9912,13880,-0.008618,-0.006704,-1.0,0.397767,-1.0,1.5,0.391066,0.563833,0.013112,0.031988,0.00036,0.000865
ALL,BREACH_RECLAIM,follow,conservative,0.5,1.5,6,1272,647.7368,1272,0.030265,0.019431,-1.0,0.408805,-1.0,1.5,0.404088,0.500786,0.01022,0.084906,0.003145,0.0
ALL,CLOSE_BEYOND,follow,conservative,0.5,1.5,6,1331,612.272,1331,-0.146373,-0.150203,-1.0,0.339594,-1.0,1.5,0.338092,0.537941,0.009767,0.1142,0.0,0.0
ALL,NO_BREACH,follow,conservative,0.5,2.0,6,13880,10051.9912,13880,-0.012492,-0.004387,-1.0,0.338112,-1.0,2.0,0.311888,0.633934,0.040994,0.013184,0.000432,7.2e-05
ALL,BREACH_RECLAIM,follow,conservative,0.5,2.0,6,1272,647.7368,1272,0.089284,0.078852,-1.0,0.366352,-1.0,2.0,0.34827,0.59434,0.024371,0.033019,0.003145,0.0
ALL,CLOSE_BEYOND,follow,conservative,0.5,2.0,6,1331,612.272,1331,-0.12025,-0.127972,-1.0,0.293013,-1.0,2.0,0.283246,0.631856,0.022539,0.062359,0.0,0.0
ALL,NO_BREACH,follow,conservative,0.5,2.5,6,13880,10051.9912,13880,-0.008122,0.00138,-1.0,0.305259,-1.0,2.5,0.248055,0.668948,0.076585,0.006412,0.000432,0.000576
ALL,BREACH_RECLAIM,follow,conservative,0.5,2.5,6,1272,647.7368,1272,0.067638,0.070811,-1.0,0.323899,-1.0,2.5,0.28066,0.653302,0.051101,0.014937,0.003145,0.0
