symbol,quant_bin,n,n_with_state,coverage,spearman_width_range_atr_h12,mean_range_atr_h6,mean_range_atr_h12,mean_range_atr_h24
AG,ALL,6365,1971,0.309662,0.088296,,,
AG,LOW,218,218,1.0,0.088296,2.18907,2.907359,4.369739
AG,MID,527,527,1.0,0.088296,2.564171,3.408493,4.50164
AG,HIGH,1226,1226,1.0,0.088296,2.503465,3.395005,4.585943
CU,ALL,5632,1505,0.267223,0.08972,,,
CU,LOW,262,262,1.0,0.08972,2.34108,3.081874,3.993623
CU,MID,574,574,1.0,0.08972,2.337467,3.103521,4.089888
CU,HIGH,669,669,1.0,0.08972,2.400265,3.338908,4.091844
RB,ALL,4851,852,0.175634,0.045771,,,
RB,LOW,164,164,1.0,0.045771,1.813717,2.468467,
RB,MID,412,412,1.0,0.045771,2.124073,2.789873,
RB,HIGH,276,276,1.0,0.045771,2.046657,2.613454,
M,ALL,4633,851,0.183682,-0.035661,,,
M,LOW,267,267,1.0,-0.035661,2.389255,3.371096,
M,MID,346,346,1.0,-0.035661,2.36501,3.328763,
M,HIGH,238,238,1.0,-0.035661,2.332767,3.055218,
