symbol,direction,policy,stop_atr,target_r,horizon,n,n_weighted,n_result,mean_R,mean_R_event,median_R,positive_R_rate,p10_R,p90_R,target_hit_rate,stop_hit_rate,timeout_rate,both_hit_rate,gap_stop_rate,gap_target_rate
AG,follow,conservative,0.5,1.0,6,5251,3621.0,5251,-0.077588,-0.078898,-1.0,0.460484,-1.0,1.0,0.459151,0.433251,0.002285,0.105313,0.000762,0.000381
CU,follow,conservative,0.5,1.0,6,4513,3128.0,4513,-0.02842,-0.024492,-1.0,0.487259,-1.0,1.0,0.486816,0.425659,0.002437,0.085088,0.000665,0.000665
RB,follow,conservative,0.5,1.0,6,3388,2293.0,3388,-0.077758,-0.133517,-1.0,0.431818,-1.0,1.0,0.431818,0.460744,0.004427,0.103011,0.000295,0.000295
M,follow,conservative,0.5,1.0,6,3331,2270.0,3331,-0.050088,-0.059352,-1.0,0.469529,-1.0,1.0,0.467727,0.431402,0.008106,0.092765,0.0003,0.0
ALL,follow,conservative,0.5,1.0,6,16483,11312.0,16483,-0.058508,-0.071278,-1.0,0.463751,-1.0,1.0,0.462841,0.43645,0.003943,0.096766,0.000546,0.000364
AG,follow,exclude,0.5,1.0,6,5251,3621.0,4698,0.010301,0.029524,1.0,0.514687,-1.0,1.0,0.459151,0.433251,0.002285,0.105313,0.000762,0.000381
CU,follow,exclude,0.5,1.0,6,4513,3128.0,4129,0.052685,0.066231,1.0,0.532574,-1.0,1.0,0.486816,0.425659,0.002437,0.085088,0.000665,0.000665
RB,follow,exclude,0.5,1.0,6,3388,2293.0,3039,0.009886,-0.03401,-1.0,0.481408,-1.0,1.0,0.431818,0.460744,0.004427,0.103011,0.000295,0.000295
M,follow,exclude,0.5,1.0,6,3331,2270.0,3022,0.040685,0.036829,1.0,0.517538,-1.0,1.0,0.467727,0.431402,0.008106,0.092765,0.0003,0.0
ALL,follow,exclude,0.5,1.0,6,16483,11312.0,14888,0.028107,0.028219,1.0,0.513434,-1.0,1.0,0.462841,0.43645,0.003943,0.096766,0.000546,0.000364
AG,follow,optimistic,0.5,1.0,6,5251,3621.0,5251,0.096397,0.131728,1.0,0.565797,-1.0,1.0,0.459151,0.433251,0.002285,0.105313,0.000762,0.000381
CU,follow,optimistic,0.5,1.0,6,4513,3128.0,4513,0.125672,0.145683,1.0,0.572347,-1.0,1.0,0.486816,0.425659,0.002437,0.085088,0.000665,0.000665
RB,follow,optimistic,0.5,1.0,6,3388,2293.0,3388,0.095814,0.072504,1.0,0.534829,-1.0,1.0,0.431818,0.460744,0.004427,0.103011,0.000295,0.000295
M,follow,optimistic,0.5,1.0,6,3331,2270.0,3331,0.124361,0.126178,1.0,0.562294,-1.0,1.0,0.467727,0.431402,0.008106,0.092765,0.0003,0.0
ALL,follow,optimistic,0.5,1.0,6,16483,11312.0,16483,0.109986,0.122254,1.0,0.560517,-1.0,1.0,0.462841,0.43645,0.003943,0.096766,0.000546,0.000364
AG,follow,conservative,0.5,1.5,6,5251,3621.0,5251,-0.025125,-0.005659,-1.0,0.398972,-1.0,1.5,0.392116,0.550181,0.011236,0.046467,0.000762,0.0
CU,follow,conservative,0.5,1.5,6,4513,3128.0,4513,0.033599,0.038843,-1.0,0.416574,-1.0,1.5,0.411035,0.542876,0.008863,0.037226,0.000665,0.001551
RB,follow,conservative,0.5,1.5,6,3388,2293.0,3388,-0.051417,-0.112731,-1.0,0.353601,-1.0,1.5,0.347698,0.587957,0.017119,0.047226,0.000295,0.0
M,follow,conservative,0.5,1.5,6,3331,2270.0,3331,-0.023289,-0.009576,-1.0,0.396277,-1.0,1.5,0.390273,0.554788,0.015311,0.039628,0.0003,0.001501
ALL,follow,conservative,0.5,1.5,6,16483,11312.0,16483,-0.013848,-0.016274,-1.0,0.393921,-1.0,1.5,0.387793,0.556877,0.012619,0.042711,0.000546,0.000728
AG,follow,exclude,0.5,1.5,6,5251,3621.0,5007,0.012338,0.042797,-1.0,0.418414,-1.0,1.5,0.392116,0.550181,0.011236,0.046467,0.000762,0.0
CU,follow,exclude,0.5,1.5,6,4513,3128.0,4345,0.06492,0.07901,-1.0,0.432681,-1.0,1.5,0.411035,0.542876,0.008863,0.037226,0.000665,0.001551
RB,follow,exclude,0.5,1.5,6,3388,2293.0,3228,-0.020115,-0.068753,-1.0,0.371128,-1.0,1.5,0.347698,0.587957,0.017119,0.047226,0.000295,0.0
M,follow,exclude,0.5,1.5,6,3331,2270.0,3199,0.013547,0.031292,-1.0,0.412629,-1.0,1.5,0.390273,0.554788,0.015311,0.039628,0.0003,0.001501
ALL,follow,exclude,0.5,1.5,6,16483,11312.0,15779,0.020595,0.027616,-1.0,0.411496,-1.0,1.5,0.387793,0.556877,0.012619,0.042711,0.000546,0.000728
AG,follow,optimistic,0.5,1.5,6,5251,3621.0,5251,0.067391,0.110509,-1.0,0.445439,-1.0,1.5,0.392116,0.550181,0.011236,0.046467,0.000762,0.0
CU,follow,optimistic,0.5,1.5,6,4513,3128.0,4513,0.107128,0.131907,-1.0,0.4538,-1.0,1.5,0.411035,0.542876,0.008863,0.037226,0.000665,0.001551
RB,follow,optimistic,0.5,1.5,6,3388,2293.0,3388,0.028445,0.005332,-1.0,0.400826,-1.0,1.5,0.347698,0.587957,0.017119,0.047226,0.000295,0.0
M,follow,optimistic,0.5,1.5,6,3331,2270.0,3331,0.06757,0.089494,-1.0,0.435905,-1.0,1.5,0.390273,0.554788,0.015311,0.039628,0.0003,0.001501
ALL,follow,optimistic,0.5,1.5,6,16483,11312.0,16483,0.070521,0.090502,-1.0,0.436632,-1.0,1.5,0.387793,0.556877,0.012619,0.042711,0.000546,0.000728
AG,follow,conservative,0.5,2.0,6,5251,3621.0,5251,-0.003245,0.024096,-1.0,0.347934,-1.0,2.0,0.32451,0.619691,0.034279,0.02152,0.000762,0.00019
CU,follow,conservative,0.5,2.0,6,4513,3128.0,4513,0.030848,0.034465,-1.0,0.351872,-1.0,2.0,0.325726,0.618436,0.039663,0.016175,0.000665,0.0
RB,follow,conservative,0.5,2.0,6,3388,2293.0,3388,-0.075134,-0.119476,-1.0,0.297521,-1.0,2.0,0.271547,0.662928,0.045455,0.020071,0.00059,0.0
M,follow,conservative,0.5,2.0,6,3331,2270.0,3331,-0.02371,-0.002464,-1.0,0.338037,-1.0,2.0,0.316722,0.631942,0.035125,0.016211,0.0003,0.0
ALL,follow,conservative,0.5,2.0,6,16483,11312.0,16483,-0.012497,-0.007943,-1.0,0.33665,-1.0,2.0,0.312382,0.63071,0.038221,0.018686,0.000607,6.1e-05
AG,follow,exclude,0.5,2.0,6,5251,3621.0,5138,0.013834,0.046619,-1.0,0.355586,-1.0,2.0,0.32451,0.619691,0.034279,0.02152,0.000762,0.00019
CU,follow,exclude,0.5,2.0,6,4513,3128.0,4440,0.042176,0.051473,-1.0,0.357658,-1.0,2.0,0.325726,0.618436,0.039663,0.016175,0.000665,0.0
RB,follow,exclude,0.5,2.0,6,3388,2293.0,3320,-0.06463,-0.101441,-1.0,0.303614,-1.0,2.0,0.271547,0.662928,0.045455,0.020071,0.00059,0.0
M,follow,exclude,0.5,2.0,6,3331,2270.0,3277,-0.007756,0.013974,-1.0,0.343607,-1.0,2.0,0.316722,0.631942,0.035125,0.016211,0.0003,0.0
ALL,follow,exclude,0.5,2.0,6,16483,11312.0,16175,0.001424,0.010948,-1.0,0.34306,-1.0,2.0,0.312382,0.63071,0.038221,0.018686,0.000607,6.1e-05
AG,follow,optimistic,0.5,2.0,6,5251,3621.0,5251,0.047293,0.088655,-1.0,0.369453,-1.0,2.0,0.32451,0.619691,0.034279,0.02152,0.000762,0.00019
CU,follow,optimistic,0.5,2.0,6,4513,3128.0,4513,0.063457,0.082992,-1.0,0.368048,-1.0,2.0,0.325726,0.618436,0.039663,0.016175,0.000665,0.0
RB,follow,optimistic,0.5,2.0,6,3388,2293.0,3388,-0.041444,-0.059263,-1.0,0.317591,-1.0,2.0,0.271547,0.662928,0.045455,0.020071,0.00059,0.0
M,follow,optimistic,0.5,2.0,6,3331,2270.0,3331,0.024527,0.04617,-1.0,0.354248,-1.0,2.0,0.316722,0.631942,0.035125,0.016211,0.0003,0.0
ALL,follow,optimistic,0.5,2.0,6,16483,11312.0,16483,0.029207,0.048115,-1.0,0.355336,-1.0,2.0,0.312382,0.63071,0.038221,0.018686,0.000607,6.1e-05
AG,follow,conservative,0.5,2.5,6,5251,3621.0,5251,-0.004175,0.02289,-1.0,0.309084,-1.0,2.5,0.261664,0.66654,0.062083,0.009712,0.000762,0.00019
CU,follow,conservative,0.5,2.5,6,4513,3128.0,4513,0.052736,0.068467,-1.0,0.325061,-1.0,2.5,0.269665,0.648349,0.072679,0.009306,0.000665,0.001329
RB,follow,conservative,0.5,2.5,6,3388,2293.0,3388,-0.077718,-0.125968,-1.0,0.269481,-1.0,2.5,0.206907,0.695986,0.085596,0.011511,0.00059,0.000295
M,follow,conservative,0.5,2.5,6,3331,2270.0,3331,-0.030808,0.003338,-1.0,0.303212,-1.0,2.5,0.252477,0.668868,0.069949,0.008706,0.0003,0.0
ALL,follow,conservative,0.5,2.5,6,16483,11312.0,16483,-0.00869,0.000821,-1.0,0.304132,-1.0,2.5,0.250743,0.668082,0.071407,0.009768,0.000607,0.000485
AG,follow,exclude,0.5,2.5,6,5251,3621.0,5200,0.004424,0.032922,-1.0,0.312115,-1.0,2.5,0.261664,0.66654,0.062083,0.009712,0.000762,0.00019
CU,follow,exclude,0.5,2.5,6,4513,3128.0,4471,0.058829,0.078504,-1.0,0.328115,-1.0,2.5,0.269665,0.648349,0.072679,0.009306,0.000665,0.001329
RB,follow,exclude,0.5,2.5,6,3388,2293.0,3349,-0.072154,-0.11579,-1.0,0.272619,-1.0,2.5,0.206907,0.695986,0.085596,0.011511,0.00059,0.000295
M,follow,exclude,0.5,2.5,6,3331,2270.0,3302,-0.023278,0.012149,-1.0,0.305875,-1.0,2.5,0.252477,0.668868,0.069949,0.008706,0.0003,0.0
ALL,follow,exclude,0.5,2.5,6,16483,11312.0,16322,-0.001607,0.010693,-1.0,0.307131,-1.0,2.5,0.250743,0.668082,0.071407,0.009768,0.000607,0.000485
AG,follow,optimistic,0.5,2.5,6,5251,3621.0,5251,0.025789,0.056884,-1.0,0.318796,-1.0,2.5,0.261664,0.66654,0.062083,0.009712,0.000762,0.00019
CU,follow,optimistic,0.5,2.5,6,4513,3128.0,4513,0.072876,0.10104,-1.0,0.334367,-1.0,2.5,0.269665,0.648349,0.072679,0.009306,0.000665,0.001329
RB,follow,optimistic,0.5,2.5,6,3388,2293.0,3388,-0.05673,-0.085679,-1.0,0.280992,-1.0,2.5,0.206907,0.695986,0.085596,0.011511,0.00059,0.000295
M,follow,optimistic,0.5,2.5,6,3331,2270.0,3331,-0.003826,0.033809,-1.0,0.311918,-1.0,2.5,0.252477,0.668868,0.069949,0.008706,0.0003,0.0
ALL,follow,optimistic,0.5,2.5,6,16483,11312.0,16483,0.01614,0.035007,-1.0,0.313899,-1.0,2.5,0.250743,0.668082,0.071407,0.009768,0.000607,0.000485
AG,follow,conservative,0.5,3.0,6,5251,3621.0,5251,-0.00657,0.021809,-1.0,0.289469,-1.0,3.0,0.201105,0.686726,0.105504,0.006665,0.000762,0.00019
CU,follow,conservative,0.5,3.0,6,4513,3128.0,4513,0.050046,0.062015,-1.0,0.301352,-1.0,3.0,0.210946,0.672502,0.111677,0.004875,0.000665,0.0
RB,follow,conservative,0.5,3.0,6,3388,2293.0,3388,-0.089041,-0.134514,-1.0,0.252656,-1.0,3.0,0.154368,0.71281,0.125738,0.007084,0.00059,0.000885
M,follow,conservative,0.5,3.0,6,3331,2270.0,3331,-0.032617,0.014271,-1.0,0.284599,-1.0,3.0,0.204443,0.687781,0.102672,0.005104,0.0003,0.0003
ALL,follow,conservative,0.5,3.0,6,16483,11312.0,16483,-0.012859,-0.000838,-1.0,0.284172,-1.0,3.0,0.194867,0.688406,0.110781,0.005946,0.000607,0.000303
AG,follow,exclude,0.5,3.0,6,5251,3621.0,5216,-0.000775,0.028666,-1.0,0.291411,-1.0,3.0,0.201105,0.686726,0.105504,0.006665,0.000762,0.00019
CU,follow,exclude,0.5,3.0,6,4513,3128.0,4491,0.052739,0.067217,-1.0,0.302828,-1.0,3.0,0.210946,0.672502,0.111677,0.004875,0.000665,0.0
RB,follow,exclude,0.5,3.0,6,3388,2293.0,3364,-0.086352,-0.128339,-1.0,0.254459,-1.0,3.0,0.154368,0.71281,0.125738,0.007084,0.00059,0.000885
M,follow,exclude,0.5,3.0,6,3331,2270.0,3314,-0.029196,0.019474,-1.0,0.286059,-1.0,3.0,0.204443,0.687781,0.102672,0.005104,0.0003,0.0003
ALL,follow,exclude,0.5,3.0,6,16483,11312.0,16385,-0.009026,0.005139,-1.0,0.285871,-1.0,3.0,0.194867,0.688406,0.110781,0.005946,0.000607,0.000303
AG,follow,optimistic,0.5,3.0,6,5251,3621.0,5251,0.016628,0.048471,-1.0,0.296134,-1.0,3.0,0.201105,0.686726,0.105504,0.006665,0.000762,0.00019
CU,follow,optimistic,0.5,3.0,6,4513,3128.0,4513,0.060277,0.081514,-1.0,0.306226,-1.0,3.0,0.210946,0.672502,0.111677,0.004875,0.000665,0.0
RB,follow,optimistic,0.5,3.0,6,3388,2293.0,3388,-0.077266,-0.106179,-1.0,0.25974,-1.0,3.0,0.154368,0.71281,0.125738,0.007084,0.00059,0.000885
M,follow,optimistic,0.5,3.0,6,3331,2270.0,3331,-0.01852,0.034685,-1.0,0.289703,-1.0,3.0,0.204443,0.687781,0.102672,0.005104,0.0003,0.0003
ALL,follow,optimistic,0.5,3.0,6,16483,11312.0,16483,0.002612,0.022945,-1.0,0.290117,-1.0,3.0,0.194867,0.688406,0.110781,0.005946,0.000607,0.000303
AG,follow,conservative,0.75,1.0,6,5251,3621.0,5251,-0.026686,-0.000969,0.0,0.497048,-1.0,1.0,0.481623,0.461817,0.03466,0.021901,0.0,0.0
CU,follow,conservative,0.75,1.0,6,4513,3128.0,4513,0.023033,0.034129,0.748561,0.514514,-1.0,1.0,0.499003,0.451141,0.036561,0.013295,0.001773,0.001551
RB,follow,conservative,0.75,1.0,6,3388,2293.0,3388,0.009253,-0.038068,-0.49202,0.47137,-1.0,1.0,0.456021,0.471074,0.053719,0.019185,0.0,0.0
M,follow,conservative,0.75,1.0,6,3331,2270.0,3331,0.006025,0.012275,0.191138,0.501951,-1.0,1.0,0.489643,0.458421,0.034224,0.017712,0.0006,0.001801
ALL,follow,conservative,0.75,1.0,6,16483,11312.0,16483,0.000912,0.003691,0.0,0.497543,-1.0,1.0,0.48274,0.46011,0.03901,0.01814,0.000607,0.000789
AG,follow,exclude,0.75,1.0,6,5251,3621.0,5136,-0.008337,0.0214,0.400401,0.508178,-1.0,1.0,0.481623,0.461817,0.03466,0.021901,0.0,0.0
CU,follow,exclude,0.75,1.0,6,4513,3128.0,4453,0.034944,0.048063,1.0,0.521446,-1.0,1.0,0.499003,0.451141,0.036561,0.013295,0.001773,0.001551
RB,follow,exclude,0.75,1.0,6,3388,2293.0,3323,0.019929,-0.019252,-0.315238,0.48059,-1.0,1.0,0.456021,0.471074,0.053719,0.019185,0.0,0.0
M,follow,exclude,0.75,1.0,6,3331,2270.0,3272,0.019954,0.030528,0.754207,0.511002,-1.0,1.0,0.489643,0.458421,0.034224,0.017712,0.0006,0.001801
ALL,follow,exclude,0.75,1.0,6,16483,11312.0,16184,0.01509,0.022235,0.341507,0.506735,-1.0,1.0,0.48274,0.46011,0.03901,0.01814,0.000607,0.000789
AG,follow,optimistic,0.75,1.0,6,5251,3621.0,5251,0.010321,0.042832,1.0,0.518949,-1.0,1.0,0.481623,0.461817,0.03466,0.021901,0.0,0.0
CU,follow,optimistic,0.75,1.0,6,4513,3128.0,4513,0.046051,0.060718,1.0,0.527809,-1.0,1.0,0.499003,0.451141,0.036561,0.013295,0.001773,0.001551
RB,follow,optimistic,0.75,1.0,6,3388,2293.0,3388,0.030187,0.000303,0.0,0.490555,-1.0,1.0,0.456021,0.471074,0.053719,0.019185,0.0,0.0
M,follow,optimistic,0.75,1.0,6,3331,2270.0,3331,0.033338,0.0477,1.0,0.519664,-1.0,1.0,0.489643,0.458421,0.034224,0.017712,0.0006,0.001801
ALL,follow,optimistic,0.75,1.0,6,16483,11312.0,16483,0.028847,0.039971,1.0,0.515683,-1.0,1.0,0.48274,0.46011,0.03901,0.01814,0.000607,0.000789
AG,follow,conservative,0.75,1.5,6,5251,3621.0,5251,-0.021309,0.0034,-1.0,0.414397,-1.0,1.5,0.350409,0.542182,0.0996,0.007808,0.0,0.0
CU,follow,conservative,0.75,1.5,6,4513,3128.0,4513,0.030924,0.045905,-1.0,0.431199,-1.0,1.5,0.363616,0.521604,0.110348,0.004432,0.002216,0.000443
RB,follow,conservative,0.75,1.5,6,3388,2293.0,3388,-0.017182,-0.067525,-1.0,0.381346,-1.0,1.5,0.303424,0.548996,0.140496,0.007084,0.0,0.0
M,follow,conservative,0.75,1.5,6,3331,2270.0,3331,0.022766,0.024654,-1.0,0.418493,-1.0,1.5,0.356049,0.536776,0.102672,0.004503,0.0006,0.0
ALL,follow,conservative,0.75,1.5,6,16483,11312.0,16483,0.002816,0.004755,-1.0,0.413032,-1.0,1.5,0.345507,0.536856,0.111569,0.006067,0.000728,0.000121
AG,follow,exclude,0.75,1.5,6,5251,3621.0,5210,-0.015053,0.011296,-1.0,0.417658,-1.0,1.5,0.350409,0.542182,0.0996,0.007808,0.0,0.0
CU,follow,exclude,0.75,1.5,6,4513,3128.0,4493,0.035227,0.05056,-1.0,0.433118,-1.0,1.5,0.363616,0.521604,0.110348,0.004432,0.002216,0.000443
RB,follow,exclude,0.75,1.5,6,3388,2293.0,3364,-0.014172,-0.060872,-1.0,0.384067,-1.0,1.5,0.303424,0.548996,0.140496,0.007084,0.0,0.0
M,follow,exclude,0.75,1.5,6,3331,2270.0,3316,0.025929,0.029289,-1.0,0.420386,-1.0,1.5,0.356049,0.536776,0.102672,0.004503,0.0006,0.0
ALL,follow,exclude,0.75,1.5,6,16483,11312.0,16383,0.007268,0.010887,-1.0,0.415553,-1.0,1.5,0.345507,0.536856,0.111569,0.006067,0.000728,0.000121
AG,follow,optimistic,0.75,1.5,6,5251,3621.0,5251,-0.005429,0.02292,-1.0,0.422205,-1.0,1.5,0.350409,0.542182,0.0996,0.007808,0.0,0.0
CU,follow,optimistic,0.75,1.5,6,4513,3128.0,4513,0.041314,0.056984,-1.0,0.43563,-1.0,1.5,0.363616,0.521604,0.110348,0.004432,0.002216,0.000443
RB,follow,optimistic,0.75,1.5,6,3388,2293.0,3388,-0.00955,-0.049815,-1.0,0.38843,-1.0,1.5,0.303424,0.548996,0.140496,0.007084,0.0,0.0
M,follow,optimistic,0.75,1.5,6,3331,2270.0,3331,0.030475,0.035912,-1.0,0.422996,-1.0,1.5,0.356049,0.536776,0.102672,0.004503,0.0006,0.0
ALL,follow,optimistic,0.75,1.5,6,16483,11312.0,16483,0.013866,0.019922,-1.0,0.419098,-1.0,1.5,0.345507,0.536856,0.111569,0.006067,0.000728,0.000121
AG,follow,conservative,0.75,2.0,6,5251,3621.0,5251,-0.021278,0.005097,-1.0,0.378785,-1.0,2.0,0.239954,0.573224,0.182822,0.003999,0.0,0.00019
CU,follow,conservative,0.75,2.0,6,4513,3128.0,4513,0.035231,0.047822,-1.0,0.390206,-1.0,2.0,0.255484,0.552847,0.189896,0.001773,0.002216,0.0
RB,follow,conservative,0.75,2.0,6,3388,2293.0,3388,-0.018691,-0.067579,-1.0,0.353896,-1.0,2.0,0.198642,0.570543,0.226092,0.004723,0.0,0.000885
M,follow,conservative,0.75,2.0,6,3331,2270.0,3331,0.012027,0.031917,-1.0,0.383068,-1.0,2.0,0.250375,0.558091,0.187932,0.003603,0.0006,0.0003
ALL,follow,conservative,0.75,2.0,6,16483,11312.0,16483,0.001556,0.007277,-1.0,0.377662,-1.0,2.0,0.237821,0.564036,0.194685,0.003458,0.000728,0.000303
AG,follow,exclude,0.75,2.0,6,5251,3621.0,5230,-0.018296,0.009133,-1.0,0.380306,-1.0,2.0,0.239954,0.573224,0.182822,0.003999,0.0,0.00019
CU,follow,exclude,0.75,2.0,6,4513,3128.0,4505,0.036889,0.049683,-1.0,0.390899,-1.0,2.0,0.255484,0.552847,0.189896,0.001773,0.002216,0.0
RB,follow,exclude,0.75,2.0,6,3388,2293.0,3372,-0.017835,-0.063154,-1.0,0.355575,-1.0,2.0,0.198642,0.570543,0.226092,0.004723,0.0,0.000885
M,follow,exclude,0.75,2.0,6,3331,2270.0,3319,0.014261,0.035648,-1.0,0.384453,-1.0,2.0,0.250375,0.558091,0.187932,0.003603,0.0006,0.0003
ALL,follow,exclude,0.75,2.0,6,16483,11312.0,16426,0.003596,0.010772,-1.0,0.378972,-1.0,2.0,0.237821,0.564036,0.194685,0.003458,0.000728,0.000303
AG,follow,optimistic,0.75,2.0,6,5251,3621.0,5251,-0.012164,0.017095,-1.0,0.382784,-1.0,2.0,0.239954,0.573224,0.182822,0.003999,0.0,0.00019
CU,follow,optimistic,0.75,2.0,6,4513,3128.0,4513,0.040027,0.05314,-1.0,0.391979,-1.0,2.0,0.255484,0.552847,0.189896,0.001773,0.002216,0.0
RB,follow,optimistic,0.75,2.0,6,3388,2293.0,3388,-0.016075,-0.053411,-1.0,0.358619,-1.0,2.0,0.198642,0.570543,0.226092,0.004723,0.0,0.000885
M,follow,optimistic,0.75,2.0,6,3331,2270.0,3331,0.018634,0.042725,-1.0,0.386671,-1.0,2.0,0.250375,0.558091,0.187932,0.003603,0.0006,0.0003
ALL,follow,optimistic,0.75,2.0,6,16483,11312.0,16483,0.007655,0.017651,-1.0,0.38112,-1.0,2.0,0.237821,0.564036,0.194685,0.003458,0.000728,0.000303
AG,follow,conservative,0.75,2.5,6,5251,3621.0,5251,-0.031484,-0.009955,-1.0,0.35936,-1.0,2.5,0.159779,0.590173,0.247001,0.003047,0.0,0.0
CU,follow,conservative,0.75,2.5,6,4513,3128.0,4513,0.030051,0.043646,-1.0,0.374695,-1.0,2.5,0.169289,0.563262,0.266785,0.000665,0.002216,0.000222
RB,follow,conservative,0.75,2.5,6,3388,2293.0,3388,-0.014026,-0.068535,-1.0,0.344451,-1.0,2.5,0.12072,0.575561,0.299292,0.004427,0.0,0.0
M,follow,conservative,0.75,2.5,6,3331,2270.0,3331,0.013219,0.039983,-1.0,0.367757,-1.0,2.5,0.17172,0.570699,0.25728,0.0003,0.0006,0.0
ALL,follow,conservative,0.75,2.5,6,16483,11312.0,16483,-0.001959,0.002772,-1.0,0.362191,-1.0,2.5,0.156768,0.575866,0.265243,0.002123,0.000728,6.1e-05
AG,follow,exclude,0.75,2.5,6,5251,3621.0,5235,-0.029071,-0.006929,-1.0,0.360458,-1.0,2.5,0.159779,0.590173,0.247001,0.003047,0.0,0.0
CU,follow,exclude,0.75,2.5,6,4513,3128.0,4510,0.03071,0.04434,-1.0,0.374945,-1.0,2.5,0.169289,0.563262,0.266785,0.000665,0.002216,0.000222
RB,follow,exclude,0.75,2.5,6,3388,2293.0,3373,-0.013596,-0.064393,-1.0,0.345983,-1.0,2.5,0.12072,0.575561,0.299292,0.004427,0.0,0.0
M,follow,exclude,0.75,2.5,6,3331,2270.0,3330,0.013665,0.040295,-1.0,0.367868,-1.0,2.5,0.17172,0.570699,0.25728,0.0003,0.0006,0.0
ALL,follow,exclude,0.75,2.5,6,16483,11312.0,16448,-0.000811,0.004906,-1.0,0.362962,-1.0,2.5,0.156768,0.575866,0.265243,0.002123,0.000728,6.1e-05
AG,follow,optimistic,0.75,2.5,6,5251,3621.0,5251,-0.022785,0.00071,-1.0,0.362407,-1.0,2.5,0.159779,0.590173,0.247001,0.003047,0.0,0.0
CU,follow,optimistic,0.75,2.5,6,4513,3128.0,4513,0.032289,0.045973,-1.0,0.37536,-1.0,2.5,0.169289,0.563262,0.266785,0.000665,0.002216,0.000222
RB,follow,optimistic,0.75,2.5,6,3388,2293.0,3388,-0.0125,-0.053039,-1.0,0.348878,-1.0,2.5,0.12072,0.575561,0.299292,0.004427,0.0,0.0
M,follow,optimistic,0.75,2.5,6,3331,2270.0,3331,0.01476,0.041033,-1.0,0.368058,-1.0,2.5,0.17172,0.570699,0.25728,0.0003,0.0006,0.0
ALL,follow,optimistic,0.75,2.5,6,16483,11312.0,16483,0.002063,0.010204,-1.0,0.364315,-1.0,2.5,0.156768,0.575866,0.265243,0.002123,0.000728,6.1e-05
AG,follow,conservative,0.75,3.0,6,5251,3621.0,5251,-0.034408,-0.018763,-1.0,0.352314,-1.0,2.472893,0.102647,0.596648,0.299372,0.001333,0.0,0.00019
CU,follow,conservative,0.75,3.0,6,4513,3128.0,4513,0.014562,0.019662,-1.0,0.366718,-1.0,2.849743,0.099047,0.568136,0.332152,0.000665,0.002216,0.000222
RB,follow,conservative,0.75,3.0,6,3388,2293.0,3388,-0.01923,-0.067969,-1.0,0.341795,-1.0,2.138863,0.077627,0.577627,0.340319,0.004427,0.0,0.0
M,follow,conservative,0.75,3.0,6,3331,2270.0,3331,7.2e-05,0.026142,-1.0,0.361153,-1.0,2.650867,0.104173,0.573702,0.322125,0.0,0.0006,0.0
ALL,follow,conservative,0.75,3.0,6,16483,11312.0,16483,-0.010871,-0.009282,-1.0,0.355882,-1.0,2.491615,0.096827,0.580295,0.321361,0.001517,0.000728,0.000121
AG,follow,exclude,0.75,3.0,6,5251,3621.0,5244,-0.032805,-0.017454,-1.0,0.352784,-1.0,2.475014,0.102647,0.596648,0.299372,0.001333,0.0,0.00019
CU,follow,exclude,0.75,3.0,6,4513,3128.0,4510,0.015211,0.02034,-1.0,0.366962,-1.0,2.87842,0.099047,0.568136,0.332152,0.000665,0.002216,0.000222
RB,follow,exclude,0.75,3.0,6,3388,2293.0,3373,-0.018802,-0.063824,-1.0,0.343315,-1.0,2.13936,0.077627,0.577627,0.340319,0.004427,0.0,0.0
M,follow,exclude,0.75,3.0,6,3331,2270.0,3331,7.2e-05,0.026142,-1.0,0.361153,-1.0,2.650867,0.104173,0.573702,0.322125,0.0,0.0006,0.0
ALL,follow,exclude,0.75,3.0,6,16483,11312.0,16458,-0.010083,-0.007777,-1.0,0.356422,-1.0,2.493443,0.096827,0.580295,0.321361,0.001517,0.000728,0.000121
AG,follow,optimistic,0.75,3.0,6,5251,3621.0,5251,-0.02778,-0.013431,-1.0,0.353647,-1.0,2.519899,0.102647,0.596648,0.299372,0.001333,0.0,0.00019
CU,follow,optimistic,0.75,3.0,6,4513,3128.0,4513,0.01712,0.022321,-1.0,0.367383,-1.0,2.984721,0.099047,0.568136,0.332152,0.000665,0.002216,0.000222
RB,follow,optimistic,0.75,3.0,6,3388,2293.0,3388,-0.017486,-0.050259,-1.0,0.346222,-1.0,2.143421,0.077627,0.577627,0.340319,0.004427,0.0,0.0
M,follow,optimistic,0.75,3.0,6,3331,2270.0,3331,7.2e-05,0.026142,-1.0,0.361153,-1.0,2.650867,0.104173,0.573702,0.322125,0.0,0.0006,0.0
ALL,follow,optimistic,0.75,3.0,6,16483,11312.0,16483,-0.007689,-0.003215,-1.0,0.357399,-1.0,2.517805,0.096827,0.580295,0.321361,0.001517,0.000728,0.000121
AG,follow,conservative,1.0,1.0,6,5251,3621.0,5251,-0.027426,-0.002292,0.0,0.492287,-1.0,1.0,0.439154,0.438202,0.11693,0.005713,0.000952,0.000381
CU,follow,conservative,1.0,1.0,6,4513,3128.0,4513,0.005612,0.019799,0.083336,0.504321,-1.0,1.0,0.434522,0.418569,0.144028,0.002881,0.001773,0.000222
RB,follow,conservative,1.0,1.0,6,3388,2293.0,3388,-0.007698,-0.042396,-0.165778,0.463105,-1.0,1.0,0.390496,0.432113,0.172668,0.004723,0.0,0.0
