symbol,direction,outcome,model,n_oos,auc,brier,logloss
ALL,follow,1ATR_1.5R_H12,S,8971,0.505324,0.243717,0.680526
ALL,follow,1ATR_1.5R_H12,S+D,8971,0.503946,0.244307,0.68172
AG,follow,1ATR_1.5R_H12,S,3188,0.492245,0.24437,0.681842
AG,follow,1ATR_1.5R_H12,S+D,3188,0.483609,0.246499,0.68617
CU,follow,1ATR_1.5R_H12,S,2612,0.494928,0.249365,0.691958
CU,follow,1ATR_1.5R_H12,S+D,2612,0.481543,0.25125,0.695825
RB,follow,1ATR_1.5R_H12,S,1551,0.496805,0.237589,0.668264
RB,follow,1ATR_1.5R_H12,S+D,1551,0.473021,0.240777,0.674792
M,follow,1ATR_1.5R_H12,S,1619,0.472642,0.252666,0.698838
M,follow,1ATR_1.5R_H12,S+D,1619,0.468917,0.253527,0.700545
ALL,follow,1ATR_2.0R_H12,S,8971,0.509352,0.235555,0.663984
ALL,follow,1ATR_2.0R_H12,S+D,8971,0.5053,0.236231,0.665371
AG,follow,1ATR_2.0R_H12,S,3188,0.503977,0.234019,0.66087
AG,follow,1ATR_2.0R_H12,S+D,3188,0.490937,0.235615,0.664135
CU,follow,1ATR_2.0R_H12,S,2612,0.499619,0.244022,0.68162
CU,follow,1ATR_2.0R_H12,S+D,2612,0.491227,0.244826,0.68327
RB,follow,1ATR_2.0R_H12,S,1551,0.497311,0.229016,0.650791
RB,follow,1ATR_2.0R_H12,S+D,1551,0.4814,0.23247,0.658025
M,follow,1ATR_2.0R_H12,S,1619,0.47341,0.247687,0.689318
M,follow,1ATR_2.0R_H12,S+D,1619,0.471225,0.24869,0.691275
ALL,fade,1ATR_1.5R_H12,S,8971,0.496465,0.24181,0.676779
ALL,fade,1ATR_1.5R_H12,S+D,8971,0.492341,0.242461,0.678176
AG,fade,1ATR_1.5R_H12,S,3188,0.513046,0.243234,0.679654
AG,fade,1ATR_1.5R_H12,S+D,3188,0.509388,0.245635,0.685408
CU,fade,1ATR_1.5R_H12,S,2612,0.469828,0.240922,0.67506
CU,fade,1ATR_1.5R_H12,S+D,2612,0.462846,0.242442,0.678401
RB,fade,1ATR_1.5R_H12,S,1551,0.523436,0.245407,0.684259
RB,fade,1ATR_1.5R_H12,S+D,1551,0.511754,0.248894,0.691648
M,fade,1ATR_1.5R_H12,S,1619,0.456992,0.248608,0.692221
M,fade,1ATR_1.5R_H12,S+D,1619,0.465891,0.249598,0.694504
ALL,fade,1ATR_2.0R_H12,S,8971,0.494342,0.232947,0.658865
ALL,fade,1ATR_2.0R_H12,S+D,8971,0.493931,0.233431,0.659955
AG,fade,1ATR_2.0R_H12,S,3188,0.504388,0.235327,0.663801
AG,fade,1ATR_2.0R_H12,S+D,3188,0.509133,0.237001,0.668321
CU,fade,1ATR_2.0R_H12,S,2612,0.482485,0.229889,0.652759
CU,fade,1ATR_2.0R_H12,S+D,2612,0.478193,0.231239,0.655868
RB,fade,1ATR_2.0R_H12,S,1551,0.531446,0.237537,0.668207
RB,fade,1ATR_2.0R_H12,S+D,1551,0.51811,0.240597,0.675076
M,fade,1ATR_2.0R_H12,S,1619,0.486911,0.235706,0.666491
M,fade,1ATR_2.0R_H12,S+D,1619,0.485639,0.236503,0.668182
