symbol,quant_bin,direction,policy,stop_atr,target_r,horizon,n,n_weighted,n_result,mean_R,mean_R_event,median_R,positive_R_rate,p10_R,p90_R,target_hit_rate,stop_hit_rate,timeout_rate,both_hit_rate,gap_stop_rate,gap_target_rate
ALL,LOW,follow,conservative,0.5,1.0,6,911,742.0,911,-0.108728,-0.119831,-1.0,0.43798,-1.0,1.0,0.436883,0.50494,0.006586,0.051592,0.0,0.0
ALL,MID,follow,conservative,0.5,1.0,6,1859,1459.0,1859,-0.067814,-0.072576,-1.0,0.462614,-1.0,1.0,0.462076,0.463152,0.003228,0.071544,0.000538,0.001076
ALL,HIGH,follow,conservative,0.5,1.0,6,2409,1735.0,2409,-0.059072,-0.074413,-1.0,0.462433,-1.0,1.0,0.461187,0.430469,0.003321,0.105023,0.00166,0.0
ALL,LOW,follow,conservative,0.5,1.5,6,911,742.0,911,-0.109273,-0.118974,-1.0,0.350165,-1.0,1.5,0.342481,0.621295,0.024149,0.012075,0.0,0.0
ALL,MID,follow,conservative,0.5,1.5,6,1859,1459.0,1859,-0.012921,-0.02438,-1.0,0.391608,-1.0,1.5,0.38354,0.578806,0.013448,0.024207,0.000538,0.000538
ALL,HIGH,follow,conservative,0.5,1.5,6,2409,1735.0,2409,-0.027176,-0.03608,-1.0,0.386467,-1.0,1.5,0.379411,0.56538,0.012038,0.043171,0.00166,0.00083
ALL,LOW,follow,conservative,0.5,2.0,6,911,742.0,911,-0.118242,-0.122307,-1.0,0.299671,-1.0,2.0,0.259056,0.666301,0.066959,0.007684,0.0,0.0
ALL,MID,follow,conservative,0.5,2.0,6,1859,1459.0,1859,-0.025054,-0.034817,-1.0,0.329209,-1.0,2.0,0.302313,0.648198,0.039806,0.009683,0.000538,0.0
ALL,HIGH,follow,conservative,0.5,2.0,6,2409,1735.0,2409,-0.014016,-0.020906,-1.0,0.334164,-1.0,2.0,0.306351,0.635118,0.040266,0.018265,0.00166,0.0
ALL,LOW,follow,conservative,0.5,2.5,6,911,742.0,911,-0.14325,-0.149876,-1.0,0.270033,-1.0,2.5,0.182217,0.698134,0.119649,0.0,0.0,0.0
ALL,MID,follow,conservative,0.5,2.5,6,1859,1459.0,1859,-0.006728,-0.016166,-1.0,0.303389,-1.0,2.5,0.236686,0.670253,0.087144,0.005917,0.000538,0.000538
ALL,HIGH,follow,conservative,0.5,2.5,6,2409,1735.0,2409,-0.005242,-0.005109,-1.0,0.306351,-1.0,2.5,0.24616,0.667497,0.077626,0.008717,0.00166,0.000415
ALL,LOW,follow,conservative,0.5,3.0,6,911,742.0,911,-0.152722,-0.165514,-1.0,0.254665,-1.0,3.0,0.133919,0.708013,0.158068,0.0,0.0,0.0
ALL,MID,follow,conservative,0.5,3.0,6,1859,1459.0,1859,0.023233,0.014545,-1.0,0.292093,-1.0,3.0,0.189887,0.681011,0.12695,0.002152,0.000538,0.000538
ALL,HIGH,follow,conservative,0.5,3.0,6,2409,1735.0,2409,0.004247,0.006282,-1.0,0.291407,-1.0,3.0,0.192611,0.683686,0.116646,0.007057,0.00166,0.000415
ALL,LOW,follow,conservative,0.75,1.0,6,911,742.0,911,-0.051663,-0.055245,-0.398361,0.463227,-1.0,1.0,0.424808,0.48079,0.091109,0.003293,0.002195,0.0
ALL,MID,follow,conservative,0.75,1.0,6,1859,1459.0,1859,-0.006676,-0.019705,-0.140119,0.486283,-1.0,1.0,0.468531,0.476062,0.04411,0.011296,0.001076,0.001076
ALL,HIGH,follow,conservative,0.75,1.0,6,2409,1735.0,2409,-0.005889,0.009548,0.040027,0.500623,-1.0,1.0,0.487754,0.460357,0.035284,0.016604,0.0,0.00083
ALL,LOW,follow,conservative,0.75,1.5,6,911,742.0,911,-0.062693,-0.074021,-1.0,0.385291,-1.0,1.5,0.275521,0.538968,0.18551,0.0,0.002195,0.0
ALL,MID,follow,conservative,0.75,1.5,6,1859,1459.0,1859,0.01234,0.002661,-1.0,0.415815,-1.0,1.5,0.333513,0.532006,0.130715,0.003765,0.001076,0.0
ALL,HIGH,follow,conservative,0.75,1.5,6,2409,1735.0,2409,0.008133,0.027578,-1.0,0.427563,-1.0,1.5,0.352844,0.530511,0.112495,0.004151,0.00083,0.000415
ALL,LOW,follow,conservative,0.75,2.0,6,911,742.0,911,-0.081266,-0.098621,-1.0,0.353458,-1.0,2.0,0.163557,0.558727,0.277717,0.0,0.002195,0.0
ALL,MID,follow,conservative,0.75,2.0,6,1859,1459.0,1859,0.041886,0.026483,-1.0,0.389457,-1.0,2.0,0.233459,0.548682,0.216783,0.001076,0.001076,0.000538
ALL,HIGH,follow,conservative,0.75,2.0,6,2409,1735.0,2409,0.007691,0.029935,-1.0,0.39477,-1.0,2.0,0.234537,0.555002,0.207555,0.002906,0.00083,0.000415
ALL,LOW,follow,conservative,0.75,2.5,6,911,742.0,911,-0.075698,-0.098511,-1.0,0.342481,-1.0,2.5,0.103183,0.566411,0.330406,0.0,0.002195,0.0
ALL,MID,follow,conservative,0.75,2.5,6,1859,1459.0,1859,0.04007,0.02622,-1.0,0.376009,-1.0,2.5,0.154384,0.555675,0.288865,0.001076,0.001076,0.000538
ALL,HIGH,follow,conservative,0.75,2.5,6,2409,1735.0,2409,0.007246,0.018504,-1.0,0.378995,-1.0,2.5,0.149024,0.569116,0.279784,0.002076,0.00083,0.0
ALL,LOW,follow,conservative,0.75,3.0,6,911,742.0,911,-0.078948,-0.102332,-1.0,0.340285,-1.0,1.960642,0.060373,0.567508,0.372119,0.0,0.002195,0.0
ALL,MID,follow,conservative,0.75,3.0,6,1859,1459.0,1859,0.047226,0.03155,-1.0,0.372781,-1.0,2.97881,0.09844,0.556751,0.343733,0.001076,0.001076,0.0
ALL,HIGH,follow,conservative,0.75,3.0,6,2409,1735.0,2409,-0.002022,0.015662,-1.0,0.375675,-1.0,2.270495,0.091324,0.573682,0.334994,0.0,0.00083,0.000415
ALL,LOW,follow,conservative,1.0,1.0,6,911,742.0,911,-0.054181,-0.064722,-0.117472,0.446762,-1.0,1.0,0.347969,0.421515,0.230516,0.0,0.0,0.0
ALL,MID,follow,conservative,1.0,1.0,6,1859,1459.0,1859,-0.002383,-0.009837,0.0,0.482517,-1.0,1.0,0.419042,0.428187,0.151157,0.001614,0.002152,0.0
ALL,HIGH,follow,conservative,1.0,1.0,6,2409,1735.0,2409,-0.008323,0.006753,0.0,0.499377,-1.0,1.0,0.433375,0.428809,0.13325,0.004566,0.000415,0.0
ALL,LOW,follow,conservative,1.0,1.5,6,911,742.0,911,-0.076318,-0.093392,-0.339022,0.39517,-1.0,1.5,0.175631,0.446762,0.377607,0.0,0.0,0.0
ALL,MID,follow,conservative,1.0,1.5,6,1859,1459.0,1859,0.025141,0.016762,-0.238869,0.441635,-1.0,1.5,0.257665,0.447552,0.294782,0.0,0.002152,0.000538
ALL,HIGH,follow,conservative,1.0,1.5,6,2409,1735.0,2409,-0.011948,0.008907,-0.248904,0.450394,-1.0,1.5,0.253217,0.463263,0.281029,0.002491,0.000415,0.000415
ALL,LOW,follow,conservative,1.0,2.0,6,911,742.0,911,-0.082206,-0.101693,-0.389968,0.381998,-1.0,1.597367,0.082327,0.450055,0.467618,0.0,0.0,0.0
ALL,MID,follow,conservative,1.0,2.0,6,1859,1459.0,1859,0.02721,0.018008,-0.289406,0.427111,-1.0,2.0,0.145239,0.452932,0.401829,0.0,0.002152,0.0
ALL,HIGH,follow,conservative,1.0,2.0,6,2409,1735.0,2409,-0.018147,0.000249,-0.382142,0.43296,-1.0,2.0,0.136986,0.475301,0.386052,0.00166,0.000415,0.0
ALL,LOW,follow,conservative,1.0,2.5,6,911,742.0,911,-0.080358,-0.102119,-0.389968,0.381998,-1.0,1.446549,0.040615,0.450055,0.50933,0.0,0.0,0.0
ALL,MID,follow,conservative,1.0,2.5,6,1859,1459.0,1859,0.031734,0.024209,-0.289598,0.423884,-1.0,1.876145,0.083916,0.454008,0.462076,0.0,0.002152,0.000538
ALL,HIGH,follow,conservative,1.0,2.5,6,2409,1735.0,2409,-0.012702,0.008885,-0.3853,0.430469,-1.0,1.731115,0.075135,0.478207,0.446658,0.0,0.000415,0.0
ALL,LOW,follow,conservative,1.0,3.0,6,911,742.0,911,-0.079655,-0.100784,-0.392578,0.3809,-1.0,1.375554,0.021954,0.450055,0.527991,0.0,0.0,0.0
ALL,MID,follow,conservative,1.0,3.0,6,1859,1459.0,1859,0.036235,0.033997,-0.294202,0.422808,-1.0,1.780996,0.050565,0.454545,0.49489,0.0,0.002152,0.0
ALL,HIGH,follow,conservative,1.0,3.0,6,2409,1735.0,2409,-0.013969,0.0074,-0.3853,0.430469,-1.0,1.677795,0.036115,0.478207,0.485679,0.0,0.000415,0.0
ALL,LOW,follow,conservative,1.25,1.0,6,911,742.0,911,-0.048126,-0.054808,0.0,0.45225,-1.0,1.0,0.271131,0.345774,0.383095,0.0,0.0,0.0
ALL,MID,follow,conservative,1.25,1.0,6,1859,1459.0,1859,0.006713,-1.7e-05,0.0,0.494352,-1.0,1.0,0.335664,0.35503,0.309306,0.0,0.0,0.000538
ALL,HIGH,follow,conservative,1.25,1.0,6,2409,1735.0,2409,-0.012624,0.001953,0.031896,0.503528,-1.0,1.0,0.348277,0.364882,0.28435,0.002491,0.0,0.00166
ALL,LOW,follow,conservative,1.25,1.5,6,911,742.0,911,-0.050686,-0.062844,-0.098991,0.424808,-1.0,1.5,0.118551,0.354555,0.526894,0.0,0.0,0.0
ALL,MID,follow,conservative,1.25,1.5,6,1859,1459.0,1859,0.016885,0.011268,0.0,0.46638,-1.0,1.5,0.174825,0.364174,0.461001,0.0,0.0,0.000538
ALL,HIGH,follow,conservative,1.25,1.5,6,2409,1735.0,2409,-0.013397,-0.004772,-0.05232,0.469905,-1.0,1.5,0.16895,0.385222,0.443753,0.002076,0.0,0.0
