symbol,direction,smc_internal_align_count,dsa_tf,aligned,aligned_n,flat,flat_n,opposed,opposed_n,delta_aligned_minus_opposed
ALL,follow,0,5m,-0.145064,22,0.001753,1545,-0.039689,1591,-0.105375
ALL,follow,0,15m,0.133388,66,-0.023612,1780,-0.022362,1312,0.15575
ALL,follow,0,1h,0.108463,483,-0.048092,1740,-0.037502,935,0.145965
ALL,follow,1,5m,0.206559,174,0.010257,2687,-0.015917,1042,0.222476
ALL,follow,1,15m,0.038509,723,-0.00024,2292,0.029768,888,0.008741
ALL,follow,1,1h,0.026697,879,0.009846,2191,0.011005,833,0.015692
ALL,follow,2,5m,0.032788,628,-0.04114,2178,0.118564,170,-0.085776
ALL,follow,2,15m,-0.04852,1150,-0.003721,1513,0.065362,313,-0.113882
ALL,follow,2,1h,0.032883,925,-0.039273,1565,-0.001368,486,0.034251
ALL,follow,3,5m,0.059971,560,0.09468,589,-0.360645,28,0.420616
ALL,follow,3,15m,0.043064,589,0.063177,562,0.649074,26,-0.60601
ALL,follow,3,1h,0.186735,375,0.005877,640,0.032498,162,0.154237
ALL,fade,0,5m,0.357485,28,-0.065432,602,0.046478,564,0.311007
ALL,fade,0,15m,-0.418401,29,-0.034044,574,0.052162,591,-0.470563
ALL,fade,0,1h,-0.007254,162,0.046082,657,-0.083369,375,0.076115
ALL,fade,1,5m,-0.04074,170,0.026558,2178,-0.074666,628,0.033926
ALL,fade,1,15m,-0.036598,316,-0.010483,1509,0.016606,1151,-0.053204
ALL,fade,1,1h,-0.051023,486,0.009051,1565,-0.000336,925,-0.050687
ALL,fade,2,5m,0.072124,1042,-0.046941,2692,-0.236164,170,0.308288
ALL,fade,2,15m,-0.066816,892,-0.007212,2289,-0.016552,723,-0.050264
ALL,fade,2,1h,-0.002155,833,-0.017092,2192,-0.058988,879,0.056833
ALL,fade,3,5m,0.020159,1591,0.037531,1527,-0.030367,22,0.050526
ALL,fade,3,15m,0.043385,1302,0.016149,1775,0.07664,63,-0.033255
ALL,fade,3,1h,-0.007047,935,0.071558,1722,-0.049928,483,0.042881
