instrument,horizon,learner,auc_S0,auc_S3,delta_auc,delta_brier_skill,delta_logloss_skill
AG,H5,logistic,0.5225752260024479,0.5321343472448574,0.00955912124240954,-0.0038191602589567886,-0.008101752822655683
AG,H5,gbr,0.5279141277005874,0.5205315359812883,-0.007382591719299114,-0.0037214891285135554,-0.0027706270628006235
AG,H15,logistic,0.5039543169546894,0.5062661430916877,0.0023118261369983184,-0.005747080739945565,-0.008882156732675783
AG,H15,gbr,0.5121899454421331,0.511320559909277,-0.0008693855328560929,-0.0001523263559752852,-0.00014849286600382428
CU,H5,logistic,0.5135474490197594,0.5238586801209054,0.010311231101146068,-8.396751793093848e-05,-0.0016111736162003343
CU,H5,gbr,0.5250281834584757,0.5323814812889671,0.007353297830491434,0.0025557418593289416,0.0018826660638827653
CU,H15,logistic,0.5007923535298854,0.5151178996395146,0.014325546109629217,-0.006133217438007321,-0.014343136827098535
CU,H15,gbr,0.5203781030455752,0.526668866188751,0.0062907631431757816,0.0013386354041544646,0.0009810763989244187
AL,H5,logistic,0.49688555573606186,0.5229719004918945,0.026086344755832602,-0.001421757647101396,-0.008740286606769843
AL,H5,gbr,0.5325989315209314,0.5386120558101879,0.0060131242892564885,0.0014635356150496381,0.0009842176410829184
AL,H15,logistic,0.5109134221807184,0.5254297808657571,0.014516358685038644,-0.0056947770351665206,-0.016280430291512715
AL,H15,gbr,0.519332637167032,0.5179346728874512,-0.0013979642795808322,-0.0035398443504623955,-0.0028470532000532955
SN,H5,logistic,0.5203841051957279,0.5254171777020604,0.005033072506332559,-0.0020997515063407857,-0.0032602047734779926
SN,H5,gbr,0.5284992409983287,0.5304599429132212,0.0019607019148925042,0.0016250536340927102,0.0012304164897869452
SN,H15,logistic,0.504037255900308,0.5079844527640494,0.003947196863741342,-0.004420856453564825,-0.007689262040479372
SN,H15,gbr,0.48974276460274635,0.5031215473719293,0.013378782769182918,0.006164539299042593,0.004456435970774386
I,H5,logistic,0.5322785149721094,0.5302120601703945,-0.0020664548017149675,-0.0036915676598799907,-0.0028588949735948166
I,H5,gbr,0.5232032100976959,0.5303778499892338,0.007174639891537882,0.001152365797296273,0.0008813425675386899
I,H15,logistic,0.521076416745251,0.5063739754723267,-0.014702441272924305,-0.007394336425995074,-0.005673095203102552
I,H15,gbr,0.513191306938404,0.506227949490258,-0.006963357448146024,-0.007909711922567952,-0.006417075088837487
SC,H5,logistic,0.5207605673969414,0.5264441029234141,0.005683535526472716,0.001343464861831123,-0.0016234926914806547
SC,H5,gbr,0.5233909909626782,0.5284760189896791,0.0050850280270009485,0.0025066040296447545,0.0018466426214940324
SC,H15,logistic,0.5147722549431535,0.5205689754396216,0.005796720496468066,-0.002940268558845549,-0.004911333405088758
SC,H15,gbr,0.5187580841220563,0.5193556656981713,0.0005975815761150027,9.300275254031654e-05,1.9455814883384548e-05
M,H5,logistic,0.5162056977864642,0.5152535130221013,-0.0009521847643628734,-0.005449586626047331,-0.007628022266956025
M,H5,gbr,0.5187139291709371,0.5241297034658641,0.005415774294927012,0.00041667646055110197,0.0003457458274802594
M,H15,logistic,0.4863546519959089,0.4991860537297361,0.012831401733827241,-0.007735207316258652,-0.00682038616586178
M,H15,gbr,0.49485134022664024,0.497302171316255,0.0024508310896147467,-0.0018604772228294486,-0.0014880547475466521
CF,H5,logistic,0.540619621342513,0.5457097095866459,0.005090088244132929,-0.00019746507492512944,-6.498122429121622e-05
CF,H5,gbr,0.5367980425101767,0.5399094678031856,0.003111425293008896,0.0006605251711238047,0.0005079213472647393
CF,H15,logistic,0.5447025678247968,0.5471175007943379,0.002414932969541095,0.0014220315124976457,0.001089009659548168
CF,H15,gbr,0.538842103115262,0.5392037090478731,0.000361605932611031,0.000591589893927047,0.00033713778325838994
