instrument,horizon,features,learner,stratum,n,auc,brier_skill,logloss_skill,calibration_slope,return_spread
AG,H5,S0,logistic,ALL,13104,0.5225752260024479,-0.00019692502294788028,-0.0002877521256077209,0.11341370209255407,-0.0002124911220866821
AG,H5,S0,logistic,TOP50,10685,0.5220030946188438,-0.0008577024542191225,-0.0007976823424242774,0.10462941134972992,-0.00023285076314106919
AG,H5,S0,logistic,TOP30,8862,0.5222909151860782,-0.001490388343792004,-0.0012887996372386024,0.10390873558768567,-0.00023263453638636226
AG,H5,S0,logistic,TOP20,7434,0.524096156019204,-0.0017252557842937222,-0.0014984653757512678,0.10621393333667314,-0.00029298014684440396
AG,H5,S0,gbr,ALL,13104,0.5279141277005874,0.0008414869742692233,0.0005743882661274347,0.14236016614297986,-0.00011549448391352588
AG,H5,S0,gbr,TOP50,10685,0.5220588487813247,-0.0006458339159709503,-0.0005033408100296732,0.1119909597944742,-9.794474610134918e-05
AG,H5,S0,gbr,TOP30,8862,0.5200553997872909,-0.0014406524956624978,-0.0010819167939613017,0.09826896253190334,-0.000138403200400174
AG,H5,S0,gbr,TOP20,7434,0.5208992733320391,-0.0016692864501988147,-0.0012535052247959477,0.09604665414696115,-0.00012807243749618779
AG,H5,S1,logistic,ALL,13104,0.526437157434529,-0.0027628319221089104,-0.004714375052292219,0.03819029286142844,-0.00012783863390379788
AG,H5,S1,logistic,TOP50,10685,0.5264007698910421,-0.004076074580266376,-0.006278267924293202,0.03408200065211252,-0.00011919115392332174
AG,H5,S1,logistic,TOP30,8862,0.5276569573578196,-0.005414783442179161,-0.007930632079500288,0.03165390950298177,-0.0001048725907166602
AG,H5,S1,logistic,TOP20,7434,0.5284799949005757,-0.00663380703165517,-0.009582098106057035,0.029980881524089117,-0.00010139858567507313
AG,H5,S1,gbr,ALL,13104,0.5215195334168862,-0.0022448613638319515,-0.0017356107544548305,0.07971501804493346,-0.00010509947572169208
AG,H5,S1,gbr,TOP50,10685,0.519717822261337,-0.0019074425914367144,-0.0014469280364481918,0.08386295246142263,-0.00013231820711234727
AG,H5,S1,gbr,TOP30,8862,0.5193399308952555,-0.002132945166611888,-0.0016186270962370575,0.07669053610058801,-0.00011405313673790662
AG,H5,S1,gbr,TOP20,7434,0.5209559899402266,-0.002063618367481812,-0.0015783113600877918,0.0798839065064524,-0.00011797947875275954
AG,H5,S2,logistic,ALL,13104,0.5317881492162306,-0.0033249017189500574,-0.007342258608800334,0.03268675747547663,-4.17780096448374e-05
AG,H5,S2,logistic,TOP50,10685,0.5307171092668744,-0.004986699985494836,-0.009660622368584226,0.026796338583516804,-9.48337622323087e-06
AG,H5,S2,logistic,TOP30,8862,0.5312020932319313,-0.006758753680713214,-0.012188597759618558,0.022658774420787422,4.6167305287952755e-05
AG,H5,S2,logistic,TOP20,7434,0.5319854869225844,-0.008255993814550333,-0.014671803650327275,0.020476369107905127,0.00011920790735264469
AG,H5,S2,gbr,ALL,13104,0.520760467187851,-0.003298235336121502,-0.002528235587666794,0.06204996772503752,-0.000129752185863705
AG,H5,S2,gbr,TOP50,10685,0.519041711052143,-0.0029303012630754743,-0.002209251172482052,0.06617943172323543,-0.00015802188499166963
AG,H5,S2,gbr,TOP30,8862,0.5192343866203495,-0.003145737325414455,-0.0023742822991352774,0.060274533106975246,-6.889505674617874e-05
AG,H5,S2,gbr,TOP20,7434,0.5208307136006861,-0.003108226322663832,-0.002362180706035222,0.0637872797614906,-1.4316994476088511e-05
AG,H5,S3,logistic,ALL,13104,0.5321343472448574,-0.004016085281904669,-0.008389504948263404,0.029890094489875885,5.1856052036031774e-05
AG,H5,S3,logistic,TOP50,10685,0.5308220469410099,-0.005906871829854499,-0.010997892898401807,0.02418547382956872,5.134104226172131e-05
AG,H5,S3,logistic,TOP30,8862,0.5311010082153809,-0.007872987273088716,-0.013804388822026947,0.020350868607958882,0.0001118213918626346
AG,H5,S3,logistic,TOP20,7434,0.531439218339384,-0.009627407491067608,-0.016629478182366597,0.01818616876207062,0.00012171508169214634
AG,H5,S3,gbr,ALL,13104,0.5205315359812883,-0.002880002154244332,-0.002196238796673189,0.06879024032407834,-0.00012816665500569528
AG,H5,S3,gbr,TOP50,10685,0.5190110304932165,-0.0026642953924400636,-0.001995147910294426,0.06940765446847393,-0.00018080234465242068
AG,H5,S3,gbr,TOP30,8862,0.518939158235738,-0.0029093913846367503,-0.0021803069171486555,0.062146565850827354,-0.00015888513176697937
AG,H5,S3,gbr,TOP20,7434,0.5201407701869112,-0.0028884105022948248,-0.0021767697984711454,0.06503915669416292,-0.00010846960135435282
AG,H15,S0,logistic,ALL,11914,0.5039543169546894,-0.0022608250434508204,-0.001790632018315197,-0.0030596971403269385,-0.0006708974638576369
AG,H15,S0,logistic,TOP50,9581,0.5014492092887739,-0.002970238184652807,-0.002341437910039712,-0.003154491173630375,-0.0006638001042931483
AG,H15,S0,logistic,TOP30,7975,0.5001892468656264,-0.003891335063611834,-0.00304620650021592,-0.0014891981666642548,-0.0006028352804143186
AG,H15,S0,logistic,TOP20,6784,0.5007002712498307,-0.004776679606241174,-0.003726588711256529,6.532402126494009e-06,-0.0005416135191908311
AG,H15,S0,gbr,ALL,11914,0.5121899454421331,-0.0032931888785334706,-0.0024848095568945627,0.05026856869531844,-0.000526511424209448
AG,H15,S0,gbr,TOP50,9581,0.5071762847419825,-0.004701201502777419,-0.003525958519579042,0.02456511084904479,-0.0006428308396893157
AG,H15,S0,gbr,TOP30,7975,0.5062430326043511,-0.005703942817279817,-0.004275824464648137,0.01645376740405812,-0.0007724294301220149
AG,H15,S0,gbr,TOP20,6784,0.5066888625058618,-0.006474857113917043,-0.004856447489241189,0.015472025120648675,-0.0007975301410836045
AG,H15,S1,logistic,ALL,11914,0.5077829871983661,-0.005823386907418016,-0.00733331582911223,0.03266001775424014,-0.0006246500757903603
AG,H15,S1,logistic,TOP50,9581,0.5062169357918099,-0.007456840941480802,-0.009277422518336076,0.029660942688338857,-0.0006569429260634572
AG,H15,S1,logistic,TOP30,7975,0.5076098821318271,-0.009024048271556895,-0.011196288779495633,0.028042153705421197,-0.0006614805275359106
AG,H15,S1,logistic,TOP20,6784,0.5093273931083744,-0.010488897590708701,-0.013076687186222014,0.02736904819283134,-0.000617442483033107
AG,H15,S1,gbr,ALL,11914,0.5144978363038315,-0.0038425141457332224,-0.0029498483773819917,0.07628798955344085,-0.000463222042617981
AG,H15,S1,gbr,TOP50,9581,0.5144991454791972,-0.003941317662127464,-0.003034014684801134,0.07146662203749556,-0.0004377675773042168
AG,H15,S1,gbr,TOP30,7975,0.511864276615688,-0.00506072624947862,-0.003877757946282312,0.057877280493543036,-0.0004599626297210591
AG,H15,S1,gbr,TOP20,6784,0.5121543995336587,-0.005565455446824297,-0.004264621032346261,0.05711340610032974,-0.0004426337041161095
AG,H15,S2,logistic,ALL,11914,0.5065710916651152,-0.00707952449084881,-0.009709764176571989,0.026316887150823823,-0.0004413490583653123
AG,H15,S2,logistic,TOP50,9581,0.5018307042669794,-0.009110270069268678,-0.01229906858693175,0.023112247868698314,-0.0005301549832755902
AG,H15,S2,logistic,TOP30,7975,0.5010766688967381,-0.011015689611653556,-0.014830931392022073,0.021436254890457206,-0.0006056696449211277
AG,H15,S2,logistic,TOP20,6784,0.5031612357206326,-0.01265216447424744,-0.01722238524051245,0.020958927384808493,-0.000564594909399239
AG,H15,S2,gbr,ALL,11914,0.5126927861749124,-0.0033495182319367434,-0.002557766907454795,0.08602505305974417,-0.0005026738666189122
AG,H15,S2,gbr,TOP50,9581,0.5111511078201929,-0.003680555481693659,-0.0027871611602585666,0.07466068660189662,-0.0005210777511683365
AG,H15,S2,gbr,TOP30,7975,0.5098143651685811,-0.004389655330625519,-0.0033231407392821932,0.0632217268054031,-0.00045859805966125267
AG,H15,S2,gbr,TOP20,6784,0.5119202775634872,-0.004093159310437633,-0.0031169929770333837,0.07001951177994563,-0.0004317951256981805
AG,H15,S3,logistic,ALL,11914,0.5062661430916877,-0.008007905783396385,-0.01067278875099098,0.027662165695556375,-0.00046185463584812685
AG,H15,S3,logistic,TOP50,9581,0.5025812484737581,-0.010119843194651867,-0.013392432741374583,0.024856950255955038,-0.00047799918775775493
AG,H15,S3,logistic,TOP30,7975,0.5021836273885081,-0.012192903610723782,-0.016119171034661983,0.02326631664516487,-0.0004864176769066325
AG,H15,S3,logistic,TOP20,6784,0.5046720097387757,-0.013887247884817988,-0.018626944125019085,0.022952337531887346,-0.00041652739585650413
AG,H15,S3,gbr,ALL,11914,0.511320559909277,-0.003445515234508756,-0.002633302422898387,0.08233905264492387,-0.000413794237422287
AG,H15,S3,gbr,TOP50,9581,0.5105773587621396,-0.0037188022646730268,-0.0028259927126856876,0.07192206481737515,-0.0004622745746678808
AG,H15,S3,gbr,TOP30,7975,0.5093414688661456,-0.004494243978874657,-0.003412578382252951,0.05937244721096095,-0.0004478763716638794
AG,H15,S3,gbr,TOP20,6784,0.5114595394905943,-0.004209357591542284,-0.0032201456711080656,0.0663374185400116,-0.00031398557620143744
CU,H5,S0,logistic,ALL,9604,0.5135474490197594,-0.001390673241665752,-0.0011083009534029742,0.03764181892916863,2.7537504540583586e-05
CU,H5,S0,logistic,TOP50,7235,0.512231825745646,-0.0024173137865302063,-0.0018812805956363032,0.02340072598369749,2.1349259613603095e-05
CU,H5,S0,logistic,TOP30,4630,0.5129905199119174,-0.004180807026540778,-0.0032290593474975093,0.02476701050968209,2.0548998326266517e-06
CU,H5,S0,logistic,TOP20,3247,0.5098486320121896,-0.0073889914846463345,-0.0056353470894487945,0.00964410451965031,-1.6480169157577944e-05
CU,H5,S0,gbr,ALL,9604,0.5250281834584757,6.469664522779084e-06,-3.6391930985146814e-05,0.12356690143683725,7.185631635221317e-05
CU,H5,S0,gbr,TOP50,7235,0.5198772902751863,-0.0020537005509013717,-0.0015361798841189156,0.08990018890860198,5.9342817406683466e-05
CU,H5,S0,gbr,TOP30,4630,0.5214445937371701,-0.002823481082625534,-0.002113291100056758,0.08476589469734795,2.6650686355046146e-05
CU,H5,S0,gbr,TOP20,3247,0.5092224217056899,-0.0076198097356010575,-0.005597197334285209,0.03277089903773706,-1.4131337345946695e-05
CU,H5,S1,logistic,ALL,9604,0.5137148931334409,-0.0018833457947453613,-0.002871280548904842,0.025753159060020896,-1.8865121415029384e-05
CU,H5,S1,logistic,TOP50,7235,0.5106413366897582,-0.002963653608033079,-0.004095012139898158,0.01933956463873144,-2.8891101533430154e-05
CU,H5,S1,logistic,TOP30,4630,0.5101082372261412,-0.005238458508612931,-0.0068367952531322995,0.012792404832609348,-6.230333475622003e-05
CU,H5,S1,logistic,TOP20,3247,0.508428893165221,-0.008728052442767309,-0.010657966687098286,0.004686072843161712,-1.2516569770763925e-06
CU,H5,S1,gbr,ALL,9604,0.5324903677295938,0.00220875571156276,0.0015823942540126312,0.1688537074885302,5.637827974198306e-05
CU,H5,S1,gbr,TOP50,7235,0.5291352638994614,0.0009511261093839707,0.0006647436455767819,0.14191343607872814,6.193040144645708e-05
CU,H5,S1,gbr,TOP30,4630,0.5259868249169559,-2.2329037851598343e-05,-4.154754013163675e-05,0.12361986997983149,8.863782342075587e-05
CU,H5,S1,gbr,TOP20,3247,0.5150212695242546,-0.0030331145654181046,-0.002224508359765176,0.07486858853133661,8.247496526791474e-05
CU,H5,S2,logistic,ALL,9604,0.5256772030962049,-0.001414797020678371,-0.002811502867862359,0.06472112091560343,-5.329714287128095e-07
CU,H5,S2,logistic,TOP50,7235,0.5233980498197263,-0.0028474766784158945,-0.004407399626393582,0.05608943941174877,1.0883436239769181e-05
CU,H5,S2,logistic,TOP30,4630,0.5294101071175307,-0.004659499884530849,-0.007037683029262443,0.05146807736760355,3.846873416029116e-05
CU,H5,S2,logistic,TOP20,3247,0.5248025568957877,-0.009136767596478634,-0.011837480310169957,0.040714140349248286,6.027240335715607e-05
CU,H5,S2,gbr,ALL,9604,0.5323523001571222,0.0024776771316727952,0.0017821623598072156,0.1729425117317245,4.033914140775756e-05
CU,H5,S2,gbr,TOP50,7235,0.5294466792405166,0.001260827869853598,0.0008917277783656585,0.14723529227597495,3.5812660264237966e-05
CU,H5,S2,gbr,TOP30,4630,0.5253511178292838,0.00019801064387481304,0.00012597864184848984,0.12801287287924798,0.00011107783486456659
CU,H5,S2,gbr,TOP20,3247,0.5117044985461146,-0.00330249807870886,-0.002408872358338199,0.06675538328130827,3.93710870843915e-05
CU,H5,S3,logistic,ALL,9604,0.5238586801209054,-0.0014746407595966904,-0.0027194745696033085,0.06765252598774207,3.812030768585795e-05
CU,H5,S3,logistic,TOP50,7235,0.5220776120735873,-0.0028024498385199603,-0.004172345914118969,0.05926796754425594,4.0800001303701e-05
CU,H5,S3,logistic,TOP30,4630,0.5274944948307394,-0.004508582831036945,-0.0066114186473649195,0.05463944464168136,4.1866990103405386e-05
CU,H5,S3,logistic,TOP20,3247,0.5224862806636273,-0.008981656914662794,-0.011274543200864295,0.04268331666470653,4.180182213125669e-05
CU,H5,S3,gbr,ALL,9604,0.5323814812889671,0.0025622115238517207,0.0018462741328976184,0.17506299677017442,6.157613441080639e-05
CU,H5,S3,gbr,TOP50,7235,0.5282947941875661,0.0011519317340831225,0.0008186517415149641,0.14567940070780394,5.10461147851588e-05
CU,H5,S3,gbr,TOP30,4630,0.5249360840518046,0.00019805362439384577,0.00012978977787625467,0.12796608803659237,5.1158055456529126e-05
CU,H5,S3,gbr,TOP20,3247,0.5115091042366039,-0.003042067142632998,-0.0022084954388112976,0.07091845458131968,4.778653176530794e-05
CU,H15,S0,logistic,ALL,8414,0.5007923535298854,-0.002130639466835005,-0.0015854779315551681,-0.1729762693599518,-5.854698837870355e-05
CU,H15,S0,logistic,TOP50,6254,0.49666602850770625,-0.003656163287349967,-0.0027036454978957014,-0.21772870960408935,-0.00011649525634069307
CU,H15,S0,logistic,TOP30,4033,0.5010459319812209,-0.005169978570219058,-0.0038317602244986038,-0.203859368105074,-6.631390618028062e-05
CU,H15,S0,logistic,TOP20,2846,0.4917066737790422,-0.0063963529307742295,-0.004757734937869573,-0.2316550000326767,-0.00011090613433650263
CU,H15,S0,gbr,ALL,8414,0.5203781030455752,-0.001871965950298371,-0.0014778423236601057,0.09784630265863856,0.00014677331761744027
CU,H15,S0,gbr,TOP50,6254,0.5169917493409781,-0.003985632595304045,-0.003047551335371601,0.07578079423797794,0.00017875725439746364
CU,H15,S0,gbr,TOP30,4033,0.5203575547866206,-0.004465199732133218,-0.0034659544972932554,0.08045124525231843,0.00022722855125386742
CU,H15,S0,gbr,TOP20,2846,0.5204977181128496,-0.00580059969480895,-0.004484550900789586,0.08575611511915804,0.0003255258798278149
CU,H15,S1,logistic,ALL,8414,0.5010592688126249,-0.003624372220247807,-0.003934394213146675,-0.027572065065322234,-1.4954866841945371e-05
CU,H15,S1,logistic,TOP50,6254,0.500882991100137,-0.0054528274849721114,-0.005709570411830844,-0.030728719297564298,-5.108462547184459e-06
CU,H15,S1,logistic,TOP30,4033,0.503122056548695,-0.008076475326305399,-0.008580516985242204,-0.030204094210969826,2.7268357643629444e-05
CU,H15,S1,logistic,TOP20,2846,0.4970681207523313,-0.010564428765527767,-0.011523145227487541,-0.034800946324278485,2.4742152887846454e-05
CU,H15,S1,gbr,ALL,8414,0.5227767802127558,-0.0013507279377891201,-0.0011188349952206966,0.10332884404634443,0.00015667859277181736
CU,H15,S1,gbr,TOP50,6254,0.5201427614774525,-0.002656529198684643,-0.0020991908200560516,0.08769775653169574,0.0002066248066319103
CU,H15,S1,gbr,TOP30,4033,0.5253601001419005,-0.0029166869581975785,-0.0023672539700354545,0.09187009715199804,0.00028674992228096567
CU,H15,S1,gbr,TOP20,2846,0.525014817449028,-0.005668142704366108,-0.004442307298248904,0.08329255060493708,0.00034212821413010154
CU,H15,S2,logistic,ALL,8414,0.5160181665152376,-0.007670985998438962,-0.014764205707029632,0.006308064160555662,9.714533782868281e-05
CU,H15,S2,logistic,TOP50,6254,0.5130114884975938,-0.01120962780055934,-0.020504353432133415,0.0028374775055788025,0.0001238103568596838
CU,H15,S2,logistic,TOP30,4033,0.5208837178418338,-0.016709859588179166,-0.031320297022636945,0.002267020738445265,0.00019593210817891906
CU,H15,S2,logistic,TOP20,2846,0.5261671210684369,-0.02297169726194448,-0.04387219961252886,0.0029458943703260633,0.0003868953814470176
CU,H15,S2,gbr,ALL,8414,0.5244352944627144,-0.0007337592662728376,-0.0006309373225761306,0.11234098029615858,0.0001780029979932815
CU,H15,S2,gbr,TOP50,6254,0.5219563499271027,-0.0019678954996529274,-0.0015478934003452238,0.09547586916109017,0.00020023591284135686
CU,H15,S2,gbr,TOP30,4033,0.5288070276398532,-0.001187814783904395,-0.0010271828304480035,0.10886642087997503,0.00031125660896706416
CU,H15,S2,gbr,TOP20,2846,0.5286799134660978,-0.0032989761712434174,-0.0026067896279111658,0.10018237638296668,0.0003235318627575386
CU,H15,S3,logistic,ALL,8414,0.5151178996395146,-0.008263856904842326,-0.015928614758653703,0.004807194391724692,0.00010035537936418363
CU,H15,S3,logistic,TOP50,6254,0.5127267714229145,-0.011927174991692713,-0.022013036314510348,0.0020027055699768322,0.00012189919580001073
CU,H15,S3,logistic,TOP30,4033,0.5200795331301967,-0.017425454805261475,-0.03333836899197595,0.0019681804906248692,0.0001996355220106528
CU,H15,S3,logistic,TOP20,2846,0.5230519993677888,-0.024338428717538108,-0.046985250684978386,0.0019056444742515859,0.0003581986247176591
CU,H15,S3,gbr,ALL,8414,0.526668866188751,-0.0005333305461439064,-0.000496765924735687,0.11543277728979322,0.0001750420991206531
CU,H15,S3,gbr,TOP50,6254,0.5257839741921971,-0.0013721810298163994,-0.0011292968451992458,0.10366108856280526,0.00020080913363439655
CU,H15,S3,gbr,TOP30,4033,0.5315386734149322,-0.0008345421442885748,-0.0007903985026325167,0.11275045721504638,0.0003566238297220278
CU,H15,S3,gbr,TOP20,2846,0.5310805871661135,-0.0030485471269847686,-0.0024486466065536394,0.10281562731426977,0.000414611097552515
AL,H5,S0,logistic,ALL,9604,0.49688555573606186,-0.009747307446319242,-0.007946306138937764,-0.018060896526516917,-8.543743799915011e-05
AL,H5,S0,logistic,TOP50,6401,0.49378477154135764,-0.015679181315502166,-0.012694380865573063,-0.03364633912154602,-0.00013107616268225926
AL,H5,S0,logistic,TOP30,4448,0.4841270021316474,-0.01861265772532672,-0.015280290996105839,-0.048367461723410145,-0.00021458169472901497
AL,H5,S0,logistic,TOP20,3312,0.48766379241768065,-0.023568057795598563,-0.01936696068668664,-0.03772556435641689,-0.00026562692450928833
AL,H5,S0,gbr,ALL,9604,0.5325989315209314,3.32095171639013e-05,-0.00011506496638324926,0.13182842469711084,-1.8869721092339724e-05
AL,H5,S0,gbr,TOP50,6401,0.5287178067017446,-0.0038557635293565706,-0.003012493027839902,0.10416042694126514,-5.60526966589626e-05
AL,H5,S0,gbr,TOP30,4448,0.5357050935153043,-0.0008312999770576646,-0.0007437231912070796,0.12125826305391006,-3.5551010053482846e-05
AL,H5,S0,gbr,TOP20,3312,0.5461092189948331,0.0014586537741871908,0.00093293304917208,0.1471389566007141,-9.010460008560781e-05
AL,H5,S1,logistic,ALL,9604,0.5177584044187948,-0.009517090980266207,-0.013410097693039358,0.02533656354113645,-6.020685603492642e-05
AL,H5,S1,logistic,TOP50,6401,0.5120786843069116,-0.01664097643459428,-0.021830722355261845,0.015674941300985373,-9.119153849125308e-05
AL,H5,S1,logistic,TOP30,4448,0.5145921739503452,-0.019767480856621722,-0.028289310756444364,0.016795213149790912,-0.00016760653191167155
AL,H5,S1,logistic,TOP20,3312,0.5223534678760589,-0.02477864456108181,-0.036554918918262125,0.016012563891253235,-0.00019213781528487587
AL,H5,S1,gbr,ALL,9604,0.5365952971296831,0.0009292266857658937,0.00046043903299364253,0.13582676725156256,-3.5117533184053424e-06
AL,H5,S1,gbr,TOP50,6401,0.5361102425980353,-0.0008835458471849744,-0.0008517749083318815,0.12747136284052774,4.509217362277856e-06
AL,H5,S1,gbr,TOP30,4448,0.5438105506645724,0.002251136735930026,0.0014685697510010698,0.14145722303679475,-1.2131891648500737e-05
AL,H5,S1,gbr,TOP20,3312,0.5505630407716628,0.0038844325452798145,0.002649244890747693,0.15603416233794412,-2.7385189092694004e-05
AL,H5,S2,logistic,ALL,9604,0.5251743735468871,-0.010037167082229903,-0.01559956062783563,0.03721045779853174,-2.4062434958857253e-06
AL,H5,S2,logistic,TOP50,6401,0.5239109094175602,-0.017507140295826673,-0.025138211216271467,0.028144916418544226,-2.316997645700863e-05
AL,H5,S2,logistic,TOP30,4448,0.5322939627522669,-0.020171213410284494,-0.0324041662642065,0.03121402816620873,-5.940296864978726e-05
AL,H5,S2,logistic,TOP20,3312,0.5446312716563038,-0.024551264423856578,-0.04151832205086081,0.030089661898714017,-5.297806251561326e-05
AL,H5,S2,gbr,ALL,9604,0.5362167442991812,0.0006212482440000056,0.0002219397454861216,0.13173333315907698,-2.48099199188938e-07
AL,H5,S2,gbr,TOP50,6401,0.5357098332554153,-0.0013433332098307105,-0.0012166819211087976,0.12196542493064147,-4.981270172667748e-06
AL,H5,S2,gbr,TOP30,4448,0.5432902191703074,0.0015553532212039256,0.0009273567635003088,0.13473091722083977,-3.7424662621087346e-05
AL,H5,S2,gbr,TOP20,3312,0.5511718684961715,0.004044522126969263,0.0027601049301168024,0.15442305947547294,1.0992365480273679e-05
AL,H5,S3,logistic,ALL,9604,0.5229719004918945,-0.011169065093420638,-0.016686592745707607,0.03451463679366621,-5.3221191940829385e-05
AL,H5,S3,logistic,TOP50,6401,0.5225201966512121,-0.019377462366259035,-0.026881306150692064,0.02442246280326244,-7.914202539783619e-05
AL,H5,S3,logistic,TOP30,4448,0.5309441531486345,-0.022646605961697208,-0.03475237717935875,0.027431136797355413,-8.636221682435823e-05
AL,H5,S3,logistic,TOP20,3312,0.5433277772330621,-0.027589956172898278,-0.044446062747767634,0.02644570470051355,-0.00012299408467682766
AL,H5,S3,gbr,ALL,9604,0.5386120558101879,0.0014967451322135394,0.0008691526746996692,0.14042228367885795,-3.987083662681899e-06
AL,H5,S3,gbr,TOP50,6401,0.5373640280743129,-0.0007507109482065566,-0.000776880409473435,0.12738190637559355,7.307282101693145e-06
AL,H5,S3,gbr,TOP30,4448,0.5446936499346646,0.0022604641975429995,0.001448460662014428,0.1403584064434203,-1.479742488561507e-07
AL,H5,S3,gbr,TOP20,3312,0.5514177305581198,0.004686830051923274,0.0032598798240592863,0.1605079997893963,-1.5549179908051831e-06
AL,H15,S0,logistic,ALL,8414,0.5109134221807184,-0.011563102610625764,-0.010290383576184059,-0.00848225924596639,-4.936481262325404e-05
AL,H15,S0,logistic,TOP50,5375,0.5100450912117762,-0.018076155021137907,-0.01602530242542266,-0.023255883011802397,-0.00010617832494315717
AL,H15,S0,logistic,TOP30,3911,0.5045536535983802,-0.023297875977628113,-0.02086292448518967,-0.03142410207385258,-0.00028437243981356943
AL,H15,S0,logistic,TOP20,2951,0.4976183658105131,-0.0306905430320783,-0.027519086015100003,-0.04721650321817933,-0.00037694464931808805
AL,H15,S0,gbr,ALL,8414,0.519332637167032,-0.006230925230161777,-0.0047604036287964835,0.07302449234326433,-0.00019100505979390952
AL,H15,S0,gbr,TOP50,5375,0.5143966796977153,-0.011652677839288694,-0.00878043568416853,0.04100433638920249,-0.0002960386033679191
AL,H15,S0,gbr,TOP30,3911,0.5171499566143409,-0.012235277262341304,-0.009257489955462939,0.04544553521244691,-0.0003800381288496159
AL,H15,S0,gbr,TOP20,2951,0.5143609331627492,-0.015099935904216766,-0.011439346440091036,0.03473068007756784,-0.0004208724255603953
AL,H15,S1,logistic,ALL,8414,0.5154448174434996,-0.014431828612220698,-0.021003264815341316,0.012490648679119505,-0.00011122476711527787
AL,H15,S1,logistic,TOP50,5375,0.5128829052895374,-0.023448226867324173,-0.033405691617441224,0.006564667648750089,-0.00018335739544411096
AL,H15,S1,logistic,TOP30,3911,0.5152015461071232,-0.02942452104377069,-0.0438222607704124,0.006729808050906364,-0.0003051079819237412
AL,H15,S1,logistic,TOP20,2951,0.5146842423710574,-0.038272235127735144,-0.057553078415605974,0.004747486855235958,-0.00041630336548361904
AL,H15,S1,gbr,ALL,8414,0.5167275314431036,-0.010249826525089878,-0.007921724072896819,0.05247000797795132,-0.00020649784549737015
AL,H15,S1,gbr,TOP50,5375,0.5177500742803156,-0.012610637529065771,-0.009680846688215228,0.050818688657494886,-0.0002877852996710639
AL,H15,S1,gbr,TOP30,3911,0.5235911493255503,-0.013370380236010782,-0.010351368422333529,0.05740507393957925,-0.00034290578253740517
AL,H15,S1,gbr,TOP20,2951,0.5235357556890874,-0.015894729169010358,-0.012323243459412048,0.05321383406450551,-0.0004529225859676839
AL,H15,S2,logistic,ALL,8414,0.5228773227894686,-0.016627627786492072,-0.024340312789550955,0.028046901777590436,-0.0001189931981886573
AL,H15,S2,logistic,TOP50,5375,0.5217109956010473,-0.02768801926354536,-0.03920609548171439,0.02117489107321967,-0.00016726809427762473
AL,H15,S2,logistic,TOP30,3911,0.53056690594515,-0.03374765186716111,-0.050659047645670086,0.022990516796559557,-0.00019494348608748783
AL,H15,S2,logistic,TOP20,2951,0.5334749735579254,-0.04381127594441625,-0.0664742935748408,0.021699412487333727,-0.00022843103986454216
AL,H15,S2,gbr,ALL,8414,0.5177407782283688,-0.010348352372848035,-0.008109905304468201,0.05629830069459961,-0.0001778547202305972
AL,H15,S2,gbr,TOP50,5375,0.5197518175030018,-0.01314056059249502,-0.01025488918082007,0.052605398500241846,-0.00025126605850445886
AL,H15,S2,gbr,TOP30,3911,0.525760037863848,-0.013720794927992275,-0.01088340275704347,0.05974808676224067,-0.0004155606706038695
AL,H15,S2,gbr,TOP20,2951,0.5266988744220849,-0.016045057813384167,-0.012782196271320156,0.05734650771228272,-0.0004631566951390995
AL,H15,S3,logistic,ALL,8414,0.5254297808657571,-0.017257879645792285,-0.026570813867696774,0.02634109411604329,-7.907504350850017e-05
AL,H15,S3,logistic,TOP50,5375,0.5257148993515635,-0.028661724912831588,-0.04268657831071798,0.019402833354187174,-0.00016861214966429694
AL,H15,S3,logistic,TOP30,3911,0.5345623307301939,-0.034935891928703944,-0.055360303505755715,0.021002419170578063,-0.0001744191858773558
AL,H15,S3,logistic,TOP20,2951,0.5366660354439267,-0.04553753298036711,-0.07280692287285939,0.019702820545353706,-0.0003254979132460275
AL,H15,S3,gbr,ALL,8414,0.5179346728874512,-0.009770769580624172,-0.007607456828849779,0.058917034387425134,-0.00017771788601215197
