instrument,grid_rows,H5_valid,H15_valid,H5_common_rows,H15_common_rows
AG,31152,31152,28890,18722,17028
CU,26151,26151,23889,13721,12027
AL,26151,26151,23889,13721,12027
SN,26151,26151,23889,13721,12027
I,19479,19479,17215,7038,5342
SC,31153,31153,28887,18714,17019
M,19479,19479,17215,7038,5342
CF,19479,19479,17215,7038,5342
