group,horizon,features,stratum,learner,instrument_count,median_auc,positive_share_auc,median_brier_skill,positive_share_brier_skill,median_logloss_skill,positive_share_logloss_skill,median_return_spread,positive_share_return_spread
ALL_8,H5,S2,TOP20,logistic,8,0.5317386897664491,1.0,-0.011288761817738746,0.0,-0.012703635651462819,0.0,4.974031889930518e-05,0.625
ALL_8,H5,S2,TOP30,gbr,8,0.533661351205993,1.0,0.0001811481079742605,0.625,8.27530905584406e-05,0.625,3.696035562937009e-05,0.5
ALL_8,H5,S2,TOP30,logistic,8,0.5309578525087464,1.0,-0.007205896075461071,0.125,-0.009397601975588588,0.125,4.231801972412196e-05,0.75
ALL_8,H5,S2,TOP50,gbr,8,0.5284361978808182,1.0,-0.0015084860280994983,0.375,-0.0012932422522844433,0.25,1.5415695045785107e-05,0.5
ALL_8,H5,S2,TOP50,logistic,8,0.5260211400869946,1.0,-0.004616458207713614,0.125,-0.0069150104071272755,0.125,5.091577473393236e-06,0.5
ALL_8,H5,S3,ALL,gbr,8,0.5304188964512275,1.0,-0.0004945673074944201,0.375,-0.0005275252549095111,0.375,5.817751773656847e-05,0.625
ALL_8,H5,S3,ALL,logistic,8,0.5259306403127373,1.0,-0.0035851035096696737,0.0,-0.005986146998268271,0.0,4.498817986094486e-05,0.75
ALL_8,H5,S3,TOP20,gbr,8,0.5292463861098607,1.0,-0.0023181020134327435,0.125,-0.0018869076167087329,0.125,9.184297869100013e-05,0.625
ALL_8,H5,S3,TOP20,logistic,8,0.5301358106582619,1.0,-0.013892486275126514,0.0,-0.014773278977718185,0.0,4.215165363814861e-05,0.75
ALL_8,H5,S3,TOP30,gbr,8,0.5314451240122561,1.0,-0.0006324151976206394,0.5,-0.0005216516658452797,0.5,8.779824355388302e-05,0.625
ALL_8,H5,S3,TOP30,logistic,8,0.5310013013164727,1.0,-0.008145250312135532,0.0,-0.011157946199403468,0.0,6.905602070484231e-05,0.75
ALL_8,H5,S3,TOP50,gbr,8,0.5282347777700813,1.0,-0.0010064022182864063,0.25,-0.0009435525010149659,0.25,6.35975818709847e-05,0.75
