instrument,rv_state,rv_state_label,n,path_future_spearman
AG,0,low,1624,-0.04041941521698767
AG,1,mid,4425,-0.045218611650056584
AG,2,high,7055,-0.016896515709003607
CU,0,low,2149,0.02956436825611055
CU,1,mid,3394,-0.038995744794142057
CU,2,high,4061,-0.010266972687303758
AL,0,low,2058,-0.02848237923435979
AL,1,mid,3038,-0.01804806730961947
AL,2,high,4508,-0.018140142588304823
SN,0,low,1267,-0.01613624191410388
SN,1,mid,3100,-0.04900912575572101
SN,2,high,5237,-0.005130935394871625
I,0,low,2010,-0.003810262862409089
I,1,mid,1504,-0.025665404193633987
I,2,high,1407,-0.08499023993319024
SC,0,low,1881,-0.06256159567870345
SC,1,mid,3829,-0.0101049420806265
SC,2,high,7387,-0.019649618816931273
M,0,low,1705,-0.038693122710958074
M,1,mid,1475,-0.03411173215246385
M,2,high,1741,-0.04917692738578558
CF,0,low,1277,-0.08462814349792394
CF,1,mid,1523,-0.04289984426189949
CF,2,high,2121,-0.05482855004444322
