direction,group,permutation,n_features,mean_delta_rmse_episode,std_delta_rmse_episode,baseline_rmse_episode
long,distance,full,16,0.19737315630223246,0.007278364166805905,2.940716357544923
long,distance,finite_value_only,16,0.15904607018936243,0.007287081432742893,2.940716357544923
short,distance,full,16,0.17968831486869935,0.004772946907621395,3.071561113456972
short,distance,finite_value_only,16,0.15891731907175144,0.006927428074900286,3.071561113456972
