rows,mae,rmse,r2,spearman,w_mae,w_rmse,w_r2,w_spearman,direction,block
12697,2.4579304134929716,4.079482037923261,-0.24341980980334244,,2.0347565122524696,3.391394754481407,-0.012661100983866858,,long,baseline_validation
12767,2.34144650186342,3.621370721802345,-0.2986350557440489,,1.9419502515215499,2.941511789796461,-0.025511064262817795,,long,baseline_test
12697,2.5162917307323185,3.9323361220061814,-0.15533783803478363,-0.006423172423144393,2.0207946353690898,3.2626104157605633,0.06278792298301272,,long,model_validation
12767,2.3241746874921807,3.410642446752494,-0.15189670363996344,0.03900459406892326,1.9213857836226302,2.821071279386888,0.056748982063989706,,long,model_test
12767,2.3241746874921807,3.410642446752494,-0.15189670363996344,0.03900459406892326,1.9213857836226302,2.821071279386888,0.056748982063989706,,long,model_test_dtp_ready
12767,2.34144650186342,3.621370721802345,-0.2986350557440489,,1.9419502515215499,2.941511789796461,-0.025511064262817795,,long,baseline_test_dtp_ready
12697,2.2070371462326333,3.5173627544520367,-0.1826595228132437,,2.1216917388195244,3.291590562798209,-0.013428771708380083,,short,baseline_validation
12767,2.347665298347451,3.683471038727968,-0.19719024275496144,,1.9934742843221478,3.0478600942561176,-0.00381237646922461,,short,baseline_test
12697,2.199394611378072,3.33434095279057,-0.06278502176845335,0.033203073537487617,2.1216528007122055,3.192228774778494,0.046831615277347916,,short,model_validation
12767,2.351265397004958,3.508764155638505,-0.08631807317732298,0.07196936567775182,2.0477605484697077,2.9818500060497937,0.039197603075944554,,short,model_test
12767,2.351265397004958,3.508764155638505,-0.08631807317732298,0.07196936567775182,2.0477605484697077,2.9818500060497937,0.039197603075944554,,short,model_test_dtp_ready
12767,2.347665298347451,3.683471038727968,-0.19719024275496144,,1.9934742843221478,3.0478600942561176,-0.00381237646922461,,short,baseline_test_dtp_ready
