direction,model,n_features,best_iteration,fit_seconds,val_w_rmse,val_w_r2,val_spearman,test_w_rmse,test_rmse,test_w_r2,test_spearman,test_decile_spread_weighted
long,M0,12,29,1.2981404580059461,3.0558792510453867,0.026232028798836238,0.058342724810627584,2.894619079195543,3.4073503435174053,0.02985528404092186,0.06333493491599772,1.6730293068770203
long,M1,44,72,2.3552355830033775,2.9416015163152043,0.09770035210480266,0.0695487345311206,2.7877301732642303,3.3222791033197923,0.10018101208345853,0.06466340175409924,2.506152755870127
long,M2,108,76,2.8060187500086613,2.940716357544923,0.0982432932727092,0.07237374686425907,2.7936936271961903,3.327802143567024,0.09632714661146424,0.06345552053941947,2.357292691065525
short,M0,12,57,1.1910660839930642,3.158382258775349,0.02530637641905409,0.03353065322743892,2.9667258479143874,3.413988701974132,0.031377443843702,0.04112969336426445,1.4883954582836898
short,M1,44,63,2.078345374990022,3.074291160295475,0.07651736256203401,0.06072108496243875,2.837293495151903,3.331022498915147,0.11405191852098873,0.10172036980910767,2.9198872111018104
short,M2,108,79,2.797222833003616,3.071561113456972,0.0781567853109496,0.06305107123409139,2.844343423301036,3.330011180552637,0.10964375278026606,0.09284505873820231,2.842133170130701
