symbol,model,direction,rows,episodes,baseline_wRMSE,model_wRMSE,rel_wrmse_improvement,spearman,top_decile_weighted_Y,bottom_decile_weighted_Y,top_bottom_spread,top_decile_positive_Y_rate
AG,M0,long,7639,239,3.247470943683199,3.218170387064731,0.009022576991939433,0.06839039553749023,-0.9556355700501215,-1.2562076518707044,0.3005720818205829,0.16688567674113008
AG,M1,long,7639,239,3.218170387064731,3.1016168837906717,0.036217318928338973,0.0468177285910913,-0.26264896873132887,-2.5748260522291067,2.3121770834977777,0.1950261780104712
AG,M2,long,7639,239,3.1016168837906717,3.0876341316866656,0.004508213821339845,0.05792455466355766,-0.1328024909836942,-2.787722900020964,2.65492040903727,0.193717277486911
AL,M0,long,6946,153,3.198216922720021,3.1544894564181707,0.013672451668681918,0.04800018556073036,-1.6401079885829104,-2.6997064454391446,1.0595984568562342,0.07142857142857142
AL,M1,long,6946,153,3.1544894564181707,3.057822327029896,0.03064430258011941,0.0905806722194915,-0.822569502580042,-2.8950654530024043,2.072495950422362,0.15584415584415584
AL,M2,long,6946,153,3.057822327029896,3.07933366950371,-0.007034856892652847,0.073853801023871,-0.9014244524252449,-2.570865881327019,1.669441428901774,0.1510791366906475
AU,M0,long,7291,314,3.180685767900735,3.1212443966493004,0.018688224989501588,0.1409906874229221,-0.2620219368225749,-2.546235251382876,2.284213314560301,0.25828729281767954
AU,M1,long,7291,314,3.1212443966493004,2.972403495094868,0.04768639767978922,0.1431407304165727,0.3971618698740107,-2.831427741723771,3.2285896115977817,0.2935528120713306
AU,M2,long,7291,314,2.972403495094868,2.9808112910673157,-0.0028286186536660685,0.14867708662528417,0.23993090220577895,-2.9595825332457646,3.1995134354515438,0.2812071330589849
CF,M0,long,4939,160,2.580094602635635,2.489170431569265,0.03524063457730919,0.1653187978649641,-0.1568555306292426,-3.108215158940401,2.9513596283111583,0.21862348178137653
CF,M1,long,4939,160,2.489170431569265,2.456764581958303,0.013018734755953203,0.07584544108195021,-0.16992834977941135,-2.0554021037924515,1.8854737540130402,0.19635627530364372
