symbol,split,rows,episodes,trading_days
AG,train,20489,926,240
AG,validation,7563,227,81
AG,test,7639,239,81
AL,train,18888,602,240
AL,validation,6474,218,81
AL,test,6946,153,81
AU,train,20635,907,241
AU,validation,7483,239,81
AU,test,7291,314,81
CF,train,14211,450,240
CF,validation,4650,194,81
CF,test,4939,160,81
CU,train,17925,662,239
CU,validation,6694,160,81
CU,test,6857,162,81
I,train,14775,391,241
I,validation,5121,116,81
I,test,5024,126,80
M,train,13932,496,239
M,validation,4947,135,81
M,test,4916,160,81
MA,train,13940,510,240
MA,validation,4607,184,81
MA,test,4800,161,81
NI,train,19055,604,240
NI,validation,6408,227,81
NI,test,6939,144,81
P,train,13454,553,240
P,validation,4696,181,81
P,test,5035,130,81
RB,train,14190,478,240
RB,validation,5134,113,81
RB,test,5128,138,81
RU,train,13975,527,241
RU,validation,4872,154,81
RU,test,4834,174,81
SC,train,21810,718,240
SC,validation,7231,257,80
SC,test,7258,258,81
SN,train,18481,684,241
SN,validation,6094,234,81
SN,test,6987,150,81
TA,train,14178,437,239
TA,validation,4505,192,81
TA,test,5028,150,81
