direction,group_kind,permutation,group,n_features,mean_delta_rmse_episode,std_delta_rmse_episode,baseline_rmse_episode
long,tf,full,m5,27,0.054482652920299565,0.010503942619630295,3.2626104157605633
long,tf,full,m15,27,0.03512458647578916,0.009035515438055178,3.2626104157605633
long,tf,full,h1,27,0.06819613469112644,0.021676639198189955,3.2626104157605633
long,tf,full,h4,27,0.1381392708535306,0.016825916246003533,3.2626104157605633
long,semantic,full,DTP,12,0.14858096002112448,0.01801388429669777,3.2626104157605633
long,semantic,full,SUPPORT,24,0.026700492436509828,0.012267402279799992,3.2626104157605633
long,semantic,full,RESISTANCE,24,0.11978498648327233,0.022901685263549316,3.2626104157605633
long,semantic,full,BUYSIDE_LIQUIDITY,24,0.08476729054106338,0.027431450424519634,3.2626104157605633
long,semantic,full,SELLSIDE_LIQUIDITY,24,0.007880375399365392,0.003636470930002493,3.2626104157605633
long,property,full,distance,16,0.17048498991639977,0.027900447801000074,3.2626104157605633
long,property,full,phase,16,0.0007138862975329729,0.007326732650472459,3.2626104157605633
long,property,full,age,16,3.627880544776474e-06,0.005522541675944767,3.2626104157605633
long,property,full,velocity,16,2.0899869305335274e-05,0.00033876453598662745,3.2626104157605633
long,property,full,efficiency,16,0.0002192496367932506,0.00023326104124161932,3.2626104157605633
long,property,full,penetration,16,-0.0013100585107089558,0.0013117835297133723,3.2626104157605633
short,tf,full,m5,27,0.036516147325150336,0.013830482544792204,3.192228774778494
short,tf,full,m15,27,0.050737408476137794,0.006813958343576449,3.192228774778494
short,tf,full,h1,27,0.029645039489432444,0.004099384312319768,3.192228774778494
short,tf,full,h4,27,0.08119172218814015,0.008637203887867428,3.192228774778494
short,semantic,full,DTP,12,0.016407277258159693,0.006680712707971595,3.192228774778494
short,semantic,full,SUPPORT,24,0.08424201007223005,0.011791291100529164,3.192228774778494
short,semantic,full,RESISTANCE,24,0.09274658635377646,0.018584502875171174,3.192228774778494
short,semantic,full,BUYSIDE_LIQUIDITY,24,0.015888826339886197,0.007449923253248429,3.192228774778494
short,semantic,full,SELLSIDE_LIQUIDITY,24,-0.0020857456073020584,0.004430110766144003,3.192228774778494
short,property,full,distance,16,0.09116190488677071,0.012310324180021185,3.192228774778494
short,property,full,phase,16,0.005580449700634649,0.0029402739894371934,3.192228774778494
short,property,full,age,16,0.0037213336250388807,0.0011480632100835757,3.192228774778494
short,property,full,velocity,16,0.005002979083507597,0.0004890806723905039,3.192228774778494
short,property,full,efficiency,16,0.021257548451793264,0.010251907452710837,3.192228774778494
short,property,full,penetration,16,0.00022013391403037376,0.0002884291157287439,3.192228774778494
