symbol,raw_5m_available,oracle_ok,oracle_reason,math_version,cost_mode,oracle_source_sha,row_count_actions,row_count_trades,rows_match,has_q_f1,n_oracle_rows,n_raw_bars,first_complete_day,last_complete_day
AG,True,True,,intraday_dp_oracle_r2_one_entry_proximity,zero_cost,cc7891723beb7298aa5225275b0697969d8e19bb,44044,1355,True,True,44044,44451,2025-01-02,2026-09-03
AL,True,True,,intraday_dp_oracle_r2_one_entry_proximity,zero_cost,cc7891723beb7298aa5225275b0697969d8e19bb,36916,944,True,True,36916,37323,2025-01-02,2026-09-03
AU,True,True,,intraday_dp_oracle_r2_one_entry_proximity,zero_cost,cc7891723beb7298aa5225275b0697969d8e19bb,44044,1430,True,True,44044,44451,2025-01-02,2026-09-03
CF,True,True,,intraday_dp_oracle_r2_one_entry_proximity,zero_cost,cc7891723beb7298aa5225275b0697969d8e19bb,27412,797,True,True,27412,27819,2025-01-02,2026-09-03
CU,True,True,,intraday_dp_oracle_r2_one_entry_proximity,zero_cost,cc7891723beb7298aa5225275b0697969d8e19bb,36916,967,True,True,36916,37323,2025-01-02,2026-09-03
I,True,True,,intraday_dp_oracle_r2_one_entry_proximity,zero_cost,cc7891723beb7298aa5225275b0697969d8e19bb,27412,627,True,True,27412,27819,2025-01-02,2026-09-03
M,True,True,,intraday_dp_oracle_r2_one_entry_proximity,zero_cost,cc7891723beb7298aa5225275b0697969d8e19bb,27412,782,True,True,27412,27819,2025-01-02,2026-09-03
MA,True,True,,intraday_dp_oracle_r2_one_entry_proximity,zero_cost,cc7891723beb7298aa5225275b0697969d8e19bb,27412,830,True,True,27412,27819,2025-01-02,2026-09-03
NI,True,True,,intraday_dp_oracle_r2_one_entry_proximity,zero_cost,cc7891723beb7298aa5225275b0697969d8e19bb,36916,959,True,True,36916,37323,2025-01-02,2026-09-03
P,True,True,,intraday_dp_oracle_r2_one_entry_proximity,zero_cost,cc7891723beb7298aa5225275b0697969d8e19bb,27412,849,True,True,27412,27819,2025-01-02,2026-09-03
RB,True,True,,intraday_dp_oracle_r2_one_entry_proximity,zero_cost,cc7891723beb7298aa5225275b0697969d8e19bb,27412,719,True,True,27412,27819,2025-01-02,2026-09-03
RU,True,True,,intraday_dp_oracle_r2_one_entry_proximity,zero_cost,cc7891723beb7298aa5225275b0697969d8e19bb,27412,845,True,True,27412,27819,2025-01-02,2026-09-03
SC,True,True,,intraday_dp_oracle_r2_one_entry_proximity,zero_cost,cc7891723beb7298aa5225275b0697969d8e19bb,44039,1204,True,True,44039,44449,2025-01-02,2026-09-03
SN,True,True,,intraday_dp_oracle_r2_one_entry_proximity,zero_cost,cc7891723beb7298aa5225275b0697969d8e19bb,36916,1031,True,True,36916,37323,2025-01-02,2026-09-03
TA,True,True,,intraday_dp_oracle_r2_one_entry_proximity,zero_cost,cc7891723beb7298aa5225275b0697969d8e19bb,27412,762,True,True,27412,27819,2025-01-02,2026-09-03
