fold,held_out_symbols,train_symbols,n_train_rows,n_validation_rows,n_eval_rows
0,"AG,I,RB","AL,AU,CF,CU,M,MA,NI,P,RU,SC,SN,TA",200484,68661,17791
1,"AL,M,RU","AG,AU,CF,CU,I,MA,NI,P,RB,SC,SN,TA",203143,70186,16696
2,"AU,MA,SC","AG,AL,CF,CU,I,M,NI,P,RB,RU,SN,TA",193553,67158,19349
3,"CF,NI,SN","AG,AL,AU,CU,I,M,MA,P,RB,RU,SC,TA",198191,69327,18865
4,"CU,P,TA","AG,AL,AU,CF,I,M,MA,NI,RB,RU,SC,SN",204381,70584,16920
