direction,feature,gain,gain_pct
long,m5_RESISTANCE_max_penetration_atr,0.0,0.0
long,m5_RESISTANCE_path_efficiency,0.0,0.0
long,m5_RESISTANCE_approach_velocity,0.0,0.0
long,m5_SUPPORT_max_penetration_atr,0.0,0.0
long,m5_SUPPORT_path_efficiency,0.0,0.0
long,m5_SUPPORT_approach_velocity,0.0,0.0
long,m5_SUPPORT_episode_age_5m,0.0,0.0
long,m15_SUPPORT_approach_velocity,0.0,0.0
long,m15_SUPPORT_max_penetration_atr,0.0,0.0
long,h1_RESISTANCE_path_efficiency,0.0,0.0
long,m15_RESISTANCE_approach_velocity,0.0,0.0
long,h1_RESISTANCE_approach_velocity,0.0,0.0
long,h1_RESISTANCE_phase,0.0,0.0
long,h1_SUPPORT_path_efficiency,0.0,0.0
long,h1_SUPPORT_approach_velocity,0.0,0.0
long,h1_SUPPORT_episode_age_5m,0.0,0.0
long,m15_SELLSIDE_LIQUIDITY_max_penetration_atr,0.0,0.0
long,m15_SELLSIDE_LIQUIDITY_path_efficiency,0.0,0.0
long,m15_SELLSIDE_LIQUIDITY_approach_velocity,0.0,0.0
long,m15_SELLSIDE_LIQUIDITY_phase,0.0,0.0
long,m15_BUYSIDE_LIQUIDITY_max_penetration_atr,0.0,0.0
long,m15_BUYSIDE_LIQUIDITY_path_efficiency,0.0,0.0
long,m15_BUYSIDE_LIQUIDITY_approach_velocity,0.0,0.0
long,m15_BUYSIDE_LIQUIDITY_episode_age_5m,0.0,0.0
long,m15_BUYSIDE_LIQUIDITY_phase,0.0,0.0
long,m15_RESISTANCE_path_efficiency,0.0,0.0
long,h4_SELLSIDE_LIQUIDITY_max_penetration_atr,0.0,0.0
short,h1_SELLSIDE_LIQUIDITY_distance_atr,17508.392944335938,6.801718420159415
short,h1_dev,17288.799194335938,6.71640991360056
short,m15_slope_atr,17196.4529876709,6.680534953694052
short,m15_SUPPORT_distance_atr,15695.198120117188,6.097322495619914
short,h1_RESISTANCE_distance_atr,14877.071105957031,5.779493806263056
short,m5_RESISTANCE_distance_atr,13332.146087646484,5.179316223533659
short,h1_BUYSIDE_LIQUIDITY_distance_atr,13146.445205688477,5.1071745304913945
short,m15_SELLSIDE_LIQUIDITY_distance_atr,12951.50505065918,5.0314435340768755
short,m5_SUPPORT_distance_atr,11916.543014526367,4.6293780579528905
short,m5_SELLSIDE_LIQUIDITY_distance_atr,11357.228988647461,4.4120938946051185
short,m15_RESISTANCE_distance_atr,11077.64111328125,4.303478671724437
short,h1_SUPPORT_distance_atr,10265.320938110352,3.9879058423909233
short,h1_RESISTANCE_path_efficiency,9941.359008789062,3.862052040211561
short,h4_slope_atr,9432.730041503906,3.664458176125406
short,m15_dev,9356.628860473633,3.6348941375265955
short,h1_RESISTANCE_episode_age_5m,8005.397033691406,3.1099631267050927
short,m5_BUYSIDE_LIQUIDITY_distance_atr,7335.045120239258,2.849542597407364
short,h4_dev,7060.254013061523,2.7427908389033693
short,m5_slope_atr,6087.1090087890625,2.3647402478474144
short,h1_slope_atr,5893.408996582031,2.2894910262196873
short,m15_BUYSIDE_LIQUIDITY_distance_atr,4892.5260009765625,1.9006646885153813
short,m5_dev,4132.341979980469,1.6053458848559805
short,h1_RESISTANCE_approach_velocity,3950.5599365234375,1.5347265951606404
short,m15_trend_state,2705.5440216064453,1.0510586932118178
short,m5_trend_state,2674.3289794921875,1.0389321703716228
short,h4_SELLSIDE_LIQUIDITY_phase,2467.0679626464844,0.9584147247932469
short,h4_SELLSIDE_LIQUIDITY_distance_atr,1215.2369842529297,0.4720992844363896
short,m15_SELLSIDE_LIQUIDITY_phase,1095.0870056152344,0.4254230232009945
short,m5_SUPPORT_phase,858.8289947509766,0.3336407294453871
short,m15_SUPPORT_phase,820.541015625,0.3187664886330067
short,m15_RESISTANCE_max_penetration_atr,553.6090087890625,0.21506785943280532
short,m5_SUPPORT_episode_age_5m,532.9659881591797,0.20704839047797885
short,m15_RESISTANCE_phase,360.5950012207031,0.14008513915685872
short,m15_SELLSIDE_LIQUIDITY_episode_age_5m,350.71600341796875,0.13624731340430668
short,h1_SELLSIDE_LIQUIDITY_phase,321.9159851074219,0.12505898700184573
short,m5_BUYSIDE_LIQUIDITY_phase,319.5060119628906,0.12412275266090064
short,m5_SELLSIDE_LIQUIDITY_phase,232.60499572753906,0.0903631583487465
short,m5_RESISTANCE_max_penetration_atr,202.66400146484375,0.07873158183330486
short,h1_SELLSIDE_LIQUIDITY_max_penetration_atr,0.0,0.0
short,h1_SELLSIDE_LIQUIDITY_path_efficiency,0.0,0.0
short,h1_BUYSIDE_LIQUIDITY_episode_age_5m,0.0,0.0
short,h1_SELLSIDE_LIQUIDITY_episode_age_5m,0.0,0.0
short,h1_BUYSIDE_LIQUIDITY_approach_velocity,0.0,0.0
short,h1_BUYSIDE_LIQUIDITY_path_efficiency,0.0,0.0
short,h1_BUYSIDE_LIQUIDITY_max_penetration_atr,0.0,0.0
short,h1_SELLSIDE_LIQUIDITY_approach_velocity,0.0,0.0
short,h4_SUPPORT_max_penetration_atr,0.0,0.0
short,h4_trend_state,0.0,0.0
short,h4_SUPPORT_distance_atr,0.0,0.0
short,h4_SELLSIDE_LIQUIDITY_path_efficiency,0.0,0.0
short,h4_SELLSIDE_LIQUIDITY_approach_velocity,0.0,0.0
short,h4_SELLSIDE_LIQUIDITY_episode_age_5m,0.0,0.0
short,h4_BUYSIDE_LIQUIDITY_max_penetration_atr,0.0,0.0
short,h4_BUYSIDE_LIQUIDITY_path_efficiency,0.0,0.0
short,h4_BUYSIDE_LIQUIDITY_approach_velocity,0.0,0.0
short,h4_BUYSIDE_LIQUIDITY_episode_age_5m,0.0,0.0
short,h4_BUYSIDE_LIQUIDITY_phase,0.0,0.0
short,h4_BUYSIDE_LIQUIDITY_distance_atr,0.0,0.0
short,h4_RESISTANCE_max_penetration_atr,0.0,0.0
short,h4_RESISTANCE_path_efficiency,0.0,0.0
short,h4_RESISTANCE_approach_velocity,0.0,0.0
short,h4_RESISTANCE_episode_age_5m,0.0,0.0
