comparison,direction,n_reps,delta_mean,delta_std,ci_lower,ci_upper,ci_excludes_zero
M0-Baseline,long,1000,0.06314545111930175,0.006618736249300321,0.050111025905014484,0.07613042283032345,True
M1-M0,long,1000,0.10668810193525043,0.008210087099695574,0.09093848941280937,0.12251252958168012,True
M2-M1,long,1000,-0.005932608583634421,0.0027956795328782243,-0.011319851532337676,-0.0004188533840259316,True
M0-Baseline,short,1000,0.05219408313614438,0.009363155620492537,0.033976579507813985,0.07010530301695965,True
M1-M0,short,1000,0.12938284722213297,0.010432341847274613,0.10944573556800694,0.15177492744015952,True
M2-M1,short,1000,-0.007125481243475608,0.004781827822331813,-0.016854415083003883,0.0016155311483073136,False
