direction,group_kind,group,n_features,mean_delta_rmse_episode,std_delta_rmse_episode,baseline_rmse_episode
long,tf,m5,27,0.03518999029679008,0.004797962587722076,1.9164269886121001
long,tf,m15,27,0.0859985382666808,0.008113374560826132,1.9164269886121001
long,tf,h1,27,0.04719403681581249,0.007769919357167132,1.9164269886121001
long,tf,h4,27,-0.0035837918627382947,0.0044562301267411335,1.9164269886121001
long,semantic,DTP,12,0.04375142925645616,0.010134219520024135,1.9164269886121001
long,semantic,SUPPORT,24,0.0358181916593483,0.012361164112187434,1.9164269886121001
long,semantic,RESISTANCE,24,0.07190544345620405,0.02079119127247445,1.9164269886121001
long,semantic,BUYSIDE_LIQUIDITY,24,0.06538260484201786,0.01893844509838079,1.9164269886121001
long,semantic,SELLSIDE_LIQUIDITY,24,-0.01564231681500905,0.004857258140024061,1.9164269886121001
long,property,distance,16,0.14324029042121128,0.02433549264079807,1.9164269886121001
long,property,phase,16,0.001722161334090977,0.005847569680419304,1.9164269886121001
long,property,age,16,0.004133906278892763,0.005921023267060521,1.9164269886121001
long,property,velocity,16,-0.000638683030014775,0.0007151136349008259,1.9164269886121001
long,property,efficiency,16,-0.0005115056217252168,0.0004450890398130892,1.9164269886121001
long,property,penetration,16,-0.00296578010442925,0.001375512958325298,1.9164269886121001
short,tf,m5,27,0.04082861964029645,0.02056990817328159,2.557306994331882
short,tf,m15,27,0.07875437850124704,0.04048003197423552,2.557306994331882
short,tf,h1,27,0.04784398300340529,0.022398839894673596,2.557306994331882
short,tf,h4,27,0.012141947131395358,0.009391596882624946,2.557306994331882
short,semantic,DTP,12,-0.022687370492447824,0.03691598019851894,2.557306994331882
short,semantic,SUPPORT,24,0.07496611271807349,0.026877725549584293,2.557306994331882
short,semantic,RESISTANCE,24,-0.004712404501172251,0.015920218632723335,2.557306994331882
short,semantic,BUYSIDE_LIQUIDITY,24,-0.011686471574935364,0.006897269346059867,2.557306994331882
short,semantic,SELLSIDE_LIQUIDITY,24,0.004748118215144892,0.016873157879861843,2.557306994331882
short,property,distance,16,0.07864399793889758,0.020118881081364934,2.557306994331882
short,property,phase,16,-0.0006783939079782364,0.0034680305858440876,2.557306994331882
short,property,age,16,0.005847490953371981,0.006058288448692029,2.557306994331882
short,property,velocity,16,0.0005329822706228171,0.00034797960207512483,2.557306994331882
short,property,efficiency,16,0.015158374270952013,0.01631416874747171,2.557306994331882
short,property,penetration,16,-0.003978017954338764,0.00505046950320272,2.557306994331882
